name,islands,area,height,type,longitude,latitude
Басс-Терре,Малые Антильские острова,848.0,1467.0,вулканическое,-61.8,16.15
Изабель,Галапагосские острова,5436.0,1707.0,вулканическое,-91.3,-1.0
Амеланд,&lt; &lt; Вестфриз &gt; &gt;,57.6,,,5.75,53.5
Рота,Марианские острова,85.0,495.0,,145.2,15.15
Сингапур,,632.6,176.0,,103.833,1.3
Гран Канариа,Канареи,1560.0,1949.0,вулканическое,-15.6,28.0
Силит,Nordfrisische Inseln,99.0,52.5,,8.3,54.9
Сент-Люсия,Малые Антильские острова,616.0,950.0,вулканическое,-60.5,14.0
Авст-Вагои,Лофты,526.0,1146.0,,14.6,68.3
Борнхольм,,588.0,162.0,,14.9,55.1
Шри-Ланка,,65610.0,,,80.0,7.0
Антигуа,Малые Антильские острова,281.0,400.0,,-61.8,17.05
Окинава,Япония,2255.0,,вулканическое,128.0,26.0
Паней,Филиппины,12297.0,2117.0,,122.5,11.15
Куба,Большие Антильские острова,105806.0,1974.0,,-79.0,22.0
Шьермониког,&lt; &lt; Вестфриз &gt; &gt;,40.0,,,6.2,53.5
Бангка,Острова Сунда,11942.0,700.0,,106.0,2.25
Иерро,Канареи,268.0,1500.0,вулканическое,-18.0,27.7
Барра,Внешние гебриды,91.0,,,-7.7,57.0
Тортола,Малые Антильские острова,55.0,521.0,вулканическое,-64.37,18.27
Эмбон,Молукканские острова,775.0,1225.0,,128.2,-3.7
Монтсеррат,Малые Антильские острова,102.0,1050.0,вулканическое,-62.13,16.42
Аландская,Аландские острова,650.0,,,20.0,60.1
Углы,Британские острова,715.0,,,-4.4,53.3
Сан-Томе,,859.0,2024.0,вулканическое,6.6,0.2
Хайнан,,34380.0,1897.0,,109.6,19.1
