country,continent,percentage
ДН,Африка,100.0
C,Америки,100.0
KOS,Европа,100.0
РН,Африка,100.0
ТТ,Америки,100.0
Бен,Африка,100.0
ГБГ,Европа,100.0
AL,Европа,100.0
МГ,Австралия/Океания,100.0
ФПОЛ,Австралия/Океания,100.0
НИК,Америки,100.0
КБК,Африка,100.0
БЕРМ,Америки,100.0
И,Европа,100.0
ЗАХОД,Азия,100.0
ДЖА,Америки,100.0
ПК,Азия,100.0
КР,Америки,100.0
ВИРГ,Америки,100.0
ARU,Америки,100.0
FARX,Европа,100.0
КОК,Австралия/Океания,100.0
РЧ,Америки,100.0
МАКХ,Азия,100.0
СПМИ,Америки,100.0
RCH,Америки,100.0
BF,Африка,100.0
ГРАД,Америки,100.0
L,Европа,100.0
ЕТ,Азия,10.0
ЭТО,Африка,100.0
США,Америки,100.0
ВАФА,Австралия/Океания,100.0
МВ,Азия,100.0
УР,Африка,100.0
ЕТ,Африка,90.0
АЗС,Африка,100.0
НЬЮ,Австралия/Океания,100.0
ТR,Азия,95.0
Парень,Америки,100.0
Мэйо,Африка,100.0
КИР,Австралия/Океания,100.0
ES,Америки,100.0
МЬЯ,Азия,100.0
НМИС,Австралия/Океания,100.0
D,Европа,100.0
ЕАТ,Африка,100.0
БИ,Африка,100.0
SVAX,Европа,100.0
МЕКС,Америки,100.0
ЭВ,Европа,100.0
HELX,Австралия/Океания,100.0
CY,Европа,100.0
RG,Африка,100.0
ДОМ,Америки,100.0
WD,Америки,100.0
B,Европа,100.0
SF,Европа,100.0
БВ,Азия,100.0
БиГ,Европа,100.0
ЧП,Африка,100.0
ФЛ,Европа,100.0
ARM,Азия,100.0
НКА,Австралия/Океания,100.0
ЛТ,Европа,100.0
V,Европа,100.0
