lake,country,province
Саймаа,SF,Кими
Каллавеси,SF,Куопио
Каспийское море,KAZ,Атырау
Озеро Айр,AUS,Южная Австралия
Озеро Чилва,МВт,Малави
Озеро Титикака,ПЭ,Пуно
Верхнее озеро,США,Миннесота
Сторуман,И,Вастерботтен
Озеро Тоба,РИ,Индонезия
Озеро Виктория,ЕАТ,Мара
Озеро Эри,США,Мичиган
Озеро Окечоби,США,Флорида
Озеро Кебан,ТR,Элазиг
Озеро Ньос,КАМ,Нордуэст
Озеро Хьюм,AUS,Виктория
Озеро Нгами,РБ,Ботсвана
Каспийское море,Р,Республика Калмикия
Озеро Форт-Пек,США,Монтана
Пейджаенн,SF,Хеме
Валенерн,И,Skaraborg
Бодензе,D,Баден Вуртемберг
Озеро Эри,США,Огайо
Озеро Танганджика,ЕАТ,Мбея
Озеро Айаси,ЕАТ,Аруша
Оулуярви,SF,Оулу
Озеро Мичиган,США,Мичиган
Озеро Онтарио,КН,Онтарио
Кратерское озеро,США,Орегон
Ozero Tschany,Р,Новосибирская область
Чадское озеро,TCH,Чад
Ozero Baykal,Р,Иркутская область
Озеро Скутари,МНП,Черногория
Ozero Balchash,KAZ,Тальдюкорган
Лаго Маггиоре,I,Ломбардия
Озеро Эри,США,Нью-Йорк
Озеро Мичиган,США,Висконсин
Цюрихсэ,CH,GL
Озеро Титикака,БОЛ,Боливия
Озеро Тана,ЭТО,Эфиопия
Соль Makarikari Pan,РБ,Ботсвана
Великое Соленое озеро,США,Юта
Ozero Aral,Юзеф,Каракальпогистон
Лак Леман,CH,VS
Озеро Урмия,IR,Азарбайян и Шарки
Великолепное медвежье озеро,КН,Северо-западные территории
Жуй Бахир,ЭТО,Эфиопия
Vierwaldstattersee,CH,УР
Lago de Sobradinho,КР,Баия
Крейтерское озеро Ликанкабур,RCH,Чили
Цюрихсэ,CH,SZ
Озеро Сесе Секо/Альбертзе,ЗРЕ,Верхний Заир
Франклин Д. Рузвельтское озеро,США,Вашингтон
Озеро Киву,ЗРЕ,Киву
Озеро Женезарет,СИР,Сирия
Озеро Малави,МПК,Ньяса
Лак Леман,CH,VD
Бодензе,A,Ворарльберг
Лаго-ди-Бракьяно,I,Лацио
Озеро Малави,ЕАТ,Иринга
Чадское озеро,ВАН,Нигерия
