city,province,country,river,lake,sea
Адамстаун,Острова Питкэрн,ОМТС,,,Тихоокеанский океан
Мумбаи,Махараштра,СИН,,,Арабское море
Роттердам,Зуид Холланд,Нл,Рейн,,
Инсбрук,Тирол,A,Интенсивность,,
Мата-Уту,Уоллис и Футуна,ВАФА,,,Тихоокеанский океан
Санта-Крус де Тенерифе,Канарские острова,E,,,Атлантический океан
Аль-Амарах,Майсан,ИРК,Тигр,,
Тела,Атлантида,HCA,,,Карибское море
Мбандака,Уравнение,ЗРЕ,Заир,,
Порт-Судан,Шаркия,СУД,,,Красное море
Благовешенск,Амурская область,Р,Амур,,
Ульм,Баден Вуртемберг,D,Иллер,,
Владивосток,Приморский крей,Р,,,Японское море
Киквит,Бандунду,ЗРЕ,Куило,,
Мамуцу,Майотта,Мэйо,,,Индийский океан
Страсбург,Alsace,F,Рейн,,
Конакри,Гвинея,RG,,,Атлантический океан
Ниигата,Ниигата,J,,,Японское море
Луянг,Хэнан,ТДж,Хванхо,,
Виктория,Британская Колумбия,КН,,,Тихоокеанский океан
Баракалдо,Страна Басков,E,,,Атлантический океан
Порт Блэр,Андаман и Никобар тоже.,СИН,,,Бенгальский залив
Банжармасин,Индонезия,РИ,,,Сундское море
Мэтсю,Шиман,J,,,Японское море
Питтсбург,Пенсильвания,США,Ривер Огайо,,
Острава,Североморавский,CZ,Одер,,
Курган,Курганская область,Р,Тобол,,
Северный Хартум,Аль-Хартум,СУД,Нил,,
Тромсоэ,Тромы,Н,,,Норвежское море
Рязан,Рязанская область,Р,Хорошо.,,
Тампико,Тамаулипас,МЕКС,,,Мексиканский залив
Петропавль,Солтустик Казакстан,KAZ,Ишим,,
Нумеа,Новая Каледония,НКА,,,Тихоокеанский океан
Ярен,Науру,NAU,,,Тихоокеанский океан
