sea1,sea2
Южно-Китайское море,Море Сулавеси
Атлантический океан,Норвежское море
Карибское море,Мексиканский залив
Аденский залив,Индийский океан
Северный Ледовитый океан,Атлантический океан
Тихоокеанский океан,Сундское море
Балтийское море,Северное море
Море Баренцев,Сибирианское море
Северное море,Скагеррак
Восточно-Китайское море,Японское море
Тихоокеанский океан,Море Сулавеси
Андаманское море,Малаккский пролив
Черное море,Азовское море
Атлантический океан,Карибское море
Тихоокеанский океан,Южно-Китайское море
Индийский океан,Тихоокеанский океан
Японское море,Желтое море
Аденский залив,Красное море
Восточно-Китайское море,Желтое море
Черное море,Средиземное море
Восточно-Китайское море,Тихоокеанский океан
Арабское море,Аденский залив
Тихоокеанский океан,Охотское море
Малаккский пролив,Южно-Китайское море
Атлантический океан,Мексиканский залив
Бенгальский залив,Тихоокеанский океан
Арабское море,Индийский океан
Море Сулавеси,Сундское море
Атлантический океан,Канал
Восточно-Китайское море,Южно-Китайское море
Арабское море,Оманский залив
Северный Ледовитый океан,Норвежское море
Северный Ледовитый океан,Сибирианское море
Северное море,Канал
Оманский залив,Персидский залив
Тихоокеанский океан,Японское море
Бенгальский залив,Сундское море
Атлантический океан,Северное море
Северное море,Норвежское море
Индийский океан,Сундское море
Андаманское море,Бенгальский залив
Северный Ледовитый океан,Беременное море
Северный Ледовитый океан,Море Баренцев
Море Баренцев,Норвежское море
Атлантический океан,Средиземное море
Южно-Китайское море,Сундское море
Атлантический океан,Индийский океан
Атлантический океан,Ирландское море
Андаманское море,Индийский океан
Атлантический океан,Тихоокеанский океан
Японское море,Охотское море
Беременное море,Тихоокеанский океан
Оманский залив,Индийский океан
Каттегат,Скагеррак
