country1,country2,length
ГЭ,Р,723.0
СИН,МЬЯ,1463.0
Парень,YV,743.0
F,МК,4.4
И ДОЛЖНОСТНЫЕ ЛИЦА,E,65.0
РСС,ЗРЕ,1577.0
B,D,167.0
TAD,Юзеф,1161.0
БВ,ТДж,470.0
МНП,ОПП,124.0
Клянусь!,PL,605.0
NEP,ТДж,1236.0
CI,ЛБ,716.0
КАМ,РСС,797.0
БиГ,KOS,225.0
МПК,УР,105.0
С.А.,ОАЭ,457.0
KOS,ОПП,352.0
БОЛ,PY,750.0
АНГ,КБК,201.0
МПК,RSA,491.0
ARM,IR,35.0
ЕАТ,МВт,475.0
БОЛ,РЭ,832.0
АНГ,Z,1110.0
РЭ,RCH,5150.0
CZ,D,646.0
HCA,НИК,922.0
ГР,ТR,206.0
БОЛ,ПЭ,900.0
G,GQ,350.0
IR,ПК,909.0
Бен,ВАН,773.0
Ил,RL,79.0
МПК,МВт,1569.0
ЕТ,Газа,11.0
МПК,Z,419.0
CZ,SK,215.0
ЕТ,СУД,1273.0
КР,YV,2200.0
Норк,ОК,238.0
ЕТ,ЛАР,1150.0
Z,ZW,797.0
ЕАС,СУД,435.0
RL,СИР,375.0
МПГ,ТДж,4673.0
Н,Р,167.0
БВ,СИН,605.0
БГ,MK,148.0
F,I,488.0
BF,РММ,1000.0
LAO,ТА,1754.0
Бен,РН,266.0
Ил,СИР,76.0
DZ,РН,956.0
БОЛ,RCH,861.0
AZ,ТR,9.0
АНГ,ЗРЕ,2511.0
D,F,451.0
D,L,138.0
РММ,РН,821.0
HR,МНП,25.0
AL,MK,151.0
ЭТО,СП,1626.0
КР,Парень,1119.0
БиГ,HR,932.0
РСС,TCH,1197.0
MD,UA,939.0
МЬЯ,ТА,1800.0
CO,YV,2050.0
МВт,Z,837.0
ЛВ,Р,217.0
Р,ТДж,3645.0
КН,США,8893.0
SN,ВАГ,740.0
ЕАС,ЗРЕ,765.0
КАМ,GQ,189.0
СУД,ЗРЕ,628.0
I,V,3.2
Норк,Р,19.0
Клянусь!,ЛВ,141.0
ЛБ,RG,563.0
БГ,RO,608.0
ТДж,VN,1281.0
