island,sea,lake,river
Тайвань,Тихоокеанский океан,,
Парамушчир,Тихоокеанский океан,,
Кюсю,Восточно-Китайское море,,
Ломбок,Сундское море,,
Саваи,Тихоокеанский океан,,
Кипр,Средиземное море,,
Харк,Арабское море,,
Ниихау,Тихоокеанский океан,,
Невис,Атлантический океан,,
Тайвань,Восточно-Китайское море,,
Сашалин,Охотское море,,
Борнхольм,Балтийское море,,
Гомера,Атлантический океан,,
Ниуэ,Тихоокеанский океан,,
Борнео,Сундское море,,
Линоза,Средиземное море,,
Борнео,Южно-Китайское море,,
Увеа,Тихоокеанский океан,,
Площадь,Балтийское море,,
Провиденсьялес,Атлантический океан,,
Италия,Атлантический океан,,
Мах,Индийский океан,,
Гешм,Арабское море,,
Бонайре,Карибское море,,
Миндоро,Южно-Китайское море,,
