name,river,lake,sea,length,sourcelongitude,sourcelatitude,mountains,sourcealtitude,estuarylongitude,estuarylatitude
Нарын,Сирдарья,,,807.0,78.0,42.0,Тянь Шан,,71.7,41.0
Лимпопо,,,Индийский океан,1750.0,28.0,-26.0,,1800.0,34.0,-25.2
Бахр-эль-Гасаль,Белый Нил,,,716.0,,,,,30.43,9.5
Амазонки,,,Атлантический океан,6448.0,-71.7,-15.5,Анды,5170.0,-50.0,0.0
Уэсер,,,Северное море,440.0,9.65,51.4,,116.5,8.5,53.5
Бому,Убанги,,,280.0,27.0,5.0,,,22.5,4.0
март,Донау,,,358.0,16.85,50.21,Судьбы,1380.0,16.98,48.17
Река Муррумбиджи,Мюррей Ривер,Озеро Берли Гриффин,,1579.0,148.5,-37.0,Снежные горы,,143.22,-34.73
Донау,,,Черное море,2845.0,8.52,47.95,Черный лес,686.0,29.65,45.16
Мозель,Рейн,,,544.0,6.89,47.89,Вогесен,715.0,7.61,50.37
Гломма,,,Скагеррак,604.0,12.0,62.6,,860.0,10.95,59.2
Иравадди,,,Андаманское море,2170.0,98.0,29.0,,4300.0,96.0,17.0
Шилка,Амур,,,560.0,111.0,49.8,,,121.48,53.33
Рио Десагуадеро,,Какашки,,383.0,-69.0,-16.55,Анды,3812.0,-67.1,-18.55
Драу,Донау,,,749.0,12.26,46.73,Альпы,1450.0,18.93,45.54
Бусира,Руки,,,830.0,20.8,-0.2,,,19.0,-0.3
Вааль,Оранье,,,1251.0,30.0,-26.0,Дракенсберг,,24.0,-29.0
Вестердалаэльв,Далаэльв,,,320.0,12.6,61.8,,,15.1,60.7
Adda,Po,Лаго-ди-Комо,,313.0,10.3,46.55,Альпы,2235.0,9.88,45.13
Клараэльв,,Валенерн,,460.0,11.9,62.2,,662.0,13.5,59.4
Северная Двина,,,Море Баренцев,740.0,60.9,46.3,,180.0,40.5333,64.55
Верра,Уэсер,,,292.0,10.96,50.5,Вирингер Уолд,797.0,9.65,51.4
Уругвай,,,Атлантический океан,1790.0,-52.0,-27.5,,1800.0,-58.4,-33.9
Джокулса Фьоэллум,,,Норвежское море,206.0,-16.5,64.8,,,-16.6,66.2
Меконг,,,Южно-Китайское море,4350.0,94.0,32.5,,5200.0,107.0,9.0
Тейсс,Донау,,,1308.0,24.25,48.1,Карпатен,460.0,20.3,45.05
Паатшоки,,,Море Баренцев,145.0,28.3,68.95,,119.0,30.05,60.75
Гвадалкивир,,,Атлантический океан,657.0,-3.0,37.8,Кордильера Бетика,1400.0,-6.35,36.8
