name,area,longitude,latitude
Колорадо Плато,337000.0,-110.0,36.0
Калахари,1200000.0,21.0,-22.0
Ust Urt,180000.0,56.0,43.0
Ферло,70000.0,-14.0,15.0
Оуихи,36000.0,-117.0,42.0
Эрг Чеч,10000.0,-3.0,25.0
Эрг Мактейр,40000.0,-11.0,22.0
Каракум,400000.0,60.0,40.0
Пустыня Гибсон,310800.0,125.0,-23.0
Эрг Ребиана,200000.0,22.0,23.0
Пустыня Симпсон,176500.0,137.0,-25.0
Пустыня в Нижней Калифорнии,30000.0,-116.0,31.0
Руб аль-Чали,780000.0,51.0,21.0
Муджункум,37500.0,72.0,44.0
Большая пустыня Соленого озера,10360.0,-114.0,41.0
Эрг Уаран,80000.0,-11.0,21.0
Сирийская пустыня,518000.0,39.0,33.0
Нубийская пустыня,50000.0,21.0,32.0
Ригестан,25000.0,65.0,30.0
Дашт-э-Марго,40000.0,62.0,31.0
Рин,80000.0,47.0,48.0
Большой бассейн,300000.0,-117.0,38.0
Площадь Нулларбора,200000.0,129.0,-31.0
Джураб,100000.0,18.0,17.0
Такла-Макан,300000.0,82.0,38.0
Mojave,57000.0,-115.2,36.2
Ордос,90000.0,108.0,38.0
Эрди Эннеди,180000.0,22.0,18.0
Сонора,320000.0,-113.0,32.0
Танами,37500.0,130.0,-20.0
