mountain,country,province
Ликанкабур,RCH,Чили
Gasherbrum II,ПК,Пакистан
Меру,ЕАТ,Аруша
Нанга Парбат,ПК,Пакистан
Мт Рейнье,США,Вашингтон
Портефжаэльен,И,Норрботтен
Элгон,ЭАК,Западный
Г-н Богонг,AUS,Виктория
Табана Нтленьяна,ЛС,Лесото
Большой Баллон,F,Лоррейн
Аннапурна,NEP,Непал
Чанбай Шан,Норк,Северная Корея
Oraefajokull,ИУ,Италия
Сулитжелма,Н,Нордленд
Пуи-де-Коме,F,Овернь
Уаскаран,ПЭ,Наличными
Джабал Марра,СУД,Дарфур
Шоколадный костюм,A,Штирия
Gasherbrum I,ПК,Пакистан
Пико Боливар,YV,Мерида
Маттерхорн,I,Валье dAosta
Пик Победа,ТДж,Синьцзян Уйгур
Клингонские куполы,США,Теннесси
Семеру,РИ,Индонезия
Пико,Р,Азоры
Pico de Agulhas Negras,КР,Минас-Жерайс
Глетертинд,Н,Оппленд
Голубая гора,ДЖА,Чили
Невадо де Колима,МЕКС,Халиско
Гора Эверест,ТДж,Тибет
Мантальингаджан,РП,Филиппины
Ликанкабур,БОЛ,Боливия
Кораб,MK,Чешская Республика
Марси,США,Нью-Йорк
Иллимани,БОЛ,Боливия
Pico de los Nieves,E,Канарские острова
