country,organization,type
ES,МСЭ,Член
CO,МВФ,Член
ДСО,МФСР,Категория III
Н,ИКАО,Член
MS,МОТ,Член
ТА,МОК,Национальный олимпийский комитет
ТМ,ФАО,Член
SF,ВОТ,Член
ЭАК,ООН,Член
БД,ВКЛ,Член
СУА,ВПС,Член
G,БДЭАК,Член
ХОНКС,WFTU,Член
Ру,МФСР,Категория III
БИ,ДН,Член
JOR,МБРР,Член
Q,ЮНИДО,Член
RO,ИКАО,Член
ДН,ВОИС,Член
ДК,МВФ,Член
AZ,МОК,Национальный олимпийский комитет
ЛВ,МСЭ,Член
КР,Группа 77,Член
ВАЛ,МБРР,Член
ARM,МАГАТЭ,Член
ТЗА,Группа 77,Член
СИР,ЮНИДО,Член
МНП,МСЭ,Член
МПК,МБРР,Член
БИ,ЦЕИАК,Член
ОПП,ОБСЕ,Член
Нл,ОБСЕ,Член
Новой Зеландии,КСП,Член
БД,CP,Член
КН,БИС,Член
CZ,МАГАТЭ,Член
РВА,МФСР,Категория III
Новой Зеландии,МОТ,Член
GQ,ОАГ,наблюдатель
E,ИСО,Член
ВАГ,ЭКОВАС,Член
Новой Зеландии,ВОЗ,Член
НИК,ОПАНАЛ,Член
Q,МАГАТЭ,Член
WS,ООН,Член
БУ,ВПС,Член
БРИН,ОИК,Член
НИК,МФК,Член
Бен,АКТ,Член
ТR,АзБР,нерегиональный член
МЬЯ,ФАО,Член
ЭАК,МКПТ,Национальное общество
РИ,МБРР,Член
Н,МАГАТЭ,Член
ZW,МАГАТЭ,Член
D,Интерпол,Член
ХОНКС,БИС,Член
CV,МСЭ,Член
CI,ВМО,Член
Н,МОМ,Член
И,ИСО,Член
УРБ,Интерпол,Член
V,МСЭ,Член
ФСО,ПСФ,Член
DZ,МОТ,Член
МГ,МФК,Член
WD,АККТ,Член
PL,МОМ,Член
МЕКС,О-6,Член
CO,ВМО,Член
ФЛ,ЕЭК,Член
ЕС,ВКЛ,Член
К,МКПТ,Национальное общество
ФСО,МФОКК,Член
ЕАС,ИКАО,Член
WL,МФОКК,Член
ДА,ЭСКЗА,Член
ГНБ,МФОКК,Член
RO,Интелсат,Член
ЭТО,ВОЗ,Член
СП,ДН,Член
ФПОЛ,МКСП,Член
МНТ,Интерпол,суббюро
RO,ВПС,Член
I,АзБР,нерегиональный член
ЧП,МАР,Часть II
Юзеф,МВФ,Член
SGP,МОК,Национальный олимпийский комитет
