country,independence,dependent,government
A,1918-11-12,,Федеративная республика
AFG,1919-08-19,,переходное правительство
АГ,1981-11-01,,парламентская демократия
AL,1912-11-28,,Формирующаяся демократия
И ДОЛЖНОСТНЫЕ ЛИЦА,,,"Парламентская демократия, которая сохраняет в качестве глав государств принцип взаимности"
АНГ,1975-11-11,,Номинально переходное правительство - многопартийная демократия с сильной президентской системой
ARM,1918-05-28,,Республика
AUS,1901-01-01,,Федеральный парламентский штат
AZ,1991-08-30,,Республика
B,1830-10-04,,конституционная монархия
БД,1971-12-16,,Республика
УРБ,1966-11-30,,парламентская демократия
Бен,1960-08-01,,Республика под многопартийным демократическим правлением отказалась от марксизма Ленинизма в декабре 1989 года
BF,1960-08-05,,Парламентский
БГ,1908-09-22,,Формирующаяся демократия
БВ,1949-08-08,,монархия
БИ,1962-07-01,,Республика
БиГ,1992-04-01,,Формирующаяся демократия
БОЛ,1825-08-06,,Республика
КР,1822-09-07,,Федеративная республика
БРИН,1971-08-15,,Традиционная монархия
БРУ,1984-01-01,,конституционный султанат
BS,1973-07-10,,Содружество
Клянусь!,1991-08-25,,Республика
BZ,1981-09-21,,парламентская демократия
C,1902-05-20,,Коммунистическое государство
КАМ,1960-01-01,,унитарная республика
КН,1867-07-01,,Конфедерация с парламентской демократией
CH,,,Федеративная республика
CI,1960-08-07,,Республика
Кл,1948-02-04,,Республика
CO,1810-07-20,,Республика
COM,1975-07-06,,независимая республика
ЧР,1821-09-15,,Демократическая Республика
CV,1975-07-05,,Республика
CY,1960-08-16,,Республика
CZ,1993-01-01,,парламентская демократия
D,1871-01-18,,Федеративная республика
ДСО,1977-06-27,,Республика
ДК,,,конституционная монархия
ДОМ,1844-02-27,,Республика
