name,country,population,area,capital,capprov
Цезарь,CO,699428,22905.0,Вальедупар,Цезарь
ГР,CH,185063,7105.0,Чхур,ГР
Чад,TCH,6976845,,Нджамена,Чад
Новый Южный Уэльс,AUS,6115100,801428.0,Сидней,Новый Южный Уэльс
Софала,МПК,1427500,68018.0,Бейра,Софала
Бакс Кискун,Н,540800,8363.0,Кеккемет,Бакс Кискун
Блейно Гвент,ГБ,73300,109.0,Эббв Вэйл,Блейно Гвент
БУДЬ,CH,941952,5960.0,Берн,БУДЬ
Мехединти,RO,329000,4900.0,Дробета Терну Северин,Мехединти
Фукусима,J,2133592,13784.0,Фукусима,Фукусима
Джиззах,Юзеф,831000,20500.0,Джиззах,Джиззах
Мальдивские Острова,МВ,270758,,Мужской,Мальдивские Острова
Италия,IRL,3566833,,Дублин,Италия
Буэнос-Айрес,РЭ,12594974,307571.0,Ла-Плата,Буэнос-Айрес
Хэнан,ТДж,90270000,167000.0,Чжэньчжоу,Хэнан
Центральноафриканская Республика,РСС,3274426,,Банги,Центральноафриканская Республика
Нара,J,1430862,3692.0,Нара,Нара
Северо-западный,RSA,3043000,118710.0,Ммабато,Северо-западный
Ленинградская область,Р,1675900,85900.0,Санкт Питербург,Санкт Питербург
Кызылорда,KAZ,606100,226000.0,Кызылорда,Кызылорда
Дамфри и Галлоуэй,ГБ,147800,6425.0,Дамфри,Дамфри и Галлоуэй
Хатлон,TAD,1113500,12600.0,Кюргонтеппа,Хатлон
Галати,RO,642000,4425.0,Галати,Галати
Соревнование,МЬЯ,3862200,94625.0,Соревнование,Соревнование
Пиауи,КР,2676098,252378.0,Терезина,Пиауи
Кинтана Роо,МЕКС,703536,50350.0,Четумаль,Кинтана Роо
Афьон,ТR,739223,14230.0,Афьон,Афьон
Парана,КР,8985981,199709.0,Куритиба,Парана
Морогоро,ЕАТ,1222700,70799.0,Морогоро,Морогоро
Радомская,PL,755500,7294.0,Редом,Радомская
Укаяли,ПЭ,364596,102410.0,Пукалпа,Укаяли
Западная Вирджиния,США,1815787,62761.0,Чарльстон,Западная Вирджиния
Калужская область,Р,1097300,29900.0,Калуга,Калужская область
Куско,ПЭ,1107473,71891.0,Куско,Куско
Каринтия,A,559000,9533.0,Клагенфурт,Каринтия
Джамтланд,И,136009,49443.0,Остерсунд,Джамтланд
Каталония,E,6090107,32113.0,Барселона,Каталония
