desert,country,province
Пустыня Гибсон,AUS,Западная Австралия
Кысилкум,Юзеф,Джиззах
Ливийская пустыня,СУД,Дарфур
Тенере,РН,Нигер
Руб аль-Чали,ОАЭ,Умм аль-Кайвейн
Пустыня в Нижней Калифорнии,МЕКС,Нижняя Калифорния
Сонора,МЕКС,Чиуауа
Хамада дю Драа,МЭТ,Марокко
Великая пустыня Виктория,AUS,Западная Австралия
Муджункум,KAZ,Жамбил
Колорадо Плато,США,Новая Мексика
Гоби,ТДж,Гансу
Дашт-е-Кавир,IR,Тегеран
Танезруфт,РММ,Мали
Великий Эрг Вест,DZ,Алжир
Пустыня,AUS,Квинсленд
Mojave,США,Невада
Дарфур,СУД,Дарфур
Калахари,RSA,Северо-западный
Ливийская пустыня,ЕТ,Матрух
