name,area,depth,altitude,type,river,longitude,latitude
Веттерн,1900.0,119.0,88.0,,,14.5,58.3
&lt; &lt; Полиция &gt; &gt;,370.0,346.0,65.0,,Минсио,10.65,45.6
Бодензе,538.5,254.0,395.0,,Рейн,9.4,47.6
Озеро Бангвеулу,10000.0,4.0,1140.0,,Луапула,29.7,-11.2
Ozero Pskovskoje,3555.0,14.6,30.0,,Нарва,27.49,58.68
Lago de Sobradinho,4214.0,,,искусственные,Рио Сан-Франциско,-40.7,-9.46
Озеро Киву,2650.0,450.0,1462.0,,Рузизи,29.2,-1.8
Озеро Май Ндомбе,8200.0,10.0,300.0,,Фими,18.3,-2.05
Чадское озеро,23000.0,7.0,250.0,соль,,14.0,13.2
Лак-ассаль,54.0,,-155.0,соль,,42.4,11.65
Озеро Ньос,,208.0,,Кальдера,,10.3,6.44
Атлинское озеро,798.0,283.0,668.0,,Река Юкон,-133.75,59.5
&lt; &lt; Нам Ко &gt; &gt;,1855.0,125.0,4718.0,соль,,90.55,30.7
Брайенцерзе,29.8,260.0,564.0,,Aare,7.97,46.73
Озеро Каинджи,1243.0,,,искусственные,Нигер,4.5,10.4
Озеро Титикака,8372.0,281.0,3812.0,,Рио Десагуадеро,-69.33,-15.84
Озеро Ван,3740.0,457.0,1719.0,соль,,42.9,38.6
Озеро Малави,29600.0,704.0,474.0,,Чир,34.0,-12.0
Великолепное медвежье озеро,31792.0,446.0,156.0,,,-120.6,65.9
Озеро Виннипег,24420.0,18.0,218.0,,Нельсон Ривер,-97.97,52.77
Лахер Маар,3.3,53.0,275.0,Кальдера,,7.3,50.4
Озеро Хьюм,202.0,,,,Мюррей Ривер,147.0,-36.1
Озеро Оахе,1453.0,,,искусственные,Миссури,-100.4,44.45
Ozero Tschany,2500.0,106.0,10.0,,,77.5,54.9
Лаго-ди-Больсена,114.0,151.0,335.0,Кальдера,,11.9,42.6
озеро Никарагуа,8157.0,45.0,31.0,,Рио Сан-Хуан,-85.35,11.6
Арресо,40.2,5.6,,,,12.1,56.0
Озеро Кариба,5580.0,32.0,,искусственные,Замбези,28.75,-16.5
Верхнее озеро,82103.0,405.0,184.0,,,-87.37,47.7675
Озеро Онтарио,18960.0,244.0,75.0,,Река Святого Лоуренса,-77.96,43.695
Лох-Ломонд,71.0,190.0,7.9,,,-4.59,56.08
Озеро Гурон,59600.0,229.0,176.0,,Река Детройт,-82.44,44.795
Крейтерское озеро Ликанкабур,0.005,,5600.0,кратер,,-67.9,-22.8
Озеро Танганджика,32893.0,1470.0,782.0,,Лукуга,30.0,-6.0
Оулуярви,928.0,35.0,123.0,,Оулуйоки,27.25,64.3
Соль Makarikari Pan,12000.0,0.0,,соль,,21.0,-25.5
Маеларен,1140.0,66.0,0.7,,,17.1,59.4
Саймаа,4370.0,85.0,76.0,,Вуокси,28.0,61.3
Ozero Aral,17160.0,35.0,31.0,соль,,59.62,44.81
Озеро Чикамауга,147.0,,,,Теннесси,-85.0,35.4
Озеро Виннипесауке,186.0,55.0,153.0,,Река Мерримак,-71.3,43.6
Салар де Уюни,10582.0,0.0,3650.0,соль,,-67.5,-20.1
Аммерзе,46.6,81.1,533.0,,Аммер,11.6,48.0
Лаго-де-Чапала,1685.0,12.0,1520.0,,Рио-Лерма,-103.05,20.22
Сторуман,173.0,139.0,419.0,,Умеэльв,16.88,65.22
Иссык-Куль,6236.0,668.0,1609.0,соль,,77.2,42.4
Великое Соленое озеро,4400.0,10.0,1279.0,,,-112.6,41.15
Великое Невольничье озеро,28568.0,614.0,156.0,,Река Маккензи,-113.9,61.7
Озеро Мверу,5120.0,27.0,931.0,,Лувуа,28.7,-9.0
Цюрихсэ,88.0,136.0,406.0,,Лимат,8.23631,47.5018
Рутанзиге/Эдардзе,2325.0,112.0,920.0,,Семлики,29.6,-0.35
Пейджаенн,1118.0,95.0,78.0,,Кимижоки,25.4,61.5
Каспийское море,386400.0,995.0,-28.0,соль,,51.0,41.0
"Дэриаш, ты, Намак",1800.0,1.0,790.0,соль,,51.88,34.5
Озеро Тахо,497.0,501.0,1900.0,,Река Грузовик,-120.0,39.0
Озеро Вольта,8502.0,130.0,,искусственные,Вольта,0.5,6.3
Лох-Несс,56.0,226.0,16.0,,,-4.44,57.31
