city,province,country,island
Гамильтон,Бермудские острова,БЕРМ,Большие Бермудские острова
Тарава,Кирибати,КИР,Тарава
Шеффилд,Южный Йоркшир,ГБ,Великобритании
Сент-Джонс,Антигуа и Барбуда,АГ,Антигуа
Макати,Филиппины,РП,Лузон
Сент-Пьер,Сент-Пьер и Микелон,СПМИ,Сент-Пьер
Сингапур,Сингапур,SGP,Сингапур
Паликир,Микронезия,ФШМ,Понапе
Миядзаки,Миядзаки,J,Кюсю
Давао,Филиппины,РП,Минданао
Tebing Tinggi,Индонезия,РИ,Суматра
Блэкбёрн,Ланкашир,ГБ,Великобритании
Тояма,Тояма,J,Хонсю
Пематанг Сянтар,Индонезия,РИ,Суматра
Виктория,Мальта,М,Гозо
Мамуцу,Майотта,Мэйо,Майотта
Похмелье,Мадейра,Р,Мадейра
Сьего де Авила,Сьего де Авила,C,Куба
Кингстаун,Сент-Винсент и Гренадины,WV,Сент-Винсент
Фианарантсоа,Фианарантсоа,РМ,Мадагаскар
Дерби,Дербишир,ГБ,Великобритании
