abbreviation,name,city,country,province,established
АКК,Арабский совет сотрудничества,,,,1989-02-16
ВСООНК,Вооруженные силы Организации Объединенных Наций на Кипре,Нью-Йорк,США,Нью-Йорк,1964-03-04
МАГАТЭ,Международное агентство по атомной энергии,Вена,A,Вена,1956-10-26
АфБР,Африканский банк развития,Абиджан,CI,Кот-д &apos; Ивуар,1963-08-04
АНК,Совет сотрудничества в Северной Атлантике,Брюссель,B,Брабант,1991-11-08
CDB,Карибский банк развития,,,,1969-10-18
КАСМ,Центральноамериканский общий рынок,Город Гватемала,СУА,Гватемала,1960-12-13
ЭКА,Экономическая комиссия для Африки,Аддис-Абеба,ЭТО,Эфиопия,1958-04-29
МООННГ,Миссия Организации Объединенных Наций по наблюдению в Грузии,Нью-Йорк,США,Нью-Йорк,
МНООНТ,Миссия наблюдателей Организации Объединенных Наций в Таджикистане,Нью-Йорк,США,Нью-Йорк,1994-12-16
WFTU,Всемирная федерация профсоюзов,Прага,CZ,Праха,1945-10-03
АМП,Арабский валютный фонд,Абу-Даби,ОАЭ,Абу-Даби,1976-04-27
ИБР,Исламский банк развития,Джидда,С.А.,Саудовская Аравия,1973-12-15
ОБСЕ,Организация по безопасности и сотрудничеству в Европе,Вена,A,Вена,1995-01-01
ЕАБР,Восточноафриканский банк развития,Кампала,ЕАС,Уганда,1967-06-06
ВСООНЛ,Временные силы Организации Объединенных Наций в Ливане,Нью-Йорк,США,Нью-Йорк,1978-03-19
КМООНА III,Контрольная миссия Организации Объединенных Наций в Анголе,Нью-Йорк,США,Нью-Йорк,1988-12-20
Группа &lt; &lt; Меконг &gt; &gt;,Группа АСЕАН по вопросам развития бассейна реки Меконг,,,,1995-12-01
МОТ,Международная организация труда,Женева,CH,ГЭ,1919-04-11
ТСЮА,Таможенный союз южной части Африки,Претория,RSA,Гаутенг,1969-12-11
RG,Группа Рио,,,,1988-01-01
ВПС,Всемирный почтовый союз,Берн,CH,БУДЬ,1874-10-09
ИКМООНН,Ирако-кувейтская миссия Организации Объединенных Наций по наблюдению,Нью-Йорк,США,Нью-Йорк,1991-04-09
МНООНЛ,Миссия наблюдателей Организации Объединенных Наций в Либерии,Нью-Йорк,США,Нью-Йорк,1993-09-22
ЭКЛАК,Экономическая комиссия для Латинской Америки и Карибского бассейна,Сантьяго,RCH,Чили,1948-02-25
ЕАСТ,Европейская ассоциация свободной торговли,Женева,CH,ГЭ,1960-01-04
ZC,Комитет Цангера,,,,
МАР,Международная ассоциация развития,Вашингтон,США,ЕВРОПЕЙСКАЯ ЭКОНОМИЧЕСКАЯ КОМИССИЯ,1960-01-26
МВФ,Международный валютный фонд,Вашингтон,США,ЕВРОПЕЙСКАЯ ЭКОНОМИЧЕСКАЯ КОМИССИЯ,1944-07-22
ДН,Движение неприсоединения,Джакарта,РИ,Индонезия,1961-09-01
CP,План Коломбо,Коломбо,Кл,Шри-Ланка,1951-07-01
ЭСКЗА,Экономическая и социальная комиссия для Западной Азии,Амман,JOR,Иордания,1973-08-09
МООНРЗС,Миссия Организации Объединенных Наций по проведению референдума в Западной Сахаре,Нью-Йорк,США,Нью-Йорк,1991-04-29
ВКЛ,Всемирная конфедерация труда,Брюссель,B,Брабант,1920-06-19
ЛАИА,Латиноамериканская ассоциация интеграции,Монтевидео,Ру,Уругвай,1980-08-12
ГЯП,Группа ядерных поставщиков,Вена,A,Вена,
СООНО,Силы Организации Объединенных Наций по охране,Нью-Йорк,США,Нью-Йорк,1992-02-28
Г-19,Группа 19,,,,1975-10-01
ОМЧП,Партнерство во имя мира,,,,1994-01-10
СООННР,Силы Организации Объединенных Наций по наблюдению за разъединением,Дамаск,СИР,Сирия,1974-05-31
