mountain,island
Pico de los Nieves,Гран Канариа
Oraefajokull,Италия
Piton des Neiges,Воссоединение
Мауна Луа,Гавайи
Руапеху,Те Ика-а-Мауи (Северный остров)
Попоманасей,Гвадалканал
Ю Шан,Тайвань
Жима,Олкхон
Фого,Фого
Виктория,Вити Леву
Гилуве,Новая Гвинея
Ринджани,Ломбок
Снэфелл,Италия
Пико,Пико
Mt. Balbi,Бугенвиль
Кракатау,Кракатау
Вильгельм,Новая Гвинея
Голубая гора,Чили
Tatamailau,Тимор
Пинатубо,Лузон
Псилорит,Крета
Пулог,Лузон
Царатанана,Мадагаскар
М. Кук,Те Вака-а-Мауи (Южный остров)
Этна,Сицилия
Халекала,Мауи
Сильвисили,Саваи
Piton de la Fournaise,Воссоединение
Пико Туркино,Куба
Leuser,Суматра
Гунунг Бинайя,Церам
Суфриер Хиллз,Монтсеррат
Ла Суфриер,Басс-Терре
Пели,Мартиника
Пико Дуарти,Испаньола
&lt; &lt; Роке де лос Мучачос &gt; &gt;,Ла-Пальма
Асахи-Дейк,Хоккайдо
Бен Невис,Великобритании
Керинчи,Суматра
Гунунг Агунг,Бали
Пико Руиво,Мадейра
Кинабалу,Борнео
Королева Марис Пик,Тристан-да-Кунья
Мерапи,Ява
Тамбора,Сумбава
Диаблотины морна,Доминика
Панчак Джая,Новая Гвинея
Pico Basile,Биоко
Канлаон,Негры
Серро-де-Пунта,Пуэрто-Рико
Г-н Один,Остров Баффин
Рантекомбола,Сулавеси
