island,country,province
Хонсю,J,Ишикава
Борнео,ТЗА,Саравак
Хонсю,J,Ямагути
Батам,РИ,Индонезия
Сент-Мартин,,Нидерландские Антильские острова
Вангерож,D,Нидераксен
Борнео,РИ,Индонезия
Хонсю,J,Точиги
Кюсю,J,Оита
Лейт,РП,Филиппины
Басс-Терре,ГРАД,Гваделупа
Ислай,ГБ,Стратклид
Сент-Пьер,СПМИ,Сент-Пьер и Микелон
Остров Санта-Роза,США,Калифорния
Хонсю,J,Осака
Ангилья,AXA,Ангилья
Икария,ГР,Верион &lt; &lt; Айяон &gt; &gt;
Великобритании,ГБ,Центральный
Князь острова Уэльс,КН,Северо-западные территории
Великобритании,ГБ,Западный Йоркшир
Великобритании,ГБ,Норфолк
Хонсю,J,Аомори
Сашалин,Р,Сахалинская область
Великобритании,ГБ,Ронда Сайнон Тафф
Великобритании,ГБ,Стратклид
Церам,РИ,Индонезия
Великобритании,ГБ,Гумберсайд
Великобритании,ГБ,Большой Манчестер
Терсейра,Р,Азоры
Сокотра,ДА,Йемен
Корс,F,Корс
Великобритании,ГБ,Линкольншир
Куба,C,Сьюдад-де-ла-Хабана
Гешм,IR,Хормозган
Лангёг,D,Нидераксен
Организация &lt; &lt; Новая Каледония &gt; &gt;,НКА,Новая Каледония
Лолланд,ДК,Дания
Вестрей,ГБ,Оркни
Великобритании,ГБ,Беркшир
Хонсю,J,Хиого
