sea,country,province
Атлантический океан,C,Ла-Хабана
Индийский океан,AUS,Новый Южный Уэльс
Атлантический океан,C,Тунецы
Тихоокеанский океан,ПЭ,Такна
Индийский океан,RSA,Западный мыс
Атлантический океан,США,Флорида
Андаманское море,МЬЯ,Янгон
Средиземное море,ГБЦ,Гибралтар
Тихоокеанский океан,RCH,Чили
Ирландское море,IRL,Италия
Средиземное море,МК,Монако
Черное море,ТR,Кастамону
Карибское море,YV,Нуэва Эспарта
Атлантический океан,АГ,Антигуа и Барбуда
Черное море,UA,Херсонска
Малаккский пролив,ТЗА,Перлис
Персидский залив,ОАЭ,Эш Шарика
Атлантический океан,РЭ,Рио-Негро
Тихоокеанский океан,НОРФ,Остров Норфолк
Тихоокеанский океан,Р,Хабаровский крей
Канал,F,Достоинство Нормандии
Сибирианское море,Р,Архангельская область
Оманский залив,РОУ,Оман
Северное море,ГБ,Большой Лондон
Индийский океан,СП,Сомали
Восточно-Китайское море,ТДж,Фуцзянец
Балтийское море,И,Содерманленд
Атлантический океан,SN,Зигиншор
Атлантический океан,SVAX,Свальбард
Азовское море,UA,Донецка
Атлантический океан,SN,Дакар
Малаккский пролив,ТЗА,Мелака
Оманский залив,ПК,Пакистан
Сибирианское море,Р,Республика Саха
Тихоокеанский океан,HCA,Валье
Атлантический океан,ВАН,Нигерия
Северное море,ГБ,Саффолк
Черное море,ТR,Самсун
Норвежское море,ИУ,Италия
Северное море,ГБ,Нагорья
Восточно-Китайское море,J,Кумамото
Индийский океан,ЕАТ,Танга
Средиземное море,ЕТ,Матрух
Средиземное море,Ил,Центральный
Индийский океан,МПК,Газа
Тихоокеанский океан,J,Вакаяма
Северное море,ГБ,Шетланд
Тихоокеанский океан,Р,Камчатская область
Тихоокеанский океан,КН,Британская Колумбия
Тихоокеанский океан,Р,Магаданская область
Беременное море,Р,Камчатская область
Тихоокеанский океан,МГ,Маршалловы Острова
Карибское море,HCA,Атлантида
Японское море,J,Фукуока
Северное море,F,&lt; &lt; Норд Пас де Кале &gt; &gt;
Персидский залив,IR,Хузестан
Восточно-Китайское море,J,Окинава
Атлантический океан,УРБ,Барбадос
Тихоокеанский океан,J,Хоккайдо
Восточно-Китайское море,ТДж,Чжэцзян
Арабское море,СИН,Тамилнад
Мексиканский залив,США,Миссисипи
Арабское море,РОУ,Оман
Балтийское море,И,Готландия
Карибское море,CO,Антиокия
Средиземное море,ЕТ,Бур Саид (музыка)
Средиземное море,Ил,Южное
Арабское море,ПК,Пакистан
Каттегат,ДК,Дания
Атлантический океан,FARX,Фарерские острова
Северное море,ГБ,Грэмпиан
Атлантический океан,ФАЛК,Фолклендские острова
Балтийское море,И,Кристианстад
Тихоокеанский океан,J,Токусима
Атлантический океан,КР,Рио-Гранди-ду-Сул
Черное море,RO,Константаa
Средиземное море,ГР,Анатолийка Македония Кай Траки
Южно-Китайское море,SGP,Сингапур
Сибирианское море,Р,Тюменская область
Северное море,D,Нидераксен
Арабское море,СИН,Лаксхадвип - это.
Атлантический океан,WL,Сент-Люсия
Атлантический океан,КН,Манитоба
Атлантический океан,HELX,Остров Св. Елены
Тихоокеанский океан,ПЭ,Пиура
Тихоокеанский океан,J,Мие
Море Баренцев,Р,Респондент Карелии
