name,mountains,height,type,longitude,latitude
Пик Гвадалупе,Скалистые горы,2667.0,,-105.0,32.0
Голубая гора,,2256.0,,-76.4,18.1
Большой Баллон,Влагалище,1424.0,,7.1,47.9
Аконкагуа,Анды,6962.0,,-70.0,-32.65
Фого,Кабо-Верде,2829.0,вулкан,-24.4,14.95
Зард Кух,Загрос,4550.0,,50.1,32.35
Мт Реддюйм,Алеутский диапазон,3108.0,вулкан,-152.75,60.5
Гунунг Агунг,,3142.0,вулкан,115.5,-8.3
Citlaltepetl (Pico de Orizaba),Кордильера Вулканика,5700.0,вулкан,-97.0,19.0
Финстераархорн,Альпы,4274.0,,8.1,46.5
Монте Синто,Корс,2706.0,,8.9,42.4
Виктория,,1323.0,вулканическое,178.0,-17.8
Пико де Сан-Томе,,2024.0,вулканическое,6.6,0.2
Нанга Парбат,Каракорум,8125.0,,74.6,35.2
Чимборасо,Анды,6287.0,вулкан,-78.5,-1.2
Мт Логан,Диапазон Элайаса,5959.0,,-140.4,60.6
Касбек,Каукасус,5033.0,вулканическое,44.31,42.42
Манаслу,Гималаи,8163.0,,84.6,28.55
Попокатепетл,Кордильера Вулканика,5450.0,вулкан,-98.0,19.0
Эми Кусси,Тибести,3415.0,вулкан,18.5,20.0
Pico de Alamanzor,Центральный Кордильера,2648.0,,-5.3,40.25
Пико Рокарре,Кордильера Негра,5187.0,,-78.0,-8.8
Вильгельм,,4509.0,,145.0,-5.8
Хекла,,1491.0,вулкан,-19.7,64.0
Мт Рейнье,Диапазон каскадов,4392.0,вулкан,-121.75,46.5
Меру,Восточноафриканский хребет,4567.0,вулкан,36.8,-3.2
Иразу,Кордильера де Таламанка,3432.0,вулкан,-83.9,10.0
Нанда Деви,Гималаи,7816.0,,80.0,30.4
Джезерс,Балканские острова,2694.0,,19.4,42.3
Кэткин Пик,Дракенсберг,3181.0,,29.35,-29.1
Кракатау,,813.0,вулкан,105.4,-6.1
Гилуве,,4368.0,вулкан,143.9,-6.05
Мавензи,Восточноафриканский хребет,5148.0,вулкан,37.45,-3.1
Серро-де-Пунта,,1338.0,,-66.6,18.2
Элгон,Восточноафриканский хребет,4321.0,вулканическое,34.55,1.1
Канчендзонга,Гималаи,8586.0,,88.1,27.7
Ринджани,,3726.0,вулкан,116.5,-8.4
Борах Пик,Скалистые горы,3859.0,,-113.8,44.1
Мт Сент-Элиас,Диапазон Элайаса,5489.0,,-140.9,60.3
Рас Дашан Терара,Амхара,4533.0,вулканическое,38.4,13.2
Глетертинд,,2452.0,,8.1,61.4
Пико Туркино,Сьерра-Маестра,1974.0,,-76.8,20.0
