country,target
СИН,нехристианские
МЭТ,нехристианские
E,Кристиан
CI,нехристианские
Парень,Кристиан
BZ,Кристиан
ФСО,Кристиан
ТМ,нехристианские
МЬЯ,нехристианские
YV,Кристиан
SY,Кристиан
БУ,Кристиан
CY,Кристиан
Ил,нехристианские
AXA,Кристиан
ПНГ,Кристиан
МСП,нехристианские
PY,Кристиан
ARM,Кристиан
I,Кристиан
COCO,нехристианские
JOR,нехристианские
Р,Кристиан
ZW,Кристиан
ES,Кристиан
БиГ,нехристианские
A,Кристиан
ДК,Кристиан
СИР,нехристианские
ГР,Кристиан
ПЭ,Кристиан
D,Кристиан
НОРФ,Кристиан
КОК,Кристиан
МАКХ,нехристианские
РММ,нехристианские
BS,Кристиан
МВт,Кристиан
RL,нехристианские
F,Кристиан
РЧ,Кристиан
К,Кристиан
ДЖА,Кристиан
АЗС,нехристианские
БВИР,Кристиан
AUS,Кристиан
FARX,Кристиан
