country,population_growth,infant_mortality
РП,2.18,35.9
АГ,0.76,17.2
RO,-1.21,23.2
BF,2.53,117.8
UA,-0.4,22.5
BS,1.05,23.3
SGP,1.9,4.7
KWT,6.65,11.1
SF,0.1,4.9
РШМ,0.82,5.5
JOR,2.65,31.5
М,1.01,6.9
НОРФ,,
МАРТ,1.1,7.1
IR,2.21,52.7
ПДТ,2.58,61.1
РМ,2.83,93.5
БУ,2.17,64.6
ГБЦ,0.54,6.9
АЗС,2.46,145.82
МНТ,0.39,16.08
D,0.67,6.0
РОУ,3.53,27.3
TN,1.81,35.1
ТМ,1.82,81.6
Норк,1.74,25.9
Р,-0.07,24.7
БВ,2.32,116.3
МГ,3.85,46.9
ЭВ,-1.13,17.4
ОАЭ,4.33,20.4
ДЖА,0.8,15.6
GH,2.29,80.3
ЛВ,-1.39,21.2
ЧР,2.06,13.5
ТА,1.03,33.4
Кейм,2.39,6.94
ТУКА,2.56,13.89
