river,country,province
Уэлл,ЗРЕ,Верхний Заир
Эннс,A,Нижняя Австрия
Река Аллегени,США,Пенсильвания
Чатанга,Р,Красноярский крей
Виктория Нил,ЕАС,Уганда
Река Юкон,КН,Территория Юкон
Интенсивность,CH,ГР
Маас,F,Шампанское Арден
Длинная кость,AL,Австралия
Лейн,D,Нидераксен
Река Колумбия,КН,Британская Колумбия
Ривьер Ришелье,КН,Квебек
Унасджоки,SF,Лаппия
Тичино,CH,TI
Белый Нил,СУД,Aali a Nil
Рио Сан-Франциско,КР,Минас-Жерайс
Амур,Р,Читинская область
&lt; &lt; Шатт аль-Араб &gt; &gt;,ИРК,Аль-Анбар
Гломма,Н,Тронделаг
Остердалаэльв,И,Даларна
Замбези,Z,Луапула
Арно,I,Тоскана
&lt; &lt; Рио Гранде &gt; &gt;,США,Колорадо
Мюррей Ривер,AUS,Виктория
Санга,РСС,Центральноафриканская Республика
Тибер,I,Умбриа
Лувуа,ЗРЕ,Шаба/Катанга
Индус,ТДж,Тибет
Бани,CI,Кот-д &apos; Ивуар
Петшора,Р,Репозиция Коми
Рио Сан-Хуан,НИК,Никарагуа
Вааг,SK,Словакия
Марн,F,Шампанское Арден
Черный кусок,MK,Чешская Республика
Po,I,Пьемонт
Рейн,CH,ГР
Сусона,Р,Вологодская область
Мёр,A,Зальцбург
Исар,A,Тирол
Рио-Лерма,МЕКС,Наярит
Прайт,UA,Ивано Франкивска
Акагера,РВА,Руанда
Далаэльв,И,Даларна
Роун,CH,VS
Волга,Р,Тверская область
Нигер,RG,Гвинея
Семлики,ЗРЕ,Киву
Река Детройт,КН,Онтарио
Убанги,ЗРЕ,Уравнение
Фульда,D,Гессен
Нил,СУД,Аль-Хартум
Парагвай,КР,Мато Гроссо
Нарын,KGZ,Кыргызстан
Река Ниагара,США,Нью-Йорк
март,CZ,Североморавский
Донау,D,Баден Вуртемберг
Изир,F,Рон-Алпес
Иртыш,KAZ,Шиггиз Казакстан
Куанго,АНГ,Маланье
Токантины,КР,Гоиас
Рио Мадейра,БОЛ,Боливия
Кокемаенейоки,SF,Турку-Пори
Бахр-эль-Джебель/Альберт-Нил,ЕАС,Уганда
Куило,АНГ,Лунда Сул
Шилка,Р,Читинская область
Ломами,ЗРЕ,Шаба/Катанга
Амазонки,ПЭ,Куско
Миссури,США,Монтана
Убанги,РСС,Центральноафриканская Республика
Верра,D,Тюринген
Гуадиана,E,Кастиль Ла Манча
Главное,D,Байерн
Евфрат,ТR,Малатья
Тигр,ТR,Диярбакир
Западная Двина,Р,Смоленская область
Лимат,CH,ZH
Арканзас,США,Колорадо
Aare,CH,БУДЬ
Брахмапутра,ТДж,Тибет
Ишим,KAZ,Карагандия
Саскачеванская река,КН,Альберта
Тобол,Р,Оренбургская область
Нарва,Р,Псковская область
