year,lgid,tmid,franchid,confid,divid,rank,playoff,g,w,l,t,otl,pts,sow,sol,gf,ga,name,pim,benchminor,ppg,ppc,sha,pkg,pkc,shf
1949,NHL,TOR,TOR,,,3,SF,70,31,27,12.0,,74,,,176,173,Торонтские кленовые листья,804.0,,,,,,,
1982,NHL,PIT,PIT,WA,PT,6,,80,18,53,9.0,,45,,,257,394,Пингвины Питтсбурга,1859.0,20.0,81.0,358.0,15.0,110.0,396.0,3.0
1939,NHL,NYA,BKN,,,6,QF,48,15,29,4.0,,34,,,106,140,Американцы Нью-Йорка,236.0,,,,,,,
1975,WHA,SDM,SDM,,WW,3,AVQF,80,36,38,6.0,,78,,,303,290,Сан-Диего Моряки,716.0,,66.0,287.0,10.0,42.0,220.0,6.0
2010,NHL,DET,DET,WC,CE,1,СФК,82,47,25,,10.0,104,4.0,4.0,261,241,&lt; &lt; Красные крылья &gt; &gt;,754.0,6.0,67.0,301.0,7.0,53.0,300.0,5.0
1992,NHL,NJD,NJD,WA,PT,4,DSF,84,40,37,7.0,,87,,,308,299,Нью-Джерси Дьяволы,1815.0,16.0,77.0,400.0,19.0,79.0,425.0,8.0
1919,NHL,MTL,MTL,,,2,,24,13,11,0.0,,26,,,129,113,Монреальские канадиенсы,297.0,,,,,,,
1989,NHL,WAS,WAS,WA,PT,3,CF,80,36,38,6.0,,78,,,284,275,Вашингтон Капиталы,2204.0,12.0,70.0,412.0,15.0,71.0,370.0,9.0
1956,NHL,TOR,TOR,,,5,,70,21,34,15.0,,57,,,174,192,Торонтские кленовые листья,829.0,,,,,,,
1948,NHL,TOR,TOR,,,4,ПК,60,22,25,13.0,,57,,,147,161,Торонтские кленовые листья,706.0,,,,,,,
1931,NHL,MTM,MTM,,CA,3,SF,48,19,22,7.0,,45,,,142,139,Монреальские мароны,593.0,,,,,,,
1926,NHL,NYR,NYR,,AM,1,SF,44,25,13,6.0,,56,,,95,72,Нью-Йоркские рейнджеры,385.0,,,,,,,
1996,NHL,OTT,OTT,EC,NE,3,CQF,82,31,36,15.0,,77,,,226,234,Оттавские сенаторы,1087.0,10.0,56.0,336.0,12.0,48.0,265.0,9.0
1950,NHL,TOR,TOR,,,2,ПК,70,41,16,13.0,,95,,,212,138,Торонтские кленовые листья,823.0,,,,,,,
1992,NHL,WAS,WAS,WA,PT,2,DSF,84,43,34,7.0,,93,,,325,286,Вашингтон Капиталы,1709.0,14.0,97.0,445.0,8.0,74.0,433.0,10.0
1924,NHL,TRS,TOR,,,2,SF,30,19,11,0.0,,38,,,90,84,"Торонто, Сент-Патрикс",274.0,,,,,,,
1954,NHL,BOS,BOS,,,4,SF,70,23,26,21.0,,67,,,169,188,Бостонские бруины,863.0,,,,,,,
1941,NHL,BOS,BOS,,,3,SF,48,25,17,6.0,,56,,,160,118,Бостонские бруины,339.0,,,,,,,
2011,NHL,BOS,BOS,EC,NE,1,CQF,82,49,29,,4.0,102,9.0,3.0,269,202,Бостонские бруины,1101.0,8.0,43.0,250.0,1.0,43.0,260.0,8.0
1999,NHL,PHI,PHI,EC,AT,1,CF,82,45,22,12.0,3.0,105,,,237,179,Филадельфия Флайерс,1233.0,8.0,69.0,340.0,7.0,42.0,316.0,7.0
1974,NHL,ATF,CAL,CC,PT,4,,80,34,31,15.0,,83,,,243,233,Пламя Атланты,915.0,14.0,56.0,283.0,9.0,56.0,270.0,4.0
1925,WCHL,VMR,VMR,,,6,,30,10,18,2.0,,22,,,64,90,Ванкуверские мароны,,,,,,,,
1969,NHL,DET,DET,,ED,3,QF,76,40,21,15.0,,95,,,246,199,&lt; &lt; Красные крылья &gt; &gt;,907.0,8.0,57.0,267.0,3.0,57.0,300.0,8.0
1977,NHL,PIT,PIT,WA,NO,4,,80,25,37,18.0,,68,,,254,321,Пингвины Питтсбурга,1300.0,14.0,53.0,261.0,7.0,61.0,251.0,5.0
1934,NHL,MTM,MTM,,CA,2,ПК,48,24,19,5.0,,53,,,123,92,Монреальские мароны,383.0,,,,,,,
1999,NHL,DET,DET,WC,CE,2,СФК,82,48,22,10.0,2.0,108,,,278,210,&lt; &lt; Красные крылья &gt; &gt;,1014.0,20.0,69.0,338.0,6.0,44.0,311.0,15.0
1975,WHA,CAC,CAC,,CW,3,AVSF,80,41,35,4.0,,86,,,307,282,Калгари Ковбои,1064.0,,59.0,271.0,13.0,70.0,297.0,15.0
2008,NHL,AND,ANA,WC,PC,2,СФК,82,42,33,,7.0,91,7.0,3.0,245,238,Утки Анахайма,1426.0,8.0,73.0,309.0,8.0,78.0,385.0,6.0
2007,NHL,NYI,NYI,EC,AT,5,,82,35,38,,9.0,79,5.0,3.0,194,243,Жители Нью-Йорка,1041.0,18.0,48.0,330.0,15.0,68.0,375.0,10.0
1921,PCHA,VML,VMR,,,2,F,24,12,12,0.0,,24,,,77,68,Ванкуверские миллионеры,,,,,,,,
1917,NHL,MTL,MTL,,,1,НФЧМ,22,13,9,0.0,,26,,,115,84,Монреальские канадиенсы,336.0,,,,,,,
1918,NHL,MTL,MTL,,,2,ND,18,10,8,0.0,,20,,,88,78,Монреальские канадиенсы,253.0,,,,,,,
1920,NHL,MTL,MTL,,,3,,24,13,11,0.0,,26,,,112,99,Монреальские канадиенсы,325.0,,,,,,,
1921,NHL,MTL,MTL,,,3,,24,12,11,1.0,,25,,,88,94,Монреальские канадиенсы,206.0,,,,,,,
1922,NHL,MTL,MTL,,,2,НФЧМ,24,13,9,2.0,,28,,,73,61,Монреальские канадиенсы,193.0,,,,,,,
1923,NHL,MTL,MTL,,,2,ПК,24,13,11,0.0,,26,,,59,48,Монреальские канадиенсы,187.0,,,,,,,
1924,NHL,BOS,BOS,,,6,,30,6,24,0.0,,12,,,49,119,Бостонские бруины,231.0,,,,,,,
1924,NHL,MTL,MTL,,,3,F,30,17,11,2.0,,36,,,93,56,Монреальские канадиенсы,406.0,,,,,,,
1925,NHL,BOS,BOS,,,4,,36,17,15,4.0,,38,,,92,85,Бостонские бруины,292.0,,,,,,,
1925,NHL,MTL,MTL,,,7,,36,11,24,1.0,,23,,,79,108,Монреальские канадиенсы,458.0,,,,,,,
1926,NHL,BOS,BOS,,AM,2,F,44,21,20,3.0,,45,,,97,89,Бостонские бруины,499.0,,,,,,,
1926,NHL,CHI,CHI,,AM,3,QF,44,19,22,3.0,,41,,,115,116,Чикаго Черные Ястребы,436.0,,,,,,,
1926,NHL,MTL,MTL,,CA,2,SF,44,28,14,2.0,,58,,,99,67,Монреальские канадиенсы,409.0,,,,,,,
1927,NHL,BOS,BOS,,AM,1,SF,44,20,13,11.0,,51,,,77,70,Бостонские бруины,557.0,,,,,,,
1927,NHL,CHI,CHI,,AM,5,,44,7,34,3.0,,17,,,68,134,Чикаго Черные Ястребы,377.0,,,,,,,
1927,NHL,MTL,MTL,,CA,1,SF,44,26,11,7.0,,59,,,116,48,Монреальские канадиенсы,496.0,,,,,,,
1927,NHL,NYR,NYR,,AM,2,ПК,44,19,16,9.0,,47,,,94,79,Нью-Йоркские рейнджеры,463.0,,,,,,,
1927,NHL,TOR,TOR,,CA,4,,44,18,18,8.0,,44,,,89,88,Торонтские кленовые листья,522.0,,,,,,,
1928,NHL,BOS,BOS,,AM,1,ПК,44,26,13,5.0,,57,,,89,52,Бостонские бруины,474.0,,,,,,,
1928,NHL,CHI,CHI,,AM,5,,44,7,29,8.0,,22,,,33,85,Чикаго Черные Ястребы,363.0,,,,,,,
1928,NHL,MTL,MTL,,CA,1,SF,44,22,7,15.0,,59,,,71,43,Монреальские канадиенсы,465.0,,,,,,,
1942,NHL,DET,DET,,,1,ПК,50,25,14,11.0,,61,,,169,124,&lt; &lt; Красные крылья &gt; &gt;,371.0,,,,,,,
2005,NHL,BOS,BOS,EC,NE,5,,82,29,37,,16.0,74,2.0,8.0,230,266,Бостонские бруины,1174.0,12.0,62.0,418.0,10.0,78.0,479.0,9.0
1994,NHL,CHI,CHI,WC,CE,3,CF,48,24,19,5.0,,53,,,156,115,Чикаго Блэкхокс,1123.0,8.0,52.0,212.0,3.0,36.0,228.0,7.0
1967,NHL,NYR,NYR,,ED,2,QF,74,39,23,12.0,,90,,,226,183,Нью-Йоркские рейнджеры,669.0,,46.0,217.0,7.0,42.0,223.0,1.0
1988,NHL,MNS,DAL,CC,NO,3,DSF,80,27,37,16.0,,70,,,258,278,Северные звезды Миннесоты,1972.0,12.0,78.0,392.0,9.0,82.0,441.0,17.0
2010,NHL,VAN,VAN,WC,NW,1,F,82,54,19,,9.0,117,4.0,5.0,262,185,Ванкуверские канаки,943.0,10.0,72.0,296.0,2.0,45.0,312.0,6.0
1939,NHL,MTL,MTL,,,7,,48,10,33,5.0,,25,,,90,167,Монреальские канадиенсы,322.0,,,,,,,
1941,NHL,BKN,BKN,,,7,,48,16,29,3.0,,35,,,133,175,Бруклинские американцы,427.0,,,,,,,
