coachid,award,year,lgid,note
barbebi01c,Джек Адамс,2000,NHL,
juliecl01c,Джек Адамс,2008,NHL,
dineebi01c,Шмерц,1977,WHA,
wattto01c,Джек Адамс,1981,NHL,
krommbo01c,Шмерц,1975,WHA,
irvindi01c,Первая команда всех звезд,1944,NHL,
bouchfr01c,Вторая команда всех звезд,1939,NHL,
irvindi01c,Вторая команда всех звезд,1940,NHL,
bowmasc01c,Джек Адамс,1976,NHL,
irvindi01c,Первая команда всех звезд,1945,NHL,
pulfobo01c,Джек Адамс,1974,NHL,
rossar01c,Вторая команда всех звезд,1937,NHL,
huculsa01c,Шмерц,1974,WHA,
lemaija01c,Джек Адамс,1993,NHL,
quennjo01c,Джек Адамс,1999,NHL,
irvindi01c,Вторая команда всех звезд,1932,NHL,
gormato01c,Вторая команда всех звезд,1935,NHL,
harribi01c,Болдуин,1973,WHA,
quinnpa01c,Джек Адамс,1979,NHL,
vigneal01c,Джек Адамс,2006,NHL,
weilaco01c,Первая команда всех звезд,1940,NHL,
duttore01c,Вторая команда всех звезд,1938,NHL,
irvindi01c,Вторая команда всех звезд,1933,NHL,
tortojo01c,Джек Адамс,2003,NHL,
tessior01c,Джек Адамс,1982,NHL,
bowmasc01c,Джек Адамс,1995,NHL,
rossar01c,Первая команда всех звезд,1938,NHL,
hartce01c,Вторая команда всех звезд,1936,NHL,
thomppa01c,Первая команда всех звезд,1939,NHL,
nolante01c,Джек Адамс,1996,NHL,
irvindi01c,Вторая команда всех звезд,1931,NHL,
patrile01c,Первая команда всех звезд,1935,NHL,
patrile01c,Первая команда всех звезд,1937,NHL,
demerja01c,Джек Адамс,1987,NHL,
patrile01c,Первая команда всех звезд,1932,NHL,
murrabr01c,Джек Адамс,1983,NHL,
demerja01c,Джек Адамс,1986,NHL,
keenami01c,Джек Адамс,1984,NHL,
francbo01c,Джек Адамс,2001,NHL,
dayha01c,Вторая команда всех звезд,1943,NHL,
lemaija01c,Джек Адамс,2002,NHL,
sherofr01c,Джек Адамс,1973,NHL,
patrile01c,Первая команда всех звезд,1933,NHL,
gottsjo01c,Вторая команда всех звезд,1945,NHL,
