year,lgid,tmid,hw,hl,ht,hotl,rw,rl,rt,rotl,sepw,sepl,sept,sepol,octw,octl,octt,octol,novw,novl,novt,novol,decw,decl,dect,decol,janw,janl,jant,janol,febw,febl,febt,febol,marw,marl,mart,marol,aprw,aprl,aprt,aprol
2005,NHL,ANA,26,10,,5.0,17,17,,7.0,,,,,6.0,5.0,,1.0,5.0,6.0,,3.0,6.0,4.0,,2.0,7.0,2.0,,4.0,3.0,2.0,,1.0,11.0,4.0,,1.0,5.0,4.0,,0.0
1975,WHA,HOU,33,7,0.0,,20,20,0.0,,,,,,3.0,4.0,0.0,,11.0,3.0,0.0,,7.0,6.0,0.0,,10.0,5.0,0.0,,9.0,4.0,0.0,,9.0,5.0,0.0,,4.0,0.0,0.0,
1970,NHL,CLF,17,21,1.0,,3,32,4.0,,,,,,1.0,7.0,2.0,,5.0,8.0,0.0,,5.0,7.0,0.0,,4.0,10.0,1.0,,2.0,11.0,0.0,,3.0,8.0,2.0,,0.0,2.0,0.0,
1992,NHL,EDM,16,21,5.0,,10,29,3.0,,,,,,3.0,8.0,1.0,,5.0,4.0,3.0,,5.0,9.0,1.0,,5.0,6.0,3.0,,5.0,7.0,0.0,,3.0,10.0,0.0,,0.0,6.0,0.0,
1926,NHL,CHI,12,8,2.0,,7,14,1.0,,,,,,,,,,2.0,3.0,0.0,,6.0,3.0,1.0,,2.0,6.0,1.0,,4.0,6.0,0.0,,5.0,4.0,1.0,,,,,
1937,NHL,MTM,9,13,2.0,,3,17,4.0,,,,,,,,,,4.0,5.0,1.0,,2.0,6.0,0.0,,3.0,5.0,3.0,,2.0,9.0,1.0,,1.0,5.0,1.0,,,,,
1992,NHL,NYR,20,17,5.0,,14,22,6.0,,,,,,7.0,4.0,1.0,,4.0,6.0,2.0,,8.0,6.0,1.0,,4.0,5.0,3.0,,5.0,4.0,3.0,,5.0,6.0,1.0,,1.0,8.0,0.0,
1989,NHL,NYI,15,17,8.0,,16,21,3.0,,,,,,3.0,6.0,3.0,,3.0,12.0,0.0,,9.0,3.0,1.0,,9.0,3.0,1.0,,4.0,5.0,3.0,,3.0,9.0,3.0,,,,,
1993,NHL,WAS,17,16,9.0,,22,19,1.0,,,,,,6.0,7.0,0.0,,4.0,6.0,1.0,,7.0,4.0,2.0,,5.0,7.0,1.0,,9.0,2.0,2.0,,4.0,6.0,4.0,,4.0,3.0,0.0,
1981,NHL,PHI,25,10,5.0,,13,21,6.0,,,,,,8.0,2.0,1.0,,4.0,8.0,0.0,,10.0,3.0,0.0,,6.0,6.0,3.0,,4.0,6.0,2.0,,5.0,5.0,4.0,,1.0,1.0,1.0,
1995,NHL,DET,36,3,2.0,,26,10,5.0,,,,,,5.0,4.0,2.0,,9.0,2.0,0.0,,13.0,1.0,0.0,,8.0,2.0,2.0,,11.0,2.0,0.0,,12.0,1.0,1.0,,4.0,1.0,2.0,
