name,id,award,year,lgid,note
Джеймс Д. Норрис,norrija03h,Патрик,1971,NHL,посмертно
Майк Рихтер,richtmi01,Патрик,2008,NHL,
Джон Хэллиган,,Патрик,2006,NHL,
Лен Сегларски,,Патрик,1989,NHL,
Вилли О'Ри,oreewi01,Патрик,2002,NHL,
Фил Хоузли,houslph01,Патрик,2007,NHL,
Стив Езерман,yzermst01,Патрик,2005,NHL,
Джон Букик,bucykjo01,Патрик,1976,NHL,
Хоби Бейкер,bakerho01h,Патрик,1986,NHL,посмертно
Кэмми Гранато,,Патрик,2006,NHL,
Эд Снайдер,snideed01h,Патрик,1979,NHL,
Томас Локхарт,lockhth01h,Патрик,1967,NHL,
Джордж Гунд,,Патрик,1995,NHL,
&lt; &lt; Арбур &gt; &gt;,arboual01,Патрик,1991,NHL,
Бобби Халл,hullbo01,Патрик,1968,NHL,
Милт Шмидт,schmimi01,Патрик,1995,NHL,
Джек Адамс,adamsja01,Патрик,1965,NHL,
Марио Лемиё,lemiema01,Патрик,1999,NHL,
Род Гилберт,gilbero01,Патрик,1990,NHL,
Джон МакИннес,,Патрик,1985,NHL,
Бобби Кларк,clarkbo01,Патрик,1979,NHL,
Брайан Литч,leetcbr01,Патрик,2006,NHL,
Вестон Адамс,adamswe01h,Патрик,1973,NHL,посмертно
Фред Шеро,sherofr01,Патрик,1979,NHL,
Боб Джонсон,johnsbo02c,Патрик,1987,NHL,
Джим Хенди,hendyji01h,Патрик,1969,NHL,посмертно
Бад Пойл,poilebu01,Патрик,1988,NHL,
Кит Аллен,allenke01,Патрик,1987,NHL,
Гэри Беттман,,Патрик,2000,NHL,
Роберт Райддер,,Патрик,1993,NHL,
Томми Иван,ivanto01c,Патрик,1974,NHL,
Брюс Макналл,,Патрик,1992,NHL,
Дэн Келли,kellyda01,Патрик,1988,NHL,
Мюррей Армстронг,armstmu01,Патрик,1976,NHL,
Уильям Дженнингс,jenniwi01h,Патрик,1970,NHL,
Артур Вирц,wirtzar01h,Патрик,1984,NHL,
Кен Морроу,morroke01,Патрик,1995,NHL,
Лу Нанна,nannelo01,Патрик,1988,NHL,
Дональд Кларк,,Патрик,1974,NHL,
Фрэнк Мэтерс,mathefr01,Патрик,1986,NHL,
Эдди Шор,shoreed01,Патрик,1969,NHL,
Лу Вайро,,Патрик,1999,NHL,
Рид Ларсон,larsore01,Патрик,2005,NHL,
Джон Зиглер,ziegljo01h,Патрик,1983,NHL,
Пэт Лафонтен,lafonpa01,Патрик,1996,NHL,
Билл Клири,,Патрик,1996,NHL,
Джек Райли,rileyja01,Патрик,1985,NHL,
Джон Дэвидсон,davidjo01,Патрик,2003,NHL,
Питер Карманос,,Патрик,1997,NHL,
"Джон А. ""Снукс"" Келли",,Патрик,1971,NHL,
Джон Майасич,,Патрик,1997,NHL,
Стэн Микита,mikitst01,Патрик,1975,NHL,
Алекс Дельвеккио,delveal01,Патрик,1973,NHL,
Уолтер Буш,bushwa01h,Патрик,1972,NHL,
Джордж Лидер,,Патрик,1975,NHL,
Билл Чедвик,chadwbi01h,Патрик,1974,NHL,
Джон Б. Солленбергер,,Патрик,1970,NHL,посмертно
Олимпийская хоккейная команда США 1960 года,,Патрик,2001,NHL,
Уолтер Браун,brownwa02h,Патрик,1967,NHL,посмертно
Мюррей Мёрдок,murdomu01,Патрик,1973,NHL,
Рэймонд Бурк,bourqra01,Патрик,2002,NHL,
Джефф Зауэр,,Патрик,2010,NHL,
Джон Килпатрик,kilpajo01h,Патрик,1967,NHL,посмертно
