year,hofid,name,category
2003,fuhrgr01h,Грант Фюр,Игрок
1963,seibeea01h,Эрл Защищенный,Игрок
1988,oconnbu01h,Приятель О'Коннор,Игрок
1962,pitredi01h,Дидье Питр,Игрок
1958,mcnamge02h,Джордж Макнамара,Игрок
2004,murphla01h,Ларри Мерфи,Игрок
1969,wortero01h,Рой Уортерс,Игрок
1964,siebeba01h,Малыш Сиберт,Игрок
1959,adamsja01h,Джек Адамс,Игрок
1969,norribr01h,Брюс Норрис,Строитель
1960,adamsch01h,Чарльз Адамс,Строитель
1979,orrbo01h,Бобби Орр,Игрок
1984,parenbe01h,Берни Родитель,Игрок
1972,adamswe01h,Вестон Адамс,Строитель
1961,hainsge01h,Джордж Хейнсворт,Игрок
1997,trottbr01h,Брайан Тротье,Игрок
1958,clancki01h,Король Клэнси,Игрок
1980,butteja01h,Джек Баттерфилд,Строитель
1959,thompti01h,Маленький Томпсон,Игрок
1958,dudlege01h,Джордж Дадли,Строитель
2008,larioig01h,Игорь Ларионов,Игрок
1958,pickaal01h,Алан Пикард,Строитель
1977,ahearbu01h,Зайка Ахерне,Строитель
1996,arboual01h,&lt; &lt; Арбур &gt; &gt;,Строитель
1970,gadsbbi01h,Билл Гадсби,Игрок
1958,gardihe01h,Герб Гардинер,Игрок
1963,mclaufr01h,Фредерик Маклафлин,Строитель
2007,macinal01h,Аль МакИннис,Игрок
1973,molsoha01h,Хартланд Молсон,Строитель
2001,kurrija01h,Яри Курри,Игрок
1984,milfoja01h,Джейк Милфорд,Строитель
1974,coultar01h,Арт Коултер,Игрок
1993,lapoigu01h,Парень Лапойнт,Игрок
1967,colvine01h,Нил Колвилл,Игрок
1990,flamafe01h,Ферн Фламан,Игрок
1992,allenke01h,Кит Аллен,Строитель
1997,sathegl01h,Глен Сазер,Строитель
1965,howesy01h,Сид Хоу,Игрок
1952,johnsmo01h,Лось Джонсон,Игрок
2011,belfoed01h,Эд Белфур,Игрок
1950,richage01h,Джордж Ричардсон,Игрок
1988,laflegu01h,Парень Лафлер,Игрок
1962,gardnji01h,Джим Гарднер,Игрок
1945,stanlfr01h,Фредерик Стэнли,Строитель
2002,neilsro01h,Роджер Нилсон,Строитель
1945,bakerho01h,Хоби Бейкер,Игрок
1983,mikitst01h,Стэн Микита,Игрок
2001,fetisvi01h,Виачеслав Фетисов,Игрок
1962,obrieja01h,Амброуз О'Брайен,Строитель
1965,farrear01h,Арт Фаррелл,Игрок
2001,hawerda01h,Дейл Хаверчук,Игрок
1972,belivje01h,Жан Беливо,Игрок
2004,fletccl01h,Клифф Флетчер,Строитель
