playerid,year,tmid,lgid,pos,gp,g,a,pts,pim
anderjo03,1924,VIC,WCHL,L,4,1,0,1,10
broadpu01,1920,OTS,NHL,Р,4,2,0,2,0
holmeha01,1917,TOA,NHL,G,5,0,0,0,0
cleghsp01,1920,OTS,NHL,D,5,1,2,3,0
loughcl01,1924,VIC,WCHL,D,4,1,0,1,4
morenho01,1924,MTL,NHL,C,4,4,1,5,4
dennecy01,1919,OTS,NHL,L,5,0,2,2,3
lehmahu01,1921,VML,PCHA,G,5,0,0,0,0
dundeto01,1913,VA1,PCHA,C,3,2,0,2,11
lehmahu01,1923,VAM,PCHA,G,2,0,0,0,0
fredrfr01,1925,VIC,WCHL,C,4,1,1,2,10
gardihe01,1923,CAT,WCHL,D,2,1,0,1,0
duforan01,1914,OT1,NHA,C,2,0,1,1,0
broadpu01,1925,MTM,NHL,Р,4,1,0,1,20
smyliro01,1921,TRS,NHL,L,5,1,3,4,0
loughcl01,1925,VIC,WCHL,D,4,1,0,1,8
cleghsp01,1923,MTL,NHL,D,4,2,1,3,2
broadpu01,1919,OTS,NHL,Р,4,0,0,0,3
foystfr01,1925,VIC,WCHL,L,4,0,0,0,2
gerared01,1921,TRS,NHL,D,1,0,0,0,0
rickero01,1916,SEA,PCHA,D,4,0,1,1,23
mackami01,1920,VML,PCHA,C,5,0,1,1,0
desirsy01,1920,VML,PCHA,D,4,0,0,0,6
johnsmo01,1915,PO1,PCHA,D,5,1,1,2,9
camerha01,1913,TBS,NHA,D,2,1,0,1,4
adamsbi01,1920,VML,PCHA,Р,4,0,0,0,0
rowebo01,1913,VA1,PCHA,D,3,0,0,0,3
broadpu01,1914,OT1,NHA,Р,3,3,0,3,9
bouchge01,1920,OTS,NHL,D,5,2,0,2,9
taylocy01,1914,VML,PCHA,Р/Л,3,7,3,10,3
ronansk01,1915,MOC,NHA,Р,4,1,0,1,6
wilsocu01,1916,SEA,PCHA,Р,4,1,2,3,0
bouchbi01,1923,MTL,NHL,Р,4,5,1,6,6
benedcl01,1925,MTM,NHL,G,4,0,0,0,0
malonjo01,1912,QU1,NHA,C,3,2,0,2,2
rickero01,1918,SEA,PCHA,D,5,1,2,3,0
manthsy01,1924,MTL,NHL,D,4,0,0,0,2
