constructorstandingsid,raceid,constructorid,points,position,positiontext,wins
26863,982,6,373.0,2,2,4
4677,277,3,46.0,1,1,3
11251,494,1,22.0,6,6,1
25151,881,1,4.0,7,7,0
6375,58,11,24.0,4,4,0
19353,742,95,11.0,3,3,0
23682,540,25,36.0,4,4,1
19321,738,99,0.0,7,7,0
22283,595,63,3.0,9,9,0
19573,735,99,0.0,7,7,0
23722,542,32,86.0,1,1,8
17842,775,87,31.0,3,3,2
10949,479,21,5.0,10,10,0
22234,592,26,0.0,10,10,0
20795,683,194,3.0,10,10,0
22737,584,32,6.0,6,6,0
22908,563,67,2.0,10,10,0
5967,139,15,11.0,5,5,0
9556,395,33,1.0,11,11,0
24992,871,9,272.0,1,1,3
25767,39,1,58.0,11,E,1
24438,351,9,383.0,1,1,6
26077,913,3,187.0,3,3,0
25746,37,2,10.0,2,2,0
25546,259,15,6.0,5,5,0
11351,501,34,18.0,2,2,1
10167,433,27,13.0,7,7,0
9699,405,27,7.0,3,3,0
4043,1,10,0.0,6,6,0
5511,181,20,2.0,7,7,0
11514,511,45,0.0,14,14,0
24937,860,5,2.0,6,6,0
10941,479,37,0.0,14,14,0
21078,677,89,0.0,16,16,0
6336,54,7,1.0,7,7,0
9450,388,45,0.0,11,11,0
20805,684,11,5.0,9,9,0
24853,865,5,6.0,9,9,0
21000,672,190,0.0,13,13,0
25225,888,9,250.0,1,1,4
9220,375,37,0.0,12,12,0
24311,342,5,4.0,8,8,0
24682,853,9,451.0,1,1,8
5611,190,18,1.0,10,10,0
21909,621,1,15.0,1,1,1
5115,246,15,4.0,7,7,0
10493,452,54,0.0,12,12,0
20144,716,172,35.0,3,3,3
5700,148,3,28.0,3,3,2
10984,481,57,0.0,15,15,0
10721,466,25,12.0,7,7,1
25066,875,15,116.0,6,6,0
11423,505,58,0.0,14,14,0
6344,55,9,2.0,8,8,0
2112,196,21,4.0,5,5,0
8833,359,1,47.0,1,1,3
10744,467,45,0.0,15,15,0
20471,706,182,0.0,9,9,0
9841,415,32,50.0,3,3,2
11126,488,6,17.0,3,3,1
24473,353,1,399.0,2,2,5
