season,daynum,wteam,wscore,lteam,lscore,wloc,numot
1987,138,1344,90,1122,87,Да.,1
1995,137,1409,68,1228,62,Да.,0
1997,136,1314,82,1193,74,Да.,0
1996,137,1242,92,1354,54,Да.,0
1999,139,1328,85,1150,72,Да.,0
2002,137,1166,83,1196,82,Да.,2
1991,137,1385,75,1296,68,Да.,0
1985,154,1437,66,1207,64,Да.,0
1997,139,1390,72,1448,66,Да.,0
2012,144,1246,102,1231,90,Да.,0
1995,143,1163,99,1268,89,Да.,0
1993,137,1462,73,1309,55,Да.,0
1996,152,1246,81,1269,74,Да.,0
1995,136,1275,71,1112,62,Да.,0
1991,136,1234,76,1190,73,Да.,0
2009,138,1163,92,1401,66,Да.,0
2014,138,1361,63,1295,44,Да.,0
2006,137,1314,69,1293,65,Да.,0
1991,137,1116,117,1209,76,Да.,0
2002,137,1458,80,1385,70,Да.,0
2009,136,1345,61,1320,56,Да.,0
2011,138,1163,69,1153,58,Да.,0
1986,136,1133,83,1431,65,Да.,0
1996,137,1257,82,1409,80,Да.,1
1993,143,1231,82,1257,69,Да.,0
1994,136,1196,64,1241,62,Да.,0
1987,136,1276,97,1298,82,Да.,0
1990,143,1181,90,1417,81,Да.,0
2008,136,1424,71,1245,58,Да.,0
2010,137,1281,86,1155,78,Да.,0
1995,138,1242,75,1443,70,Да.,0
2001,137,1336,69,1344,59,Да.,0
1997,145,1246,72,1428,59,Да.,0
1993,136,1365,64,1112,61,Да.,0
1999,145,1163,67,1211,62,Да.,0
1996,137,1130,64,1231,51,Да.,0
2001,145,1268,87,1390,73,Да.,0
1996,138,1280,63,1343,41,Да.,0
2004,139,1329,70,1272,53,Да.,0
1990,137,1207,70,1411,52,Да.,0
1987,137,1207,75,1137,53,Да.,0
2009,136,1181,86,1127,62,Да.,0
1999,136,1231,108,1203,88,Да.,0
1997,138,1314,73,1160,56,Да.,0
1988,136,1276,63,1129,58,Да.,0
