yearid,round,teamidwinner,lgidwinner,teamidloser,lgidloser,wins,losses,ties
1995,NLCS,ATL,NL,CIN,NL,4,0,0
1911,WS,PHA,AL,NY1,NL,4,2,0
1941,WS,NYA,AL,BRO,NL,4,1,0
1969,ALCS,BAL,AL,MIN,AL,3,0,0
2004,ОДЛС2,NYA,AL,MIN,AL,3,1,0
1913,WS,PHA,AL,NY1,NL,4,1,0
1978,WS,NYA,AL,LAN,NL,4,2,0
1979,NLCS,PIT,NL,CIN,NL,3,0,0
1981,NLCS,LAN,NL,MON,NL,3,2,0
1999,ОДЛС2,NYA,AL,TEX,AL,3,0,0
1977,WS,NYA,AL,LAN,NL,4,2,0
2008,ALCS,TBA,AL,BOS,AL,4,3,0
1997,WS,FLO,NL,CLE,AL,4,3,0
2004,НЛДС2,HOU,NL,ATL,NL,3,2,0
1966,WS,BAL,AL,LAN,NL,4,0,0
1997,ОДЛС1,CLE,AL,NYA,AL,3,2,0
1970,ALCS,BAL,AL,MIN,AL,3,0,0
2003,ОДЛС2,BOS,AL,OAK,AL,3,2,0
1948,WS,CLE,AL,BSN,NL,4,2,0
2003,НЛДС1,FLO,NL,SFN,NL,3,1,0
2008,ОДЛС2,TBA,AL,CHA,AL,3,1,0
1995,ОДЛС2,SEA,AL,NYA,AL,3,2,0
2010,НЛДС1,PHI,NL,CIN,NL,3,0,0
1987,NLCS,SLN,NL,SFN,NL,4,3,0
1996,ОДЛС2,NYA,AL,TEX,AL,3,1,0
1987,ALCS,MIN,AL,DET,AL,4,1,0
2000,ALCS,NYA,AL,SEA,AL,4,2,0
1945,WS,DET,AL,CHN,NL,4,3,0
2002,ОДЛС1,ANA,AL,NYA,AL,3,1,0
2005,НЛДС1,SLN,NL,SDN,NL,3,0,0
1972,ALCS,OAK,AL,DET,AL,3,2,0
1969,WS,NYN,NL,BAL,AL,4,1,0
1985,NLCS,SLN,NL,LAN,NL,4,2,0
2001,WS,ARI,NL,NYA,AL,4,3,0
1998,WS,NYA,AL,SDN,NL,4,0,0
1937,WS,NYA,AL,NY1,NL,4,1,0
1963,WS,LAN,NL,NYA,AL,4,0,0
1975,ALCS,BOS,AL,OAK,AL,3,0,0
1989,ALCS,OAK,AL,TOR,AL,4,1,0
1998,НЛДС1,ATL,NL,CHN,NL,3,0,0
1987,WS,MIN,AL,SLN,NL,4,3,0
1996,WS,NYA,AL,ATL,NL,4,2,0
2011,ОДЛС1,DET,AL,NYA,AL,3,2,0
2010,ОДЛС2,NYA,AL,MIN,AL,3,0,0
1984,WS,DET,AL,SDN,NL,4,1,0
2012,НЛДС2,SFN,NL,CIN,NL,3,2,0
2007,ОДЛС1,BOS,AL,LAA,AL,3,0,0
1974,ALCS,OAK,AL,BAL,AL,3,1,0
1992,NLCS,ATL,NL,PIT,NL,4,3,0
1980,ALCS,KCA,AL,NYA,AL,3,0,0
1965,WS,LAN,NL,MIN,AL,4,3,0
2009,NLCS,PHI,NL,LAN,NL,4,1,0
1912,WS,BOS,AL,NY1,NL,4,3,0
2011,NLCS,SLN,NL,MIL,NL,4,2,0
1996,NLCS,ATL,NL,SLN,NL,4,3,0
1979,ALCS,BAL,AL,CAL,AL,3,1,0
1915,WS,BOS,AL,PHI,NL,4,1,0
1997,NLCS,FLO,NL,ATL,NL,4,2,0
1976,WS,CIN,NL,NYA,AL,4,0,0
1950,WS,NYA,AL,PHI,NL,4,0,0
1931,WS,SLN,NL,PHA,AL,4,3,0
1991,ALCS,MIN,AL,TOR,AL,4,1,0
1999,WS,NYA,AL,ATL,NL,4,0,0
1995,НЛДС2,CIN,NL,LAN,NL,3,0,0
1990,ALCS,OAK,AL,BOS,AL,4,0,0
1977,ALCS,NYA,AL,KCA,AL,3,2,0
1974,WS,OAK,AL,LAN,NL,4,1,0
1989,WS,OAK,AL,SFN,NL,4,0,0
2007,WS,BOS,AL,COL,NL,4,0,0
1925,WS,PIT,NL,WS1,AL,4,3,0
2011,НЛДС2,MIL,NL,ARI,NL,3,2,0
1992,ALCS,TOR,AL,OAK,AL,4,2,0
2006,ОДЛС2,OAK,AL,MIN,AL,3,0,0
1954,WS,NY1,NL,CLE,AL,4,0,0
1906,WS,CHA,AL,CHN,NL,4,2,0
2000,ОДЛС2,SEA,AL,CHA,AL,3,0,0
1981,НЕДIV,MON,NL,PHI,NL,3,2,0
1934,WS,SLN,NL,DET,AL,4,3,0
1908,WS,CHN,NL,DET,AL,4,1,0
2011,WS,SLN,NL,TEX,AL,4,3,0
1993,WS,TOR,AL,PHI,NL,4,2,0
2012,ОДЛС1,NYA,AL,BAL,AL,3,2,0
2012,АЛЦ,BAL,AL,TEX,AL,1,0,0
2012,WS,SFN,NL,DET,AL,4,0,0
1973,NLCS,NYN,NL,CIN,NL,3,2,0
2007,ALCS,BOS,AL,CLE,AL,4,3,0
1944,WS,SLN,NL,SLA,AL,4,2,0
1985,ALCS,KCA,AL,TOR,AL,4,3,0
1998,NLCS,SDN,NL,ATL,NL,4,2,0
2006,ALCS,DET,AL,OAK,AL,4,0,0
1995,ALCS,CLE,AL,SEA,AL,4,2,0
1983,WS,BAL,AL,PHI,NL,4,1,0
1989,NLCS,SFN,NL,CHN,NL,4,1,0
1935,WS,DET,AL,CHN,NL,4,2,0
1967,WS,SLN,NL,BOS,AL,4,3,0
1980,NLCS,PHI,NL,HOU,NL,3,2,0
1984,NLCS,SDN,NL,CHN,NL,3,2,0
1943,WS,NYA,AL,SLN,NL,4,1,0
2012,НЖЦЖ,SLN,NL,ATL,NL,1,0,0
1928,WS,NYA,AL,SLN,NL,4,0,0
1995,НЛДС1,ATL,NL,COL,NL,3,1,0
2004,NLCS,SLN,NL,HOU,NL,4,3,0
1976,ALCS,NYA,AL,KCA,AL,3,2,0
1990,WS,CIN,NL,OAK,AL,4,0,0
2007,НЛДС2,COL,NL,PHI,NL,3,0,0
2006,НЛДС1,NYN,NL,LAN,NL,3,0,0
2008,ОДЛС1,BOS,AL,LAA,AL,3,1,0
2008,WS,PHI,NL,TBA,AL,4,1,0
2004,ОДЛС1,BOS,AL,ANA,AL,3,0,0
1956,WS,NYA,AL,BRO,NL,4,3,0
1997,НЛДС1,FLO,NL,SFN,NL,3,0,0
2006,НЛДС2,SLN,NL,SDN,NL,3,1,0
1969,NLCS,NYN,NL,ATL,NL,3,0,0
1970,WS,BAL,AL,CIN,NL,4,1,0
1972,NLCS,CIN,NL,PIT,NL,3,2,0
2009,ALCS,NYA,AL,LAA,AL,4,2,0
1986,NLCS,NYN,NL,HOU,NL,4,2,0
1978,NLCS,LAN,NL,PHI,NL,3,1,0
2006,NLCS,SLN,NL,NYN,NL,4,3,0
2012,ALCS,DET,AL,NYA,AL,4,0,0
1973,ALCS,OAK,AL,BAL,AL,3,2,0
1932,WS,NYA,AL,CHN,NL,4,0,0
1903,WS,BOS,AL,PIT,NL,5,3,0
2008,НЛДС2,PHI,NL,MIL,NL,3,1,0
1998,НЛДС2,SDN,NL,HOU,NL,3,1,0
2000,ОДЛС1,NYA,AL,OAK,AL,3,2,0
