playerid,schoolid,yearmin,yearmax
grosswa01,calpolypom,1971,1973
gallomi01,longbeach,1998,1999
danfoda01,baylor,1911,1911
milleru02,wmichigan,1921,1924
kolbda01,illinoisst,1994,1994
stonege02,latech,1965,1966
rupery01,texasam,1994,1995
piezsa01,rutgers,1909,1909
mulliji01,manhattan,1901,1904
veilbu01,bucknell,1900,1902
henrifr01,stjosephs,1916,1919
singlch01,nevada,1992,1993
dowdjo01,vermont,1910,1912
bloombu01,arkansas,1955,1956
willian01,arizonast,1992,1994
rayla01,kywesleyan,1977,1979
willike03,clemson,1991,1992
corbicl01,duke,1935,1936
benjami01,arizonast,1986,1987
shannmi01,missouri,1958,1958
brockch01,floridast,1989,1992
asbelji01,tulane,1937,1937
owensp01,texas,1980,1982
kesteri01,ucla,1966,1967
karowma01,ohiost,1925,1927
sommean01,virginia,1898,1900
humphbo01,hampsydney,1955,1958
smithal02,villanova,1922,1926
thornma01,grvalleyst,1996,1998
lemanda01,hartwickny,1970,1972
abbotky01,longbeach,1989,1989
allenje01,purdue,1991,1993
fettelo01,movalley,1927,1926
ratzest01,stjohns,1972,1975
taussdo01,hofstra,1950,1950
williac01,amherstma,1938,1940
caprani01,oklahoma,1979,1979
sherrge01,austinpeay,1998,1999
fenneho01,kalamazoo,1916,1917
demarch01,longbeach,2001,2002
altmage01,tennst,1952,1955
mcraeha01,floridaam,1964,1965
johnsdo04,virginia,1988,1990
witasja01,umbc,1992,1993
mottoch01,cflorida,1990,1992
hayesvo01,stmarysca,1977,1979
longjo01,kentst,1990,1991
hayesbi01,indianast,1976,1978
tremani01,manhattan,1931,1934
lentiji01,laverneca,1975,1975
almonbi01,brown,1973,1974
lovripe01,arizonast,1962,1962
sawyewi01,casewestrn,1880,1883
barrysh01,niagara,1896,1899
brownby01,mowestern,1961,1962
verhojo01,laverneca,1974,1974
bowensa02,valdostast,1973,1974
curledo01,virginia,1899,1899
boneyha01,florida,1926,1927
macksh01,ucla,1982,1984
graydi01,waynesburg,1949,1950
newmaal01,sandiegost,1981,1981
moyerja01,stjosephs,1982,1984
kepshku01,newhaven,1979,1980
saboal01,fordham,1929,1936
hainehi01,pennst,1921,1922
renicri01,ohiost,1964,1964
daniebe01,bucknell,1910,1910
dassofr01,amerintl,1940,1942
ainswku01,lsu,1998,1999
pechoch01,loyolachi,1912,1914
fletcpa01,wvstate,1986,1988
kunzea01,santaclara,1919,1922
portech01,clemson,1974,1976
baldwhe01,wchester,1913,1917
torveke01,oralrob,1979,1981
leema03,flinternat,1985,1985
houckby01,oregon,1910,1911
gibsobo01,creighton,1954,1957
mortogu02,alabama,1949,1954
kraveke01,ashland,1970,1973
richaru01,texas,1984,1986
odomhe01,texas,1922,1924
duganda01,stlouis,1926,1928
lathrbi01,notredame,1912,1913
wallado02,okstate,1960,1962
sketcbu01,ucla,1938,1941
chandsp01,georgia,1929,1932
barnebr01,clemson,1986,1989
mohorda01,clevst,1977,1978
geishve01,wisconsin,1965,1965
winnge01,mercer,1918,1918
bickhda01,princeton,1884,1886
collira01,vermont,1906,1909
shermjo01,umass,1911,1914
powerdo01,notredame,1897,1898
maaske01,california,1984,1986
smithed02,yale,1882,1882
pearcjo01,arizona,1997,1999
werthde01,silledward,1974,1974
thomale01,lynchbrgva,1920,1923
pottsjo01,casewestrn,1910,1912
mccalwi01,sanfran,1943,1943
wanerpa01,ecentralok,1921,1923
hearnji01,gatech,1940,1941
bergmal01,notredame,1914,1915
mellobi01,brown,1893,1899
olsenke01,oklahoma,1997,1998
sothoal01,albrightpa,1911,1914
bradlph01,missouri,1979,1981
drakeso01,philsmith,1949,1951
laneje01,ithacany,1947,1951
conlojo01,harvard,1917,1922
suscege01,stbonny,1928,1929
terwiwa01,wmichigan,1946,1949
hansecr01,stjohns,2003,2005
bergmdu01,hawaii,1997,1999
fossato01,sflorida,1977,1979
newmaje01,txchrist,1968,1970
kilgupa01,kentucky,1981,1984
edenfke01,wkentucky,1989,1990
winfida01,minnesota,1971,1973
bairdo01,bowlgreen,1970,1971
biggicr01,setonhall,1985,1987
mclaned01,fordham,1900,1907
fireost01,miamioh,1976,1978
brownbo03,ucla,1944,1944
heffebe01,clemson,1985,1988
wallmu01,texas,1947,1950
jacksda02,oklahoma,1981,1981
booneik01,alabama,1919,1920
youngpe02,missst,1987,1989
trautjo01,nwestern,1981,1984
reeseke01,sandiego,1997,2000
hairsje02,sillinois,1996,1997
