awardid,yearid,lgid,managerid,pointswon,pointsmax,votesfirst
Mgr of the year,2007,AL,wedgeer01m,116,140,19
Mgr of the year,2009,AL,girarjo01m,34,140,4
Mgr of the year,1984,NL,johnsda02m,72,120,4
Mgr of the year,1994,AL,hargrmi01m,86,140,4
Mgr of the year,2011,AL,sciosmi01m,4,140,0
Mgr of the year,1995,NL,bochybr01m,1,140,0
Mgr of the year,1987,NL,craigro01m,65,120,6
Mgr of the year,2005,AL,machake01m,21,140,1
Mgr of the year,2011,AL,girarjo01m,14,140,0
Mgr of the year,1997,NL,bakerdu01m,110,140,17
Mgr of the year,2000,AL,manueje01m,134,140,25
Mgr of the year,2006,AL,gardero01m,93,140,9
Mgr of the year,1994,AL,lamonge01m,17,140,0
Mgr of the year,1990,NL,pinielo01m,49,120,3
Mgr of the year,1992,AL,gastoci01m,13,140,1
Mgr of the year,1986,AL,mcnamjo99m,95,140,13
Mgr of the year,2000,NL,bakerdu01m,154,160,30
Mgr of the year,2011,NL,larusto01m,24,160,1
Mgr of the year,1996,AL,hargrmi01m,22,140,2
Mgr of the year,2005,AL,sciosmi01m,7,140,0
Mgr of the year,1985,NL,herzowh01m,86,120,11
Mgr of the year,1983,NL,lasorto01m,10,24,10
Mgr of the year,2006,NL,girarjo01m,111,160,18
Mgr of the year,2005,NL,bochybr01m,4,160,0
Mgr of the year,2012,AL,washiro01m,2,140,0
Mgr of the year,2004,AL,wedgeer01m,3,140,0
Mgr of the year,1999,AL,howear01m,85,140,5
Mgr of the year,1999,AL,oatesjo01m,18,140,1
Mgr of the year,1991,AL,valenbo02m,3,140,0
Mgr of the year,1997,AL,bellbu01m,50,140,4
Mgr of the Year,2001,NL,tracyji01m,48,160,4
Mgr of the year,1994,NL,johnsda02m,51,140,0
Mgr of the year,1991,NL,lasorto01m,5,120,0
Mgr of the year,2000,NL,coxbo01m,41,160,1
Mgr of the year,1987,AL,edwardo01m,1,140,0
Mgr of the year,1985,NL,rosepe01m,85,120,10
Mgr of the year,1987,AL,kellyto01m,74,140,10
Mgr of the year,2008,NL,sveumda01m,1,160,0
Mgr of the year,1995,AL,kenneke99m,74,140,11
Mgr of the Year,2001,NL,coxbo01m,12,160,2
Mgr of the year,2010,NL,blackbu02m,104,160,16
Mgr of the year,1989,NL,zimmedo01m,118,120,23
Mgr of the year,2008,AL,gardero01m,58,140,1
Mgr of the year,1986,AL,mauchge01m,44,140,2
Mgr of the year,1991,AL,kellyto01m,138,140,27
Mgr of the year,1994,AL,showabu99m,132,140,24
Mgr of the year,1985,AL,howsedi01m,66,140,4
Mgr of the year,2005,NL,manuech01m,5,160,0
Mgr of the year,2010,NL,manuech01m,20,160,1
Mgr of the year,2008,NL,larusto01m,11,160,1
Mgr of the year,1996,AL,kellyto01m,4,140,0
Mgr of the year,1990,AL,gastoci01m,6,140,0
Mgr of the year,2007,NL,manuech01m,76,160,7
Mgr of the year,1992,AL,oatesjo01m,27,140,0
Mgr of the year,1985,AL,mcnamjo99m,1,140,0
Mgr of the year,1990,AL,morgajo01m,28,140,1
Mgr of the Year,2003,NL,aloufe01m,51,160,5
Mgr of the Year,2003,AL,torrejo01m,14,140,0
Mgr of the year,2012,NL,gonzafr99m,17,160,0
Mgr of the year,1997,NL,lamonge01m,92,140,10
Mgr of the year,1995,AL,hargrmi01m,71,140,8
Mgr of the year,1993,NL,aloufe01m,27,140,2
Mgr of the year,1999,AL,torrejo01m,21,140,0
Mgr of the year,1991,AL,morgajo01m,16,140,0
Mgr of the year,2000,AL,torrejo01m,5,140,0
Mgr of the year,2010,AL,washiro01m,81,140,10
Mgr of the year,1989,NL,howear01m,4,120,0
Mgr of the year,2009,NL,coxbo01m,15,160,0
Mgr of the year,2010,NL,millsbr01m,3,160,0
Mgr of the year,2000,NL,bellbu01m,2,160,0
Mgr of the Year,2003,AL,toscaca99m,3,140,0
Mgr of the year,1997,NL,valenbo02m,7,140,0
Mgr of the year,1996,AL,johnsda02m,4,140,0
Mgr of the year,1992,NL,leylaji99m,109,120,20
Mgr of the year,1995,AL,lachema01m,5,140,0
Mgr of the year,2009,AL,leylaji99m,2,140,0
Mgr of the year,1997,NL,dierkla01m,34,140,1
Mgr of the year,1993,NL,bakerdu01m,105,140,15
Mgr of the year,1996,NL,bochybr01m,76,140,10
Mgr of the year,1993,NL,fregoji01m,92,140,11
Mgr of the year,2004,NL,larusto01m,62,160,4
Mgr of the year,2009,NL,manuech01m,10,160,0
Mgr of the Year,2002,NL,bakerdu01m,18,160,1
Mgr of the year,1997,AL,hargrmi01m,13,140,2
Mgr of the year,2006,NL,narroje01m,6,160,0
Mgr of the year,2008,NL,coopece01m,3,160,0
Mgr of the year,2010,AL,maddojo99m,44,140,1
