awardid,yearid,lgid,playerid,pointswon,pointsmax,votesfirst
MVP,1979,NL,kingmda01,53,336,0.0
MVP,1962,NL,roebued01,2,280,0.0
MVP,1913,NL,daubeja01,50,64,
MVP,2010,AL,cabremi01,262,392,5.0
MVP,1951,NL,reesepe01,15,336,0.0
MVP,2011,AL,cabremi01,193,392,2.0
MVP,1934,AL,westsa01,5,80,0.0
MVP,2006,AL,thomeji01,17,392,0.0
Cy Young,2003,AL,loaizes01,63,140,2.0
MVP,1959,NL,mccovwi01,1,336,0.0
MVP,1979,AL,baylodo01,347,392,20.0
MVP,1985,AL,mattido01,367,392,23.0
MVP,1941,AL,aukerel01,1,336,0.0
MVP,2010,NL,hollima01,32,448,0.0
MVP,2003,AL,chaveer01,18,392,0.0
MVP,1959,AL,tuttlbi01,5,336,0.0
MVP,1978,NL,burroje01,7,336,0.0
Cy Young,2012,NL,cainma01,22,224,0.0
MVP,1991,AL,ericksc01,12,392,0.0
MVP,1990,AL,jonesdo01,3,392,0.0
Cy Young,1994,NL,freemma02,4,140,0.0
MVP,1987,AL,evansdw01,127,392,0.0
MVP,2005,NL,oswalro01,6,448,0.0
MVP,1958,NL,covinwe01,16,336,0.0
MVP,1961,AL,marisro01,202,280,7.0
MVP,1960,AL,minosmi01,141,336,2.0
MVP,1993,AL,alomaro01,102,392,0.0
MVP,1948,AL,berrayo01,3,336,0.0
MVP,1942,AL,willite01,249,336,9.0
MVP,1976,NL,suttodo01,7,336,0.0
Cy Young,1973,NL,billija01,30,120,2.0
MVP,2010,AL,konerpa01,130,392,0.0
MVP,1960,AL,smithal04,73,336,0.0
MVP,1940,NL,camildo01,30,336,0.0
MVP,1928,AL,fonsele01,2,64,0.0
Rookie of the Year,1988,AL,espyce01,1,140,0.0
Cy Young,2005,AL,millwke01,1,140,0.0
MVP,1970,AL,olivebo01,1,336,0.0
MVP,1929,NL,kleinch01,15,80,
MVP,1934,AL,knickbi01,2,80,0.0
MVP,1956,NL,boyerke01,2,336,0.0
MVP,1992,NL,butlebr01,2,336,0.0
Cy Young,1977,NL,suttebr01,5,120,0.0
MVP,2009,AL,hernafe02,1,392,0.0
Cy Young,1978,AL,marshmi01,1,140,0.0
MVP,1943,AL,wagneha01,1,336,0.0
MVP,1967,AL,peterga01,37,280,0.0
MVP,1942,AL,dickebi01,12,336,0.0
MVP,1965,NL,callijo01,6,280,0.0
MVP,1990,NL,larkiba01,82,336,0.0
MVP,1975,AL,doylede01,5,336,0.0
MVP,1997,AL,rhodear01,5,392,0.0
MVP,1972,AL,lolicmi01,60,336,1.0
MVP,1955,AL,vernomi01,4,336,0.0
MVP,2002,AL,percitr01,12,392,0.0
MVP,1973,AL,bluevi01,3,336,0.0
MVP,1966,NL,mazerbi01,3,280,0.0
MVP,1964,NL,callijo01,187,280,2.0
MVP,2002,NL,pujolal01,276,448,0.0
MVP,1978,NL,cabelen01,2,336,0.0
Cy Young,1999,AL,seleaa01,4,140,0.0
MVP,1971,NL,johnsje01,12,336,0.0
MVP,1971,NL,stargwi01,222,336,3.0
MVP,1924,NL,deberha01,1,80,0.0
MVP,1931,NL,hafeych01,29,80,
MVP,1912,AL,bakerfr01,17,64,
MVP,1950,NL,jethrsa01,6,336,0.0
MVP,2009,NL,gonzaad01,30,448,0.0
MVP,1952,AL,jenseja01,12,336,0.0
MVP,1963,AL,howarel01,248,280,15.0
MVP,1946,NL,brechha01,14,336,0.0
MVP,1947,AL,stephve01,1,336,0.0
MVP,1966,NL,aaronha01,57,280,0.0
MVP,1965,AL,versazo01,275,280,19.0
MVP,1979,NL,templga01,5,336,0.0
