yearid,lgid,teamid,franchid,divid,rank,g,ghome,w,l,divwin,wcwin,lgwin,wswin,r,ab,h,2b,3b,hr,bb,so,sb,cs,hbp,sf,ra,er,era,cg,sho,sv,ipouts,ha,hra,bba,soa,e,dp,fp,name,park,attendance,bpf,ppf,teamidbr,teamidlahman45,teamidretro
1922,NL,NY1,SFG,,1,156,79.0,93,61,,,Y,Y,852,5454,1661,253,90,80,448,421.0,116.0,83.0,,,658,535,3,76,7,15,4188,1454,71,393,388,194,145.0,0,Нью-Йорк Гиганты,Поло Земля IV,945809.0,102,98,NYG,NY1,NY1
1999,AL,SEA,SEA,W,3,162,81.0,79,83,Н,Н,Н,Н,859,5572,1499,263,21,244,610,1095.0,130.0,45.0,,,905,834,5,7,6,40,4300,1613,191,684,980,113,180.0,0,Морские пехотинцы Сиэтла,Полевое поле Королевства/ &lt; &lt; Сейфко &gt; &gt;,2916346.0,102,103,SEA,SEA,SEA
1997,NL,SFN,SFG,W,1,162,81.0,90,72,Y,Н,Н,Н,784,5485,1415,266,37,172,642,1120.0,121.0,49.0,,,793,709,4,5,9,45,4338,1494,160,578,1044,120,157.0,0,Сан-Франциско Гиганты,Парк 3Com,1690869.0,98,98,SFG,SFN,SFN
1948,NL,PIT,PIT,,4,156,80.0,83,71,,,Н,Н,706,5286,1388,191,54,108,580,578.0,68.0,,,,699,632,4,65,5,19,4113,1373,120,564,543,135,150.0,0,Питтсбургские пираты,Поле Форбса,1517021.0,102,103,PIT,PIT,PIT
1892,NL,CL4,CLV,,2,153,,93,56,,,Н,,855,5412,1375,196,96,26,552,536.0,225.0,,,,613,358,2,140,11,2,4008,1178,28,413,472,406,,0,Кливленд Паук,Парк I Лиги,139928.0,104,103,CLV,CL4,CL4
1924,NL,BRO,LAD,,2,154,77.0,92,62,,,Н,Н,717,5339,1534,227,54,72,447,357.0,34.0,46.0,,,675,557,3,97,10,5,4128,1432,58,403,638,196,121.0,0,Бруклинские Робинс,Эббетс Поле,818883.0,97,97,BRO,BRO,BRO
1971,AL,CHA,CHW,W,3,162,81.0,79,83,Н,,Н,Н,617,5382,1346,185,30,138,562,870.0,83.0,65.0,,,597,503,3,46,19,32,4350,1348,100,468,976,160,128.0,0,Чикаго Уайт Сокс,Парк Комиски,833891.0,104,104,CHW,CHA,CHA
1905,NL,BSN,ATL,,7,156,76.0,51,103,,,Н,Н,468,5190,1217,148,52,17,302,,132.0,,,,733,541,3,139,14,0,4149,1390,36,433,533,311,89.0,0,Бостонские бунтари,South End Groups III,150003.0,98,103,BSN,BSN,BSN
1943,AL,SLA,BAL,,6,153,77.0,72,80,,,Н,Н,596,5175,1269,229,36,78,569,646.0,37.0,43.0,,,604,525,3,64,10,14,4155,1397,74,488,572,152,127.0,0,Сент-Луис Браунс,Парк IV для спортсменов,214392.0,104,102,SLB,SLA,SLA
1892,NL,SLN,STL,,11,155,,56,94,,,Н,,703,5259,1187,138,53,45,607,491.0,209.0,,,,922,627,4,139,4,1,4032,1466,47,543,478,453,,0,Сент-Луис Браунс,Парк I для спортсменов,192442.0,105,104,STL,SLN,SLN
