managerid,yearid,teamid,lgid,inseason,g,w,l,rank,plyrmgr
frazijo01m,1976,NYN,NL,1,162,86,76,3,Н
torrejo01m,1980,NYN,NL,1,162,67,95,5,Н
durocle01m,1941,BRO,NL,1,157,100,54,1,Y
lefebji01m,1993,CHN,NL,1,162,84,78,4,Н
sciosmi01m,2004,ANA,AL,1,162,92,70,1,Н
richapa01m,1976,CHA,AL,1,161,64,97,6,Н
tinkejo01m,1913,CIN,NL,1,156,64,89,7,Y
manueje01m,2000,CHA,AL,1,162,95,67,1,Н
buckeal99m,1892,PIT,NL,3,66,38,27,4,Н
mcmilro01m,1972,ML4,AL,2,2,1,1,6,Н
phillbi02m,1915,NEW,FL,1,53,26,27,5,Н
narroje01m,2002,TEX,AL,1,162,72,90,4,Н
stengca01m,1951,NYA,AL,1,154,98,56,1,Н
torrejo01m,1990,SLN,NL,3,58,24,34,6,Н
stallge01m,1914,BSN,NL,1,158,94,59,1,Н
trebeto99m,1988,ML4,AL,1,162,87,75,4,Н
stallge01m,1901,DET,AL,1,136,74,61,3,Н
torboje01m,2002,FLO,NL,1,162,79,83,4,Н
francte01m,2011,BOS,AL,1,162,90,72,3,Н
seleefr99m,1898,BSN,NL,1,152,102,47,1,Н
lopezal01m,1962,CHA,AL,1,162,85,77,5,Н
chapmja01m,1876,LS1,NL,1,69,30,36,5,Y
giffoji99m,1884,IN2,AA,1,87,25,60,11,Н
bochybr01m,2010,SFN,NL,1,162,92,70,1,Н
mcveyca01m,1878,CN1,NL,1,61,37,23,2,Y
rosepe01m,1989,CIN,NL,1,125,59,66,5,Н
torrejo01m,1996,NYA,AL,1,162,92,70,1,Н
robinwi01m,1916,BRO,NL,1,156,94,60,1,Н
grammal01m,1976,ML4,AL,1,161,66,95,6,Н
pearcdi01m,1872,NY2,,1,16,10,6,3,Y
leylaji99m,1992,PIT,NL,1,162,96,66,1,Н
slattja01m,1928,BSN,NL,1,31,11,20,7,Н
torrejo01m,1992,SLN,NL,1,162,83,79,3,Н
andersp01m,1995,DET,AL,1,144,60,84,4,Н
sewellu01m,1946,SLA,AL,1,125,53,71,7,Н
mackco01m,1911,PHA,AL,1,152,101,50,1,Н
foxch01m,1983,CHN,NL,2,39,17,22,5,Н
francte01m,2010,BOS,AL,1,162,89,73,3,Н
comisch01m,1893,CIN,NL,1,131,65,63,6,Y
sharsbi99m,1890,PH4,AA,1,132,54,78,8,Н
barnibi01m,1888,BL2,AA,1,139,57,80,5,Н
hargrmi01m,1999,CLE,AL,1,162,97,65,1,Н
mauchge01m,1972,MON,NL,1,156,70,86,5,Н
mcbridi01m,1874,PH1,,1,56,33,23,3,Y
melvibo01m,2004,SEA,AL,1,162,63,99,4,Н
huggimi01m,1924,NYA,AL,1,153,89,63,2,Н
pinielo01m,2008,CHN,NL,1,161,97,64,1,Н
harribu01m,1953,WS1,AL,1,152,76,76,5,Н
martibi02m,1979,NYA,AL,2,95,55,40,4,Н
cronijo01m,1943,BOS,AL,1,155,68,84,7,Y
terrybi01m,1940,NY1,NL,1,152,72,80,6,Н
schoere01m,1965,SLN,NL,1,162,80,81,7,Н
gardnbi02m,1983,MIN,AL,1,162,70,92,6,Н
leylaji99m,2006,DET,AL,1,162,95,67,2,Н
pinielo01m,1991,CIN,NL,1,162,74,88,5,Н
murrabi99m,1908,PHI,NL,1,155,83,71,4,Н
loftuto01m,1900,CHN,NL,1,146,65,75,6,Н
sewellu01m,1944,SLA,AL,1,154,89,65,1,Н
mauchge01m,1979,MIN,AL,1,162,82,80,4,Н
schmegu99m,1888,CN2,AA,1,137,80,54,4,Н
leylaji99m,2010,DET,AL,1,162,81,81,3,Н
altobjo01m,1985,BAL,AL,1,55,29,26,4,Н
mauchge01m,1969,MON,NL,1,162,52,110,6,Н
mckecbi01m,1932,BSN,NL,1,155,77,77,5,Н
scanlmi99m,1884,WSU,UA,1,114,47,65,7,Н
whitewi01m,1884,CN2,AA,1,72,44,27,5,Y
mauchge01m,1982,CAL,AL,1,162,93,69,1,Н
johnswa01m,1935,CLE,AL,1,96,46,48,3,Н
manuech01m,2000,CLE,AL,1,162,90,72,2,Н
martibi02m,1973,DET,AL,1,134,71,63,3,Н
darkal01m,1962,SFN,NL,1,165,103,62,1,Н
lucchfr99m,1977,TEX,AL,1,62,31,31,2,Н
bladera01m,1940,SLN,NL,1,39,14,24,3,Н
liponjo01m,1971,CLE,AL,2,59,18,41,6,Н
barnibi01m,1893,LS3,NL,1,126,50,75,11,Н
pinielo01m,1993,SEA,AL,1,162,82,80,4,Н
bristda99m,1970,ML4,AL,1,163,65,97,4,Н
weaveea99m,1978,BAL,AL,1,161,90,71,4,Н
lajoina01m,1905,CLE,AL,3,56,19,36,5,Y
lamonge01m,1993,CHA,AL,1,162,94,68,1,Н
freyji99m,1984,CHN,NL,1,161,96,65,1,Н
