playerid,yearid,gamenum,gameid,teamid,lgid,gp,startingpos
hislela01,1977,0,ALS197707190,MIN,AL,1.0,
musiast01,1960,2,ALS196007130,SLN,NL,1.0,
hayesfr01,1939,0,ALS193907110,PHA,AL,0.0,
goodmiv01,1939,0,ALS193907110,CIN,NL,1.0,9.0
blaloha01,2003,0,ALS200307150,TEX,AL,1.0,
ottme01,1939,0,ALS193907110,NY1,NL,1.0,8.0
shawje01,1998,0,NLS199807070,LAN,NL,1.0,
nettlgr01,1975,0,ALS197507150,NYA,AL,1.0,5.0
finlech01,1995,0,ALS199507110,CAL,AL,0.0,
pepitjo01,1964,0,NLS196407070,NYA,AL,1.0,
ruffire01,1940,0,NLS194007090,NYA,AL,1.0,1.0
lowelmi01,2004,0,NLS200407130,FLO,NL,1.0,
irvinmo01,1952,0,NLS195207080,NY1,NL,0.0,
raymocl01,1966,0,NLS196607120,HOU,NL,0.0,
francti01,1961,2,ALS196107310,CLE,AL,0.0,
mulhote01,1993,0,ALS199307130,PHI,NL,1.0,1.0
baylodo01,1979,0,ALS197907170,CAL,AL,1.0,7.0
smithre06,1977,0,ALS197707190,LAN,NL,1.0,
edmonji01,1995,0,ALS199507110,CAL,AL,1.0,
puckeki01,1994,0,NLS199407120,MIN,AL,1.0,9.0
roberro01,1950,0,ALS195007110,PHI,NL,1.0,1.0
zambrca01,2008,0,ALS200807150,CHN,NL,1.0,
loganjo01,1959,2,NLS195908030,ML1,NL,0.0,
caprabu01,1974,0,NLS197407230,ATL,NL,0.0,
carrocl02,1971,0,ALS197107130,CIN,NL,0.0,
sewelri01,1945,0,,PIT,NL,0.0,
willibe02,2000,0,NLS200007110,NYA,AL,1.0,8.0
mauerjo01,2010,0,ALS201007130,MIN,AL,1.0,2.0
aaronha01,1957,0,NLS195707090,ML1,NL,1.0,9.0
boyerke01,1960,2,ALS196007130,SLN,NL,1.0,
dotsori01,1984,0,NLS198407100,CHA,AL,1.0,
finlech01,1990,0,NLS199007100,CAL,AL,1.0,
coomero01,1999,0,ALS199907130,MIN,AL,1.0,
stenhda01,1962,1,ALS196207100,WS2,AL,0.0,
mcgwima01,1991,0,ALS199107090,OAK,AL,0.0,
goodmiv01,1938,0,NLS193807060,CIN,NL,1.0,9.0
aguirha01,1962,1,ALS196207100,DET,AL,0.0,
bondsbo01,1973,0,ALS197307240,SFN,NL,1.0,
mccovwi01,1963,0,ALS196307090,SFN,NL,1.0,
sanchga01,2011,0,NLS201107120,FLO,NL,1.0,
hallaro01,2010,0,ALS201007130,PHI,NL,1.0,
gordojo01,1942,0,NLS194207060,NYA,AL,1.0,4.0
yorkru01,1938,0,NLS193807060,DET,AL,1.0,
chandsp01,1942,0,NLS194207060,NYA,AL,1.0,1.0
boyerke01,1956,0,ALS195607100,SLN,NL,1.0,5.0
anderga01,2003,0,ALS200307150,ANA,AL,1.0,7.0
gomezle01,1938,0,NLS193807060,NYA,AL,1.0,1.0
remlimi01,2002,0,NLS200207090,ATL,NL,1.0,
carewro01,1975,0,ALS197507150,MIN,AL,1.0,4.0
horlejo01,1967,0,ALS196707110,CHA,AL,0.0,
aaronha01,1974,0,NLS197407230,ATL,NL,1.0,9.0
braunry02,2008,0,ALS200807150,MIL,NL,1.0,7.0
stillku01,1988,0,NLS198807120,KCA,AL,1.0,
clemero02,2005,0,ALS200507120,HOU,NL,1.0,
dentbu01,1975,0,ALS197507150,CHA,AL,1.0,
morgajo02,1976,0,NLS197607130,CIN,NL,1.0,4.0
selkige01,1936,0,NLS193607070,NYA,AL,1.0,
gonzaad01,2008,0,ALS200807150,SDN,NL,1.0,
colemjo05,1972,0,NLS197207250,DET,AL,0.0,
gedmari01,1986,0,NLS198607150,BOS,AL,1.0,
walkedi02,1945,0,,BRO,NL,0.0,
sauerha01,1952,0,NLS195207080,CHN,NL,1.0,7.0
samueju01,1987,0,ALS198707140,PHI,NL,1.0,
schoere01,1951,0,ALS195107100,SLN,NL,1.0,
mccormi03,1960,1,ALS196007110,SFN,NL,1.0,
hernawi01,1985,0,ALS198507160,DET,AL,1.0,
howelja01,1985,0,ALS198507160,OAK,AL,0.0,
longoev01,2010,0,ALS201007130,TBA,AL,1.0,5.0
credejo01,2008,0,ALS200807150,CHA,AL,1.0,
yastrca01,1983,0,ALS198307060,BOS,AL,1.0,
renteed01,2006,0,NLS200607110,ATL,NL,1.0,6.0
masiph01,1946,0,ALS194607090,BSN,NL,1.0,
cainma01,2011,0,NLS201107120,SFN,NL,,
burroje01,1978,0,NLS197807110,ATL,NL,0.0,
harvebr01,1991,0,ALS199107090,CAL,AL,0.0,
whitede03,1989,0,ALS198907110,CAL,AL,1.0,
gwynnto01,1991,0,ALS199107090,SDN,NL,1.0,8.0
coneda01,1992,0,NLS199207140,NYN,NL,1.0,
reganph01,1966,0,NLS196607120,LAN,NL,0.0,
lollash01,1956,0,ALS195607100,CHA,AL,1.0,
higgipi01,1934,0,NLS193407100,PHA,AL,0.0,
rodriiv01,2006,0,NLS200607110,DET,AL,1.0,2.0
grovele01,1937,0,ALS193707070,BOS,AL,0.0,
walkege02,1937,0,ALS193707070,DET,AL,0.0,
