franchid,franchname,active,naassoc
MLU,Милуоки Брюэрс,Н,
TBD,Tampa Bay Rays,Y,
BLU,Памятные памятники Балтимора,Н,
HAR,Хартфорд Тёмный Блюз,Н,ХНА
WNT,&lt; &lt; Вашингтон нэшнлз &gt; &gt;,,
CNA,Белые чулки Чикаго,,CHC
LGR,Луисвилл Грейс,Н,
PNA,Филадельфия Атлетика,,ATH
WNL,&lt; &lt; Вашингтон нэшнлз &gt; &gt;,Н,
TRO,Трой Хеймерс,,
PRO,Провидцы Грей,Н,
TRT,Тройские троянцы,Н,
HOU,Хьюстон Астрос,Y,
CLI,Кливлендские младенцы,Н,
WBL,Голубые ноги Вашингтона,,
PHK,Критерии Филадельфии,Н,
NYI,Нью-Йорк Гиганты,Н,
IHO,Индианаполис Хусье,Н,
KCC,Канзас Сити Ковбои,Н,
COR,Красные цициннати,Н,
CPI,Чикаго/Питтсбург (Союзная лига),Н,
CHP,Чикагские пираты,Н,
BFL,Баффало Бизонс,Н,
PHQ,Филадельфия Атлетика,Н,
SDP,Сан-Диего Падрес,Y,
BLC,Балтиморские канареи,,
BWW,Чудеса Бруклина Уорда,Н,
BRA,Бруклинские Атлантики,,
RIC,Ричмондские вирджинцы,Н,
CIN,Красные Цинциннати,Y,
BNA,Бостонские красные чулки,,АТЛ
BLO,Балтимор Ориолс,Н,
DET,&lt; &lt; Тигры Детройта &gt; &gt;,Y,
DTN,&lt; &lt; Детройт &gt; &gt;,Н,
WOR,Вихревые рубиновые ножки,Н,
LAD,Лос-Анджелес Доджерс,Y,
ECK,Бруклин Экфордс,,
KCU,Канзас Сити Ковбои,Н,
MAR,Балтимор Мэрилендс,,
TEX,Техасские рейнджеры,Y,
CBL,Блюз Кливленда,Н,
WSN,&lt; &lt; Вашингтон нэшнлз &gt; &gt;,Y,
NEW,Ньюарк Пеппер,Н,
KCP,Канзас Сити Пакерс,Н,
BRD,Бостонские красные,Н,
SFG,Сан-Франциско Гиганты,Y,
STL,Кардиналы Сент-Луиса,Y,
MAN,Мидлтаун Мэнсфилдс,,
MIN,Близнецы из Миннесоты,Y,
STP,Святой Павел Апостолы,Н,
CHH,Чикагские киты,Н,
CHC,Чикаго Кабс,Y,КНА
CLS,Колумб Солоны,Н,
FLA,Флорида Марлинс,Y,
CLV,Кливленд Паук,Н,
MLA,Милуоки Брюэрс,Н,
PBB,Питтсбургские бургеры,Н,
KCR,Канзас-Сити Роялс,Y,
NNA,Нью-Йорк Взаимная связь,,Нью-Йорк
CNR,Красные Цинциннати,Н,
CHW,Чикаго Уайт Сокс,Y,
PIT,Питтсбургские пираты,Y,
IBL,Индианаполис Блюз,Н,
WAS,Сенаторы Вашингтона,Н,
TLM,Толедо Маумес,Н,
BRG,Бруклинские гладиаторы,Н,
