playerid,yearid,stint,teamid,lgid,pos,g,gs,innouts,po,a,e,dp,pb,wp,sb,cs,zr
amarari01,1992,1,SEA,AL,В ЛЮБОЙ ЧАСТИ,3,2.0,65.0,5.0,0.0,0.0,0.0,,,,,
lackejo01,2002,1,ANA,AL,Р,18,18.0,325.0,4.0,15.0,0.0,2.0,,,,,
milnejo01,1976,1,NYN,NL,В ЛЮБОЙ ЧАСТИ,112,111.0,2750.0,195.0,7.0,3.0,2.0,,,,,
fishebo01,1912,1,BRO,NL,2B,1,,,2.0,0.0,1.0,0.0,,,,,
wallide01,1977,1,HOU,NL,RF,2,2.0,67.0,1.0,0.0,0.0,0.0,,,,,
herriar01,1930,1,DET,AL,Р,23,,,4.0,14.0,0.0,1.0,,,,,
sikorbr01,2006,2,CLE,AL,Р,17,0.0,59.0,0.0,2.0,0.0,0.0,,,,,
lopesda01,1976,1,LAN,NL,2B,100,99.0,2551.0,218.0,266.0,18.0,56.0,,,,,
leahyto01,1901,1,MLA,AL,2B,1,,,1.0,3.0,1.0,1.0,,,,,
thornma01,2011,1,CHA,AL,Р,62,0.0,179.0,5.0,7.0,0.0,0.0,,,,,
martiti01,1983,1,BAL,AL,Р,65,0.0,310.0,5.0,23.0,0.0,1.0,,,,,
schuljo04,1932,2,BSN,NL,C,10,,,17.0,1.0,0.0,0.0,0.0,,,,
edwarmi02,2005,1,LAN,NL,В ЛЮБОЙ ЧАСТИ,34,28.0,703.0,53.0,0.0,0.0,0.0,,,,,
wilsoja01,1936,1,BOS,AL,Р,43,,,9.0,21.0,1.0,1.0,,,,,
wellmbr01,1983,1,SFN,NL,СС,2,2.0,54.0,3.0,7.0,0.0,1.0,,,,,
guerrwi01,2002,2,MON,NL,2B,7,5.0,143.0,9.0,12.0,0.0,2.0,,,,,
wardjo04,1906,1,PHI,NL,3B,27,,,37.0,42.0,6.0,2.0,,,,,
barnaba01,1941,1,NY1,NL,В ЛЮБОЙ ЧАСТИ,10,,,16.0,2.0,0.0,1.0,,,,,
seguida01,2004,1,BAL,AL,ДГ,15,,,,,,,,,,,
reitsch01,2005,1,ATL,NL,Р,76,0.0,220.0,5.0,12.0,0.0,0.0,,,,,
rawlijo01,1923,1,PIT,NL,2B,119,,,294.0,388.0,30.0,68.0,,,,,
blackti01,1977,1,PHI,NL,C,1,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
neaglja01,1883,1,PHI,NL,В ЛЮБОЙ ЧАСТИ,12,,,20.0,1.0,4.0,0.0,,,,,
morgave01,1955,1,CHN,NL,3B,2,1.0,33.0,2.0,2.0,2.0,0.0,,,,,
bergetu01,1890,1,PIT,NL,3B,1,,,3.0,0.0,1.0,0.0,,,,,
scotted01,1901,1,CLE,AL,Р,17,,,5.0,43.0,2.0,1.0,,,,,
fermife01,1989,1,CLE,AL,2B,2,2.0,54.0,6.0,5.0,0.0,0.0,,,,,
kopshge01,1923,1,SLN,NL,C,1,,,2.0,0.0,0.0,0.0,0.0,,,,
santafp01,2000,1,LAN,NL,В ЛЮБОЙ ЧАСТИ,50,23.0,740.0,59.0,0.0,1.0,0.0,,,,,
dorseji01,1980,1,CAL,AL,Р,4,4.0,47.0,1.0,2.0,0.0,0.0,,,,,
mclauji02,1932,1,SLA,AL,3B,1,,,0.0,0.0,0.0,0.0,,,,,
marquja01,2004,1,SLN,NL,Р,32,32.0,604.0,21.0,31.0,3.0,1.0,,,,,
lerchra01,1975,1,PHI,NL,Р,3,0.0,21.0,0.0,0.0,0.0,0.0,,,,,
ryanro01,1919,1,NY1,NL,Р,4,,,1.0,3.0,0.0,0.0,,,,,
grababi01,1970,1,LAN,NL,3B,97,95.0,2477.0,88.0,190.0,12.0,19.0,,,,,
javiest01,1993,1,CAL,AL,В ЛЮБОЙ ЧАСТИ,64,43.0,1250.0,101.0,2.0,2.0,0.0,,,,,
lopezhe01,1959,2,NYA,AL,3B,76,73.0,1857.0,66.0,147.0,17.0,15.0,,,,,
bellira01,1986,1,PIT,NL,2B,23,15.0,393.0,30.0,48.0,0.0,8.0,,,,,
timmooz01,1999,1,SEA,AL,ДГ,5,,,,,,,,,,,
michara01,1925,1,CHN,NL,2B,1,,,1.0,0.0,0.0,0.0,,,,,
pennsh01,1996,1,DET,AL,ДГ,4,,,,,,,,,,,
hurleje01,1889,1,BSN,NL,C,1,,,2.0,2.0,1.0,0.0,0.0,,,,
tartajo01,1962,1,KC1,AL,В ЛЮБОЙ ЧАСТИ,85,67.0,1871.0,185.0,6.0,5.0,0.0,,,,,
lacyle01,1982,1,PIT,NL,RF,70,53.0,1509.0,113.0,5.0,4.0,1.0,,,,,
feldmsc01,2009,1,TEX,AL,Р,34,31.0,569.0,15.0,27.0,4.0,4.0,0.0,,0.0,0.0,
omallto01,1984,1,SFN,NL,3B,7,5.0,138.0,5.0,8.0,0.0,1.0,,,,,
youngmi01,1983,1,BAL,AL,ДГ,3,,,,,,,,,,,
masiph01,1947,1,BSN,NL,C,123,,,411.0,58.0,5.0,1.0,3.0,,,,
stairma01,1999,1,OAK,AL,RF,139,139.0,3629.0,245.0,13.0,5.0,1.0,,,,,
repulri01,1955,1,SLN,NL,LF,115,109.0,2974.0,211.0,2.0,6.0,1.0,,,,,
martisi01,1981,1,SLN,NL,Р,18,16.0,291.0,6.0,13.0,1.0,0.0,,,,,
adamssp01,1922,1,CHN,NL,2B,11,,,18.0,35.0,5.0,5.0,,,,,
boyleja01,1898,1,PHI,NL,1B,4,,,32.0,2.0,3.0,2.0,,,,,
dykesji01,1929,1,PHA,AL,3B,48,,,60.0,79.0,11.0,9.0,,,,,
roberbi01,1995,1,SDN,NL,LF,48,35.0,965.0,83.0,2.0,1.0,0.0,,,,,
riverma01,2008,1,NYA,AL,Р,64,0.0,212.0,6.0,8.0,0.0,1.0,,,,,
koosmje01,1974,1,NYN,NL,Р,35,35.0,795.0,8.0,41.0,4.0,2.0,,,,,
grimjo01,1891,1,ML3,AA,2B,3,,,6.0,13.0,3.0,1.0,,,,,
jamiech01,1920,1,CLE,AL,1B,4,,,9.0,1.0,1.0,0.0,,,,,
obriepe02,1907,2,WS1,AL,СС,13,,,14.0,32.0,6.0,3.0,,,,,
ruhleve01,1978,1,HOU,NL,Р,13,10.0,204.0,4.0,7.0,0.0,0.0,,,,,
montgbo01,1972,1,BOS,AL,C,22,19.0,554.0,120.0,10.0,2.0,2.0,2.0,5.0,9.0,3.0,0.0
hamilbi01,1901,1,BSN,NL,В ЛЮБОЙ ЧАСТИ,99,,,232.0,7.0,14.0,4.0,,,,,
glassja01,1891,1,NY1,NL,СС,97,,,164.0,274.0,42.0,39.0,,,,,
amaroru02,1995,1,CLE,AL,ДГ,3,,,,,,,,,,,
ennisde01,1953,1,PHI,NL,В ЛЮБОЙ ЧАСТИ,150,,,284.0,14.0,6.0,4.0,,,,,
leveyji01,1931,1,SLA,AL,СС,139,,,269.0,398.0,58.0,92.0,,,,,
newmafr01,1965,1,CAL,AL,Р,36,36.0,782.0,25.0,83.0,3.0,4.0,,,,,
harkijo01,1885,1,BR3,AA,В ЛЮБОЙ ЧАСТИ,9,,,8.0,0.0,4.0,0.0,,,,,
graydo02,1926,1,PHA,AL,Р,38,,,5.0,29.0,7.0,2.0,,,,,
harrige01,1991,1,SEA,AL,Р,8,0.0,40.0,0.0,2.0,0.0,0.0,,,,,
fairlro01,1969,2,MON,NL,CF,18,18.0,444.0,30.0,1.0,1.0,0.0,,,,,
laughbe01,1873,1,ELI,,2B,12,,,36.0,38.0,28.0,6.0,,,,,
thigpbo01,1990,1,CHA,AL,Р,77,0.0,266.0,10.0,8.0,1.0,2.0,,,,,
sanguma01,1980,1,PIT,NL,1B,5,4.0,95.0,40.0,3.0,2.0,3.0,,,,,
kanehro01,1963,1,NYN,NL,3B,13,7.0,192.0,7.0,15.0,4.0,0.0,,,,,
narumbu01,1966,1,WS2,AL,Р,3,0.0,10.0,0.0,0.0,0.0,0.0,,,,,
whitede03,1999,1,LAN,NL,CF,128,121.0,3195.0,273.0,3.0,4.0,1.0,,,,,
