playerid,yearid,teamid,lgid,round,pos,g,gs,innouts,po,a,e,dp,tp,pb,sb,cs
redmomi01,2003,FLO,NL,WS,C,1,0,3.0,2,0,0,0,0,0.0,0.0,0.0
dejesiv01,1983,PHI,NL,WS,СС,5,5,132.0,5,14,1,2,0,,,
posadjo01,1997,NYA,AL,ОДЛС1,C,2,0,12.0,1,1,0,0,0,0.0,1.0,1.0
lemkema01,1996,ATL,NL,NLCS,2B,7,7,171.0,9,18,0,3,0,,,
cowenal01,1977,KCA,AL,ALCS,RF,5,4,114.0,14,0,0,0,0,,,
maddugr01,2008,LAN,NL,NLCS,Р,2,0,9.0,0,0,0,0,0,,0.0,0.0
wilkecu01,1989,CHN,NL,NLCS,3B,1,0,3.0,0,0,0,0,0,,,
herrto01,1985,SLN,NL,WS,2B,7,7,184.0,10,14,0,8,0,,,
magrajo01,1987,SLN,NL,NLCS,Р,1,1,12.0,0,1,0,0,0,,1.0,0.0
lowelmi01,2008,BOS,AL,ОДЛС1,3B,2,2,57.0,3,6,0,0,0,,,
selkige01,1936,NYA,AL,WS,RF,6,6,162.0,9,0,1,0,0,,,
schilcu01,2004,BOS,AL,ALCS,Р,2,2,30.0,1,0,0,0,0,,0.0,0.0
utleych01,2009,PHI,NL,WS,2B,6,6,156.0,10,9,0,1,0,,,
tenacge01,1973,OAK,AL,ALCS,1B,5,5,120.0,38,3,0,2,0,,,
barfije01,1985,TOR,AL,ALCS,RF,7,7,186.0,21,0,1,0,0,,,
borbope01,1976,CIN,NL,NLCS,Р,2,0,13.0,0,0,0,0,0,,0.0,0.0
mesajo01,1997,CLE,AL,ОДЛС1,Р,2,0,10.0,0,1,0,0,0,,0.0,0.0
nettlgr01,1984,SDN,NL,WS,3B,5,5,117.0,7,11,0,1,0,,,
kileda01,2001,SLN,NL,НЛДС2,Р,1,1,18.0,0,1,0,0,0,,0.0,1.0
lewisco01,2011,TEX,AL,ALCS,Р,1,1,,0,2,0,0,0,,,
taverwi01,2007,COL,NL,NLCS,CF,4,4,108.0,11,0,0,0,0,,,
venturo01,2002,NYA,AL,ОДЛС1,3B,4,4,102.0,1,4,0,0,0,,,
beckejo02,2008,BOS,AL,ОДЛС1,Р,1,1,15.0,0,0,0,0,0,,2.0,0.0
russebi01,1981,LAN,NL,NLCS,СС,5,5,132.0,10,15,0,3,0,,,
lopezja01,1996,ATL,NL,NLCS,C,7,6,160.0,48,3,0,0,0,0.0,0.0,1.0
sherrla01,1959,LAN,NL,WS,Р,4,0,38.0,1,3,0,0,0,,0.0,0.0
fossera01,1975,OAK,AL,ALCS,C,1,1,18.0,3,0,0,1,0,0.0,0.0,0.0
seitzke01,1996,CLE,AL,ОДЛС1,1B,1,1,21.0,7,1,1,1,0,,,
carrocl02,1972,CIN,NL,NLCS,Р,2,0,8.0,0,1,0,0,0,,0.0,0.0
cummijo01,1995,LAN,NL,НЛДС2,Р,2,0,4.0,0,0,0,0,0,,0.0,0.0
campabe01,1979,CAL,AL,ALCS,СС,1,0,2.0,0,0,0,0,0,,,
rizzuph01,1949,NYA,AL,WS,СС,5,5,135.0,5,15,0,3,0,,,
nenro01,1997,FLO,NL,НЛДС1,Р,2,0,6.0,0,0,0,0,0,,1.0,0.0
kuoho01,2006,LAN,NL,НЛДС1,Р,1,1,13.0,0,0,0,0,0,,0.0,0.0
