schoolid,schoolname,schoolcity,schoolstate,schoolnick
mntclairst,Монклерский государственный университет,Верхний Монтклер,NJ,Красные ястребы
deltast,Университет штата Дельта,Кливленд,MS,Государственные деятели
creighton,Крейтонский университет,Омаха,Нет,Bluejays
indiana,Индианский университет,Блумингтон,ВНУТРЕННИЕ,Гусеницы
hobartny,Хобарт и Уильям Смит колледжи,Женева,Нью-Йорк,Государственные деятели
clevst,Кливлендский государственный университет,Кливленд,Ооо.,Викинги
sanfran,Университет Сан-Франциско,Сан-Франциско,КА,Доны
utah,Университет Юты,Солт-Лейк-Сити,UT,Utes
eurekail,Колледж Эврика,Эврика,Ил,Красные дьяволы
millsapsms,Колледж Миллсапса,Джексон,MS,Меньшинства
cshayward,"Калифорнийский государственный университет, Хейворд",Хэйворд,КА,Пионеры
presbytrn,Пресвитерианский колледж,Клинтон,ПК,Голубая лошадь
california,Калифорнийский университет,Беркли,КА,Золотые медведи
dominican,Доминиканский колледж,Оранжбург,Нью-Йорк,Зарядные устройства
texasam,Техасский университет A&M,Станция колледжа,TX,Агги
ohwesleyan,Университет Огайо Уэслиана,Делавэр,Ооо.,Бродячие епископы
loyolamd,Колледж Лойолы в Мэриленде,Балтимор,MD,Грейхаунды
tuftsma,Университет Тафтса,Медфорд,МЭТ,Jumbos
loyolamary,Университет &lt; &lt; Лойола Мэримаунт &gt; &gt;,Лос-Анджелес,КА,Львы
fayetvilst,Фейетвильский государственный университет,Фейетвилль,НС,Бронкос
sacheart,Университет Святого Сердца,Фэрфилд,КТ,Пионеры
evansville,Эвансвильский университет,Эвансвилль,ВНУТРЕННИЕ,Фиолетовые тузы
cincy,Университет Цинциннати,Цинциннати,Ооо.,Медвежие
emporiast,Университет штата Эмпория,Эмпория,KS,Шершень
gannon,Университет Гэннона,Эри,ПА,Золотые Рыцари
troyst,Тройский государственный университет,Трой,AL,Троянцы
samford,Сэмфордский университет,Бирмингем,AL,Бульдоги
loyolano,Новый Орлеанский университет Лойола,Новый Орлеан,Лос-Анджелес,Вольфпак
washleeva,Университет Вашингтона и Ли,Лексингтон,VA,Генералы
calstfull,"Калифорнийский государственный университет, Фуллертон",Фуллертон,КА,Титаны
tulsa,Университет Талсы,Талса,Хорошо.,Золотой ураган
bowlgreen,Университет &lt; &lt; Боулинг зеленый &gt; &gt;,Зеленый боулинг,Ооо.,Соколы
concordny,Колледж Конкордии,Бронксвилль,Нью-Йорк,Клипперы
schreiner,Университет Шрейнера,Керрвилль,TX,Горные горы
gardwebb,Гарднер-Уэббский университет,Кипящие источники,НС,Бульдоги
upenn,Университет Пенсильвании,Филадельфия,ПА,Квакеры
uab,Университет Алабамы в Бирмингеме,Бирмингем,AL,Блейзеры
albany,"Университет Олбани, Университет штата Нью-Йорк",Олбани,Нью-Йорк,Великие датчане
adelphi,Адельфийский университет,Садовой город,Нью-Йорк,Пантеры
portland,Портлендский университет,Портленд,ИЛИ,Экспериментальные проекты
csdomhills,"Калифорнийский государственный университет, Домингес-Хиллс",Карсон,КА,Торос
uncwilm,Университет Северной Каролины в Уилмингтоне,Уилмингтон,НС,Морские ястребы
sflorida,Университет Южной Флориды,Тампа,ФЛ,Буллс
depaul,Университет ДеПола,Чикаго,Ил,Синие демоны
olemiss,Университет Миссисипи,Оксфорд,MS,Повстанцы
occidental,Колледж им.,Лос-Анджелес,КА,Тигры
utchat,Теннессийский университет в Чаттануге,Чаттануга,TN,Мокры
pfeiffer,Пфайферский университет,Мисенхаймер,НС,Соколы
middlbryvt,Колледж Миддлбери,Миддлбери,VT,Пантеры
georgiast,Грузинский государственный университет,Атланта,GA,Пантеры
idahost,Государственный университет Айдахо,Покателло,Идентификационный номер,Бенгалы
scstate,Университет штата Южная Каролина,Оранжбург,ПК,Бульдоги
brandeisma,Университет Брандейса,Вальтам,МЭТ,Судьи
