territoryid,territorydescription,regionid
2903,Провиденс,1
11747,Мелвилл,1
78759,Остин,4
20852,Роквилл,1
14450,Фейрпорт,1
48304,Блумфилд-Хиллз,3
48075,Южный Филд,3
45839,Финлей,3
94025,Менло-Парк,2
6897,Вилтон,1
31406,Саут-Саванна,4
27511,Кари,1
94105,Сан-Франциско,2
95054,Сан-Клара,2
72716,Бентвилл,4
90405,Санта-Моника,2
40222,Луисвилл,1
80909,Колорадо-Спрингс,2
1581,Западный Бруквиль,1
7960,Мо́рристан,1
1833,Джорджтаун,1
2116,Бостон,1
48084,Троя,3
85251,Скотсдейл,2
98004,Белвью,2
10038,Нью-Йорк,1
19428,Филадельфия,3
2184,Брайтон,1
30346,Атланта,4
95060,Санта-Крус,2
1730,Бедфорд,1
60179,Хоффман-Эстетс,2
80202,Денвер,2
27403,Гринсборо,1
33607,Тампа,4
95008,Кемпбелл,2
44122,Бечвуд,3
98052,Редмонд,2
29202,Колумбия,4
10019,Нью-Йорк,1
19713,Ньюард,1
2139,Кембридж,1
55113,Розевилл,3
60601,Чикаго,2
3049,Халлис,3
85014,Финикс,2
32859,Орландо,4
53404,Рейн,3
98104,Сеатл,2
8837,Эдисон,1
55439,Миннеаполис,3
3801,Портсмут,3
75234,Даллас,4
