supplierid,companyname,contactname,contacttitle,address,city,region,postalcode,country,phone,fax,homepage
1,Экзотические жидкости,Шарлотта Коутер,Управляющий закупками,"Гилберт-стрит, 49",Лондон,,ЭК-1 4СД,Великобритания,(171) 555-2222,,
2,Новые Орлеаны Каджунские изыски,Шелли Берк,Администратор заказов,Пошта 78934,Новый Орлеан,Лос-Анджелес,70117,США,(100) 555-4822,,#CAJUN.HTML#
3,Домой grand-домом Келли,Регина Мёрфи,Продажи-представитель,707 Оксфорд-роуд,Анн-Арбор,Ми,48104,США,(313) 555-5735,(313) 555-3349,
4,Токио Трейдеры,Йоси Нагасе,Менеджер по маркетингу,"9-8 Секимай, Мусашино-си",Токио,,100,Япония,(03) 3555-5011,,
5,"Кооператив ""Лас Кабрас""",Антонио дель Вале Суэда,Администратор экспорта,"Улица Розала, 4",Овьедо,Астурия,33007,Испания,(98) 598-76-54,,
6,Майуми,Майуми Оно,Маркетинг-представитель,"92 Сецуко
Чёду-ку",Осака,,545,Япония,(06) 431-7877,,Майуми (в Интернете)
7,"Павлова, ООО",Иэн Девлинг,Менеджер по маркетингу,"74 Роуз-стрит
Муни Пондс",Мельбурн,Виктория,3058,Австралия,(03) 444-2343,(03) 444-6588,
8,"Специализированные бисквиты, Ltd.",Питер Уилсон,Продажи-представитель,29 Kings Way,Манчестер,,М14 ГСД,Великобритания,(161) 555-4448,,
9,ПБ Кнебрид АБ,Ларс Петерсон,Продавец,Калоадагатан 13,Гётеборг,,С-345/67,Швеция,031-987 65 43,031-987 65 91,
10,Рефрескос Американас Лтда,Карлос Диас,Менеджер по маркетингу,Аvenue Америк 12 890,Сан-Паулу,,5442,Бразилия,(11) 555-46-40,,
11,Хели Сварен ГмбХ & Ко. КГ,Петра Винкер,Менеджер по продажам,Тиргартенстрасе 5,Берлин,,10785,Германия,(010) 998-45-10,,
12,Плюцер Продуктовые Супермаркеты AG,Мартин Бейн,Международный менеджер по маркетингу,Богеналлей 51,Франкфурт,,60439,Германия,(069) 992-755,,Пользователь (в Интернете)
13,Северо-Восточная Рыбная Торговая Компания有限责任公司,Свен Петерсен,Координатор иностранных рынков,Фрахмереддер 112а,Куксхавен,,27478,Германия,(047-21) 87-13,(047-21) 87-14,
14,С.р.л. Формаги Фортини,Элио Росси,Продажи-представитель,Виа́ле Данте,Равенна,,48100,Италия,(0544) 60-32-3,(0544) 6-06-03,#FORMAGGI.HTML#
15,Норвежские мейериер,Беате Вилейд,Менеджер по маркетингу,Хатлевеген 5,Сандвика,,1320,Норвегия,(0)2-953-010,,
16,Бигфут Брейкери,Чэрл Сэйлор,Региональный представитель по работе с клиентами,Аvenue 3400 - 8-й,Крен,О'Р,97101,США,(503) 555-9931,,
17,スウェーデンスиджфда АБ,Майкл Бьёрн,Продажи-представитель,Броваллавген 231,Стокгольм,,S-123-45,Швеция,08-123 45 67,,
18,Величественные церковные службы,Гайлин Нодьер,Менеджер по продажам,УлицаФранко-Буржских,Париж,,75004,Франция,(1) 03.83.00.68,(1) 03.83.00.62,
19,Консервация морепродуктов Новой Англии,Робб Мерчант,Дистрибьюторский агент по счетам,"Отдел обработки заказов
2100 بول Ревир Блюв.",Бостон,МЭ,02134,США,(617) 555-3267,(617) 555-3389,
20,Лека Трейдинг,Чандра Лека,Владелец,"471 Серакун Лоу, Стив #402",Сингапур,,0512,Сингапур,555-8787,,
21,Лингбисилд,Нильс Петерсен,Менеджер по продажам,Лингбисид,Люнбё,,2800,Дания,43844108,43844115,
22,Зaanский конфетный завод,Дирк Люхте,Руководитель бухгалтерского отдела,"Продажа
Рейнвейг 22",Заандам,,9999 ЗЗ,Нидерланды,(12345) 12-12,(12345) 12—10,
23,"Компания ""Каркки Ою""",Анна Хейконен,Продукт-менеджер,"Вальтакату, 12",Лаппеенранта,,53120,Финляндия,(953) 10956,,
24,"Добрый день, друг!",Венди Маккиннон,Продажи-представитель,170 Принц-Эдуард Пэйдж,Сидней,Ню,2042,Австралия,(02) 555-5914,(02) 555-4873,"Здравствуйте, друг! (на Всемирной паутине)"
25,Моя дом,Жан-Гийом Лузон,Менеджер по маркетингу,Улица Сент-Лоран 2960,Монреаль,Кёльн,Х1Д ИЦ3,Канада,(514) 555-9022,,
26,Паста Баттини СРЛ,Джованни Джудичи,Администратор заказов,"Вия дэ Джелсмони, 153",Салерно,,84100,Италия,(089) 65-47-66-5,(089) 654-7667,
27,Улитки новые,Мари Деламар,Менеджер по продажам,"22, улица Х. Вьорон",Монсо,,71300,Франция,85.57.00.07,,
28,Гай-птур,Елиана Ноз,Продажи-представитель,"Бат. Б
ул. Альп 3",Анси,,74000,Франция,38.76.98.06,38.76.98.58,
29,Форты драб,Шанталь Гюлет,Руководитель бухгалтерского отдела,148 улица Охотника,Сент-Иакинто,Кёльн,"I'm sorry, but I don't understand your request. Could you please clarify your question or provide additional context?",Канада,(514) 555-2955,(514) 555-2921,
