orderid,customerid,employeeid,orderdate,requireddate,shippeddate,shipvia,freight,shipname,shipaddress,shipcity,shipregion,shippostalcode,shipcountry
10400,EASTC,1,1 января 1997 года,1997-01-29 00:00:00,16.01.1997 г. 00:00:00,3,83.93,Восточное соединение,35 короля Георга,Лондон,,ВХ3 6ФВ,Великобритания
10403,ERNSH,4,1997-01-03T00:00:00,1997-01-31 00:00:00,1997-01-09 00:00:00,3,73.79,Эрт Хендель,"Кирхгассе, 6",Грац,,8010,Австрия
10404,MAGAA,2,1997-01-03T00:00:00,1997-01-31 00:00:00,1997-01-08 00:00:00,1,155.97,Магазины Объединенных Продовольственных Складов,Вия Лудовико Иормо 22,Бергамо,,24100,Италия
10406,QUEEN,7,1997-01-07 00:00:00,1997-02-18 00:00:00,13.01.1997 г. 00:00,1,108.04,Королева Кухня,"Аледе да дус Канриос, 891",Сан-Паулу,Спасибо,05487-020,Бразилия
10408,FOLIG,8,1997-01-08 00:00:00,1997-02-05 00:00:00,14.01.1997 г. 00:00:00,1,11.26,Фоли-гуроманд,"184, чауз де Турнэи",Лилль,,59000,Франция
10409,OCEAN,3,1997-01-09 00:00:00,1997-02-06 00:00:00,14.01.1997 г. 00:00:00,1,29.83,Окано Атлантик Лтда.,"Инж. Густаво Монкада 8585, 20-й этаж",Буенос-Айрес,,1010,Аргентина
10413,LAMAI,3,14.01.1997 г. 00:00:00,1997-02-11 00:00:00,16.01.1997 г. 00:00:00,2,95.66,Дом Азии,"1, улица Эльзаса-Лотарингии",Тулуза,,31000,Франция
10414,FAMIA,2,14.01.1997 г. 00:00:00,1997-02-11 00:00:00,1997-01-17 00:00:00,3,21.48,Семья Аркибальдо,"Руа Орс, 92",Сан-Паулу,Спасибо,05442-030,Бразилия
10416,WARTH,8,16.01.1997 г. 00:00:00,1997-02-13 00:00:00,1997-01-27 00:00:00,3,22.72,Вартиан Херкку,"Торикату, 38",Улу,,90110,Финляндия
10417,SIMOB,4,16.01.1997 г. 00:00:00,1997-02-13 00:00:00,1997-01-28 00:00:00,3,70.29,Бистро Симонс,Винблет 34,Копенгаген,,1734,Дания
10418,QUICK,4,1997-01-17 00:00:00,1997-02-14 00:00:00,1997-01-24 00:00:00,1,17.55,Останови!,"Тауке-страссе, 10",Куневальде,,1307,Германия
10421,QUEDE,8,1997-01-21 00:00:00,1997-03-04 00:00:00,1997-01-27 00:00:00,1,99.23,Ква-делция,"улица Хлебопекарная, 12",Рио-де-Жанейро,РЖ,02389-673,Бразилия
10422,FRANS,2,1997-01-22 00:00:00,1997-02-19 00:00:00,1997-01-31 00:00:00,1,3.02,Франчи С.п.а.,"Вия Монте Бя́нко, 34",Турин,,10100,Италия
10424,MEREP,7,1997-01-23 00:00:00,1997-02-20 00:00:00,1997-01-27 00:00:00,2,370.61,Мре Паиларде,43 улица Сен-Лоран,Монреаль,Кёльн,Х1Д ИЦ3,Канада
10429,HUNGO,3,1997-01-29 00:00:00,1997-03-12 00:00:00,1997-02-07 00:00:00,2,56.63,Голодный сова круглосуточные продуктовые,8 طريق Джонстаун,Корк,Корк,,Ирландия
10430,ERNSH,4,1997-01-30 00:00:00,1997-02-13 00:00:00,1997-02-03 00:00:00,1,458.78,Эрт Хендель,"Кирхгассе, 6",Грац,,8010,Австрия
10431,BOTTM,4,1997-01-30 00:00:00,1997-02-13 00:00:00,1997-02-07 00:00:00,2,44.17,Рынки Bottom-Dollar,Бульвар Тсвассен 23,Цавашен,БС,Т2Ф 8М4,Канада
10432,SPLIR,3,1997-01-31 00:00:00,1997-02-14 00:00:00,1997-02-07 00:00:00,2,4.34,Пиво-бюрзовый кегель,П.О.BOX555,Ландер,ВВ,82520,США
10438,TOMSP,3,1997-02-06 00:00:00,1997-03-06 00:00:00,1997-02-14 00:00:00,2,8.24,Тому специализируется на...,"Луисенштрассе, 48",Мюнстер,,44087,Германия
10439,MEREP,6,1997-02-07 00:00:00,1997-03-07 00:00:00,1997-02-10 00:00:00,3,4.07,Мре Паиларде,43 улица Сен-Лоран,Монреаль,Кёльн,Х1Д ИЦ3,Канада
10440,SAVEA,4,1997-02-10 00:00:00,1997-03-10 00:00:00,1997-02-28 00:00:00,2,86.53,"Рынки ""Сэкономить много""",187 Саффолк-лен,Боис,ID,83720,США
10441,OLDWO,3,1997-02-10 00:00:00,1997-03-24 00:00:00,1997-03-14 00:00:00,2,73.02,Старая мировая деликатесная,"Беринг-стрит, 2743",Анкоридж,АК,99508,США
10444,BERGS,3,1997-02-12 00:00:00,1997-03-12 00:00:00,1997-02-21 00:00:00,3,3.5,Берглундс снаббкеп,Бергуусвген 8,Луле,,С-958/22,Швеция
10446,TOMSP,6,1997-02-14 00:00:00,1997-03-14 00:00:00,1997-02-19 00:00:00,1,14.68,Тому специализируется на...,"Луисенштрассе, 48",Мюнстер,,44087,Германия
10447,RICAR,4,1997-02-14 00:00:00,1997-03-14 00:00:00,1997-03-07 00:00:00,2,68.66,Рикардо Адокикадос,"Авеню Копакабана, 267",Рио-де-Жанейро,РЖ,02389-890,Бразилия
10448,RANCH,4,1997-02-17 00:00:00,1997-03-17 00:00:00,1997-02-24 00:00:00,2,38.82,Ранчо-Гранде,Авенида дель Либертадор 900,Буенос-Айрес,,1010,Аргентина
10449,BLONP,3,1997-02-18 00:00:00,1997-03-18 00:00:00,1997-02-27 00:00:00,2,53.3,Блондел пред ет фийс,24-е место Клебера,Страсбург,,67000,Франция
10453,AROUT,1,1997-02-21 00:00:00,1997-03-21 00:00:00,1997-02-26 00:00:00,2,25.36,Вокруг бугры,Брук-Ферм Стратфорд Сент-Мэри,Колчестер,Эссекс,CO7 6JX,Великобритания
10454,LAMAI,4,1997-02-21 00:00:00,1997-03-21 00:00:00,1997-02-25 00:00:00,3,2.74,Дом Азии,"1, улица Эльзаса-Лотарингии",Тулуза,,31000,Франция
10456,KOENE,8,1997-02-25 00:00:00,1997-04-08 00:00:00,1997-02-28 00:00:00,2,8.12,Книгно Эссен,"Мабельштрассе, 90",Бранденбург,,14776,Германия
10458,SUPRD,7,1997-02-26 00:00:00,1997-03-26 00:00:00,1997-03-04 00:00:00,3,147.06,Супрμές длицемес,"Бульвар Тиру, 255",Шарлеруа,,Б-6000,Бельгия
10460,FOLKO,8,1997-02-28 00:00:00,1997-03-28 00:00:00,1997-03-03 00:00:00,1,16.27,Народ и ФБ,Кергатан 24,Брке,,С-844/67,Швеция
10461,LILAS,1,1997-02-28 00:00:00,1997-03-28 00:00:00,1997-03-05 00:00:00,3,148.61,ЛИЛА-Супермаркет,Кальяра 52 кон Авенида Болвар #65-98 Льяно Ларго,Баркисимето,Лара,3508,Венесуэла
10463,SUPRD,5,1997-03-04 00:00:00,1997-04-01 00:00:00,1997-03-06 00:00:00,3,14.78,Супрμές длицемес,"Бульвар Тиру, 255",Шарлеруа,,Б-6000,Бельгия
10465,VAFFE,1,1997-03-05 00:00:00,1997-04-02 00:00:00,1997-03-14 00:00:00,3,145.04,Вафл-ъёрд,Смагслогет 45,РХУС,,8200,Дания
10467,MAGAA,8,1997-03-06 00:00:00,1997-04-03 00:00:00,1997-03-11 00:00:00,2,4.93,Магазины Объединенных Продовольственных Складов,Вия Лудовико Иормо 22,Бергамо,,24100,Италия
10469,WHITC,1,1997-03-10 00:00:00,1997-04-07 00:00:00,1997-03-14 00:00:00,1,60.18,Белый Кловер Маркетс,1029 - 12-я авеню ЮГ,Сиэтл,ВА,98124,США
10477,PRINI,5,1997-03-17 00:00:00,1997-04-14 00:00:00,1997-03-25 00:00:00,2,13.02,Принцеса Изабелла Винhos,Эстрада да Садэ Н. 58,Лиссабон,,1756,Португалия
