constructorstandingsid,raceid,constructorid,points,position,positiontext,wins
9181,373,39,0.0,7,7,0
20970,670,195,9.0,4,4,0
25309,895,206,0.0,10,10,0
8463,317,18,6.0,7,7,0
26045,910,10,98.0,5,5,0
26499,953,1,24.0,7,7,0
8278,307,29,0.0,16,16,0
24355,346,131,126.0,4,4,0
21006,673,194,2.0,10,10,0
662,81,6,74.0,3,3,1
8391,313,3,71.0,1,1,4
24115,520,21,3.0,8,8,0
23277,551,66,0.0,16,16,0
6020,112,6,48.0,2,2,2
9841,415,32,50.0,3,3,2
5281,210,22,13.0,4,4,0
9046,369,45,0.0,17,17,0
9277,378,35,0.0,12,12,0
19034,747,167,3.0,4,4,0
22476,577,56,0.0,14,14,0
116,28,8,0.0,11,11,0
10140,431,3,25.0,4,4,1
22765,585,73,5.0,7,7,0
24142,522,27,55.0,2,2,3
4746,282,6,10.0,5,5,0
21737,638,1,6.0,7,7,0
7749,327,45,0.0,15,15,0
9693,404,45,0.0,10,10,0
10622,461,21,4.0,9,9,0
25531,258,25,2.0,7,7,0
8967,365,18,3.0,13,13,0
5777,155,3,73.0,3,3,4
3469,303,1,89.0,2,2,4
5482,179,6,51.0,1,1,3
1812,74,3,18.0,5,5,0
1519,164,21,1.0,9,9,0
8343,311,6,25.0,3,3,0
24148,522,3,49.0,3,3,3
23494,530,32,27.0,1,1,2
24090,518,51,0.0,15,15,0
11486,510,34,55.0,3,3,3
23717,542,56,17.0,7,7,0
6245,100,17,5.0,8,8,0
23463,528,64,0.0,17,17,0
5913,134,16,5.0,7,7,0
704,85,3,54.0,5,5,0
2421,224,1,2.0,4,4,0
23227,548,66,0.0,15,15,0
24581,845,10,4.0,8,8,0
10474,451,27,3.0,10,10,0
10530,455,6,22.0,1,1,1
23420,559,27,18.0,8,8,1
10243,438,3,9.0,4,4,0
24491,354,5,11.0,9,9,0
22812,588,37,7.5,7,7,1
3376,296,18,0.0,12,12,0
24364,347,6,208.0,3,3,2
25509,272,31,0.0,13,13,0
11252,494,37,0.0,15,15,0
25280,893,9,377.0,1,1,7
10863,474,45,3.0,11,11,0
23235,549,56,8.0,7,7,0
26046,910,5,17.0,7,7,0
8432,315,27,0.0,14,14,0
24971,869,208,159.0,4,4,0
22706,582,34,33.0,2,2,1
