id,playerid,year,stint,tmid,lgid,gp,gs,minutes,points,orebounds,drebounds,rebounds,assists,steals,blocks,turnovers,pf,fgattempted,fgmade,ftattempted,ftmade,threeattempted,threemade,postgp,postgs,postminutes,postpoints,postorebounds,postdrebounds,postrebounds,postassists,poststeals,postblocks,postturnovers,postpf,postfgattempted,postfgmade,postftattempted,postftmade,postthreeattempted,postthreemade,note
2616,brownfr01,1972,1,SEA,NBA,79,0,2320,1063,0,0,318,438,0,0,0,226,1035,471,148,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3187,callato01,1946,1,PRO,NBA,13,0,0,17,0,0,0,4,0,0,0,9,29,6,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5203,delkto01,1998,1,GSW,NBA,36,0,630,246,11,43,54,95,16,6,45,47,253,92,71,46,66,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
5629,driscte01,1971,1,BAL,NBA,40,0,313,107,0,0,109,23,0,0,0,53,104,40,39,27,0,0,1,0,2,3,0,0,1,0,0,0,0,0,1,1,1,1,0,0,
6059,elliobo01,1978,1,NJN,NBA,14,0,282,123,16,40,56,22,6,4,26,34,73,41,56,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6347,evansre01,2005,2,DEN,NBA,26,0,605,135,57,169,226,15,16,5,44,71,95,43,97,49,0,0,5,0,69,19,8,15,23,0,2,1,6,11,7,3,18,13,2,0,
8069,gregoga01,1972,1,MIL,NBA,9,0,88,27,0,0,32,9,0,0,0,9,33,11,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8651,harride01,2005,1,DAL,NBA,56,0,1275,554,26,99,125,177,53,16,84,121,405,190,236,169,21,5,23,0,558,216,15,24,39,50,18,3,42,69,171,82,74,52,8,0,
8740,harvedo02,1945,0,SHE,NBL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
8852,hawkico01,1972,1,PHO,NBA,75,0,2768,1204,0,0,641,304,0,0,0,229,920,441,404,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9206,higgiro01,1992,1,SAC,NBA,69,0,1425,571,66,127,193,119,51,29,63,141,483,199,151,130,133,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
9932,ingelto01,1975,1,SDS,ABA,5,0,14,4,1,2,3,0,0,0,0,1,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10533,johnser02,2000,1,MIL,NBA,82,0,1981,266,205,408,613,40,44,97,47,257,198,108,93,50,0,0,18,0,577,98,59,135,194,10,9,37,12,52,68,39,32,20,0,0,
10790,johnsvi01,1982,1,DET,NBA,82,0,2511,1296,167,186,353,301,93,49,152,263,1013,520,315,245,40,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10973,jonesji01,1973,1,UTS,ABA,83,0,3162,1395,103,258,361,429,154,32,238,205,1060,583,259,229,1,0,18,0,742,374,30,57,87,98,27,5,49,60,267,154,85,66,0,0,
12115,langan02,1994,1,PHO,NBA,12,0,53,11,3,1,4,1,0,2,5,11,10,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
13503,maxwece01,1980,1,BOS,NBA,81,0,2730,1234,222,303,525,219,79,68,180,256,750,441,450,352,1,0,17,0,598,274,61,64,125,46,12,16,43,53,174,101,88,72,0,0,
13956,mcinnje01,2005,1,CHA,NBA,28,0,486,149,11,39,50,52,11,2,29,37,143,63,29,20,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17581,richaja01,2008,2,CHA,NBA,58,0,1922,950,64,197,261,110,62,25,71,103,754,368,144,112,266,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17631,richmmi01,1993,1,SAC,NBA,78,0,2897,1823,70,216,286,313,103,17,216,211,1428,635,511,426,312,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
17816,roberfr01,1996,1,DAL,NBA,12,0,40,22,2,8,10,0,0,1,5,2,15,6,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
18296,rowecu01,1978,1,BOS,NBA,53,0,1222,354,79,163,242,69,15,13,88,105,346,151,75,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
21637,vaughra01,1942,0,OSH,NBL,22,0,0,222,0,0,0,0,0,0,0,31,0,86,66,50,0,0,2,0,0,14,0,0,0,0,0,0,0,0,0,7,0,0,0,0,
22445,westje01,1970,1,LAL,NBA,69,0,2845,1859,0,0,320,655,0,0,0,180,1351,667,631,525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
23008,willija02,2010,2,MEM,NBA,11,0,124,21,0,8,8,28,3,1,7,2,29,9,0,0,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
