id,year,coachid,award,lgid,note
5,1966,kerrjo01,NBA Coach of the Year,NBA,
6,1967,cazzevi01,ABA Coach of the Year,ABA,
9,1968,shuege01,NBA Coach of the Year,NBA,
10,1969,sharmbi01,ABA Coach of the Year,ABA,tie
13,1970,biancal01,ABA Coach of the Year,ABA,
14,1970,mottadi01,NBA Coach of the Year,NBA,
18,1972,heinsto01,NBA Coach of the Year,NBA,
19,1973,mccarba01,ABA Coach of the Year,ABA,tie
20,1973,mullajo01,ABA Coach of the Year,ABA,tie
21,1973,scottra01,NBA Coach of the Year,NBA,
22,1974,brownla01,ABA Coach of the Year,ABA,
23,1974,johnsph01,NBA Coach of the Year,NBA,
29,1979,fitchbi01,NBA Coach of the Year,NBA,
30,1980,mckinja01,NBA Coach of the Year,NBA,
33,1983,laydefr01,NBA Coach of the Year,NBA,
34,1984,nelsodo01,NBA Coach of the Year,NBA,
35,1985,fratemi01,NBA Coach of the Year,NBA,
44,1994,harride01,NBA Coach of the Year,NBA,
45,1995,jacksph01,NBA Coach of the Year,NBA,
47,1997,birdla01,NBA Coach of the Year,NBA,
48,1998,dunlemi01,NBA Coach of the Year,NBA,
49,1999,riverdo01,NBA Coach of the Year,NBA,
51,2001,carliri01,NBA Coach of the Year,NBA,
55,2005,johnsav01,NBA Coach of the Year,NBA,
56,2006,mitchsa01,NBA Coach of the Year,NBA,
61,2011,popovgr01,NBA Coach of the Year,NBA,
