playerid,last_name,first_name,season_id,conference,league_id,games_played,minutes,points,o_rebounds,d_rebounds,rebounds,assists,steals,blocks,turnovers,personal_fouls,fg_attempted,fg_made,ft_attempted,ft_made,three_attempted,three_made
robinda01,Robinson,David,1999,West,NBA,1,7,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
braunca01,Braun,Carl,1953,East,NBA,1,29,9.0,,,4.0,2.0,,,,,8.0,4.0,1.0,1.0,,
martike01,Martin,Kenyon,2003,East,NBA,1,23,17.0,4.0,3.0,7.0,3.0,0.0,0.0,3.0,1.0,10.0,8.0,2.0,1.0,0.0,0.0
roybr01,Roy,Brandon,2008,West,NBA,1,31,14.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,2.0,8.0,7.0,0.0,0.0,0.0,0.0
freemdo01,Freeman,Donnie,1970,West,ABA,1,27,17.0,4.0,3.0,7.0,3.0,,,4.0,3.0,12.0,6.0,8.0,5.0,0.0,0.0
allenra02,Allen,Ray,2000,East,NBA,1,19,15.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,0.0,15.0,7.0,0.0,0.0,7.0,1.0
hayesel01,Hayes,Elvin,1971,West,NBA,1,11,4.0,,,2.0,0.0,,,,,6.0,1.0,2.0,2.0,,
greerha01,Greer,Hal,1960,East,NBA,1,18,14.0,,,6.0,2.0,,,,,11.0,7.0,0.0,0.0,,
kojisdo01,Kojis,Don,1967,West,NBA,1,10,4.0,,,2.0,1.0,,,,,5.0,2.0,0.0,0.0,,
schaydo01,Schayes,Dolph,1951,East,NBA,1,99,,,,,,,,,,,,,,,
cunnibi01,Cunningham,Billy,1972,East,ABA,1,20,18.0,0.0,6.0,6.0,4.0,1.0,0.0,3.0,6.0,12.0,9.0,0.0,0.0,1.0,0.0
barklch01,Barkley,Charles,1987,East,NBA,1,15,4.0,,,3.0,0.0,,,,,4.0,1.0,2.0,2.0,,
hagancl01,Hagan,Cliff,1958,West,NBA,1,22,15.0,,,8.0,3.0,,,,,12.0,6.0,3.0,3.0,,
isselda01,Issel,Dan,1973,East,ABA,1,26,21.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,15.0,10.0,1.0,1.0,0.0,0.0
freemdo01,Freeman,Donnie,1967,East,ABA,1,24,20.0,0.0,4.0,4.0,2.0,,,2.0,3.0,13.0,8.0,6.0,4.0,0.0,0.0
jonesji01,Jones,Jimmy,1967,West,ABA,1,19,10.0,1.0,0.0,1.0,3.0,,,2.0,1.0,9.0,4.0,4.0,2.0,0.0,0.0
schaydo01,Schayes,Dolph,1958,East,NBA,1,22,13.0,,,13.0,1.0,,,,,11.0,3.0,8.0,7.0,,
archina01,Archibald,Nate,1980,East,NBA,1,25,9.0,,,5.0,9.0,,,,,7.0,4.0,3.0,1.0,,
noblech01,Noble,Chuck,1959,West,NBA,1,11,0.0,,,1.0,3.0,,,,,5.0,0.0,0.0,0.0,,
gallaha01,Gallatin,Harry,1950,East,NBA,1,0,5.0,,,5.0,2.0,,,,,4.0,2.0,1.0,1.0,,
