job_id,job_desc,min_lvl,max_lvl
1,Новый наем — работа не указывается,10,10
2,Главный административный сотрудник,200,250
3,Руководитель деловых операций,175,225
4,Главный сотрудник по финансовым вопросам,175,250
5,Издатель,150,250
6,Редактор-распорядитель,140,225
7,Управляющий маркетингом,120,200
8,Руководитель по связям с общественностью,100,175
9,Менеджер по закупкам,75,175
10,Руководитель производства,75,165
11,Руководитель операций,75,150
12,Редактор,25,100
13,Представитель по продажам,25,100
14,Дизайнер,25,100
