driverstandingsid,raceid,driverid,points,position,positiontext,wins
54307,631,317,0.0,31,31,0
21515,450,185,0.0,32,32,0
20770,428,170,0.0,27,27,0
16335,333,78,0.0,23,23,0
50993,718,403,1.0,19,19,0
19853,401,140,26.0,5,5,0
22850,486,110,1.0,14,14,0
55916,604,233,5.0,16,16,0
51139,702,356,3.0,8,8,0
45289,816,578,19.0,4,4,1
19051,374,159,0.0,18,18,0
21217,442,160,0.0,17,17,0
54579,651,304,20.0,3,3,0
58440,559,178,22.0,7,7,1
10293,245,57,5.0,9,9,0
16288,332,95,16.0,8,8,0
51082,700,414,0.0,31,31,0
45363,816,705,0.0,100,100,0
68195,970,154,0.0,14,14,0
46619,787,608,1.5,18,18,0
17751,4,18,31.0,1,1,3
18657,368,145,17.0,6,6,0
56081,580,243,0.0,16,16,0
11968,134,11,0.0,21,21,0
9645,285,91,5.0,14,14,0
44729,808,427,0.0,8,8,0
16448,336,129,0.0,31,31,0
53031,663,306,16.0,5,5,0
55083,615,224,42.0,3,3,3
13082,65,13,52.0,3,3,0
44636,824,724,0.0,38,38,0
48548,734,454,4.0,11,11,0
3245,166,37,1.0,15,15,0
47178,780,549,0.0,29,29,0
63771,338,9,18.0,6,6,0
55955,604,323,0.0,31,31,0
49562,774,597,0.0,77,77,0
11944,133,66,0.0,18,18,0
63476,723,278,0.0,17,17,0
64073,349,155,21.0,12,12,0
65535,880,813,0.0,21,21,0
63691,728,428,0.0,25,25,0
21617,454,175,5.0,6,6,0
10704,209,50,0.0,19,19,0
68385,979,817,117.0,4,4,1
55872,603,313,0.0,27,27,0
64843,857,24,0.0,23,23,0
56486,589,229,0.0,24,24,0
68393,980,1,213.0,2,2,5
22497,479,182,26.0,4,4,2
19443,386,114,0.0,18,18,0
10942,219,56,18.0,7,7,0
6944,294,92,1.0,14,14,0
22524,479,170,0.0,33,33,0
58765,522,206,0.0,23,23,0
66350,266,81,2.0,20,20,0
10277,244,44,1.0,11,11,0
53871,677,360,16.0,5,5,1
57859,547,246,0.0,20,20,0
18227,357,161,0.0,35,35,0
49449,773,430,0.0,40,40,0
66207,262,92,0.0,32,32,0
