qualifyid,raceid,driverid,constructorid,number,position,q1,q2,q3
117,23,17,9,10,9,1:16.074,1:15.745,1:17.343
2547,255,55,6,27,2,1:38.888,,
955,62,33,13,18,15,1:12.627,1:12.864,
5277,873,20,9,1,3,1:48.240,1:46.791,1:46.905
1365,88,17,3,7,7,1:47.233,,
6475,934,154,208,8,12,1:34.646,1:34.430,
5449,880,154,208,8,8,1:44.284,1:37.641,1:29.013
1090,68,33,14,18,18,1:49.903,,
7166,970,807,4,27,7,1:34.453,1:33.636,1:33.580
3113,7,4,4,7,8,1:27.988,1:27.473,1:29.075
3784,108,31,3,3,3,1:28.101,,
6079,908,8,6,7,20,1:46.684,,
4952,859,814,10,15,11,1:13.733,1:13.584,
7056,965,830,9,33,4,1:36.613,1:36.857,1:35.747
5379,877,154,208,10,10,1:42.046,1:41.620,1:41.778
5042,863,3,131,8,5,1:34.588,1:33.219,1:32.821
6009,905,13,3,19,16,1:18.209,,
835,57,8,1,3,5,1:31.263,1:30.203,1:30.933
6199,914,18,1,22,8,1:35.150,1:34.648,1:34.317
6922,958,837,209,88,22,1:50.189,,
2147,229,44,27,9,14,1:22.358,,
7377,980,840,3,18,18,1:46.915,,
6237,916,822,3,77,3,1:38.249,1:37.499,1:36.906
7154,969,828,15,9,15,1:26.236,1:26.465,
6129,911,4,6,14,4,2:10.197,2:08.450,2:07.786
2009,216,57,1,9,3,1:42.034,,
5223,870,808,207,21,20,1:24.167,,
4511,75,24,9,15,11,1:16.288,1:19.014,
1627,176,64,15,12,15,1:19.194,,
343,34,3,3,7,15,1:36.434,1:36.210,
3900,114,51,18,18,19,1:20.063,,
1644,177,44,20,18,11,1:28.205,,
1,18,1,1,22,1,1:26.572,1:25.187,1:26.714
1855,209,44,20,14,3,1:25.491,,
2388,248,49,15,30,11,1:46.801,,
2548,255,57,1,8,3,1:38.954,,
1002,64,27,13,19,18,1:17.093,,
3599,348,807,3,10,10,1:21.598,1:21.275,1:21.710
2300,244,92,30,16,21,1:29.039,,
7003,962,825,4,20,17,1:46.825,,
1281,84,4,4,5,3,1:27.050,,
1152,77,24,9,15,14,1:32.642,,
54,20,4,4,5,10,1:32.947,1:32.345,1:35.115
5358,876,811,3,19,13,1:26.851,1:26.331,
2760,264,84,1,8,9,1:26.768,,
2897,269,81,29,10,16,1:22.756,,
7083,966,13,3,19,9,1:20.423,1:20.151,1:20.032
6329,927,3,131,6,3,1:39.374,1:39.377,1:50.299
69,21,13,6,2,3,1:21.528,1:20.584,1:22.058
3575,347,807,3,10,10,1:16.387,1:14.943,1:15.339
1242,82,21,4,6,4,1:14.927,,
3224,12,154,4,8,19,1:46.359,,
5690,892,817,5,19,7,1:24.655,1:24.290,1:24.209
1058,67,22,11,11,8,1:22.640,1:21.688,1:22.787
4403,107,8,1,6,3,1:10.892,,
30,19,17,9,10,8,1:35.440,1:34.967,1:37.009
4593,843,814,10,15,8,1:35.702,1:35.858,1:36.190
6368,929,3,131,6,3,1:34.398,1:33.878,1:33.129
1756,200,64,21,16,13,1:32.206,,
2455,251,22,17,14,6,1:25.919,,
5758,895,8,208,7,9,1:32.377,1:31.662,1:31.684
3772,355,807,3,10,15,1:41.015,1:41.418,
5675,891,823,207,21,14,2:00.564,1:52.036,
598,46,17,9,15,10,1:20.794,1:20.439,1:21.256
3508,344,67,5,16,15,1:17.356,1:16.928,
3936,116,42,19,15,16,1:34.159,,
571,45,9,2,10,5,1:31.961,1:31.444,1:32.123
504,42,8,6,6,4,1:12.732,1:12.111,1:12.839
672,49,11,8,22,18,1:47.980,,
5797,897,1,131,10,4,1:40.693,1:40.477,1:40.501
6770,951,828,15,9,22,1:39.519,,
4830,854,30,131,7,8,1:48.819,1:46.043,
1448,125,63,7,24,10,1:37.694,,
1686,192,44,20,14,9,1:18.753,,
1704,193,23,17,10,5,1:26.827,,
6215,915,3,131,6,2,1:39.076,1:38.606,1:38.713
638,48,9,2,10,6,1:23.088,1:22.400,1:23.446
5874,900,155,207,10,15,1:34.274,1:45.867,
7236,973,835,4,30,17,1:22.401,,
1822,207,21,17,12,14,1:33.552,,
