raceid,driverid,lap,position,time,milliseconds
852,3,36,5,1:52.409,112409
909,817,19,10,1:23.509,83509
60,36,38,18,1:28.291,88291
931,20,52,3,1:20.316,80316
965,3,33,2,1:49.380,109380
854,15,7,17,1:59.151,119151
907,817,18,12,1:14.962,74962
84,35,54,11,1:28.293,88293
969,826,45,8,1:28.731,88731
121,48,23,6,1:23.058,83058
966,826,1,18,1:59.423,119423
876,811,51,10,1:30.059,90059
192,71,43,14,1:21.930,81930
212,56,9,12,1:25.995,85995
212,77,11,8,1:26.279,86279
877,817,49,10,1:46.131,106131
155,44,41,9,1:29.282,89282
342,153,10,15,1:20.728,80728
959,828,12,14,1:23.391,83391
897,819,18,18,1:50.023,110023
109,15,12,8,1:38.834,98834
175,41,30,5,1:36.148,96148
24,22,33,1,1:18.640,78640
161,55,19,12,1:29.653,89653
183,55,14,9,1:15.187,75187
134,17,12,13,1:18.161,78161
224,14,9,16,1:38.830,98830
25,1,57,10,1:19.503,79503
193,25,9,8,1:32.357,92357
846,24,16,23,1:27.285,87285
70,9,52,9,1:14.613,74613
955,832,8,16,1:51.218,111218
914,13,3,4,21:38.972,1298972
212,76,31,17,1:25.847,85847
872,1,30,1,1:28.908,88908
847,22,48,9,1:30.279,90279
949,825,18,14,1:40.613,100613
234,35,39,4,1:48.706,108706
966,4,43,15,1:24.815,84815
37,21,19,5,1:38.547,98547
964,839,30,16,1:40.920,100920
93,14,55,13,1:23.780,83780
97,23,20,1,1:15.186,75186
977,822,55,1,1:08.288,68288
23,6,27,9,1:34.265,94265
36,16,36,20,1:30.595,90595
909,813,8,15,1:24.114,84114
909,16,14,8,1:25.186,85186
231,44,9,11,1:27.290,87290
213,65,21,8,1:22.236,82236
961,20,21,3,1:27.152,87152
66,11,8,20,1:34.481,94481
67,15,53,7,1:24.305,84305
347,9,21,11,1:19.920,79920
867,811,55,12,1:44.649,104649
883,18,39,8,1:39.093,99093
232,63,49,11,1:21.071,81071
238,30,64,3,1:26.372,86372
861,3,47,15,1:43.775,103775
82,13,56,8,1:18.095,78095
930,20,40,2,1:36.714,96714
84,23,3,19,1:29.852,89852
853,5,22,14,1:51.699,111699
343,807,31,17,1:34.239,94239
84,39,28,16,1:29.550,89550
165,41,15,7,1:21.693,81693
944,826,68,7,1:17.937,77937
77,18,4,8,1:33.720,93720
193,71,63,9,1:31.909,91909
167,35,56,4,1:14.637,74637
353,13,3,6,2:59.471,179471
194,64,4,16,1:35.238,95238
864,1,58,7,1:29.169,89169
189,55,41,5,1:45.104,105104
969,8,6,4,1:29.226,89226
99,45,63,17,1:22.671,82671
208,49,24,9,1:20.042,80042
33,12,7,8,1:20.641,80641
72,32,31,10,1:39.217,99217
28,2,27,12,1:23.992,83992
27,15,19,5,1:20.945,80945
939,20,22,1,1:52.734,112734
954,828,68,15,1:18.309,78309
931,828,56,14,1:20.111,80111
96,21,7,14,1:33.683,93683
187,63,33,3,1:27.035,87035
4,10,23,6,1:37.118,97118
185,37,43,18,1:23.830,83830
900,20,1,15,2:00.977,120977
