orderid,productid,unitprice,quantity,discount
10709,51,53.0,28,0.0
10659,31,12.5,20,0.0
10745,72,34.8,7,0.0
11064,17,39.0,77,0.0
10420,70,12.0,8,0.0
10363,75,6.2,12,0.0
10728,60,34.0,15,0.0
10633,13,6.0,13,0.0
10400,49,16.0,30,0.0
10368,57,15.6,25,0.0
10910,19,9.2,12,0.0
10979,31,12.5,24,0.0
10507,43,46.0,15,0.0
10485,55,19.2,30,0.0
10938,13,6.0,20,0.0
10387,71,17.2,15,0.0
10746,13,6.0,6,0.0
10990,34,14.0,60,0.0
10337,36,15.2,20,0.0
10864,35,18.0,4,0.0
11070,2,19.0,20,0.0
10842,68,12.5,20,0.0
10997,52,7.0,20,0.0
10904,58,13.25,15,0.0
10935,18,62.5,4,0.0
10858,70,15.0,4,0.0
10979,27,43.9,30,0.0
10822,62,49.3,3,0.0
10888,68,12.5,18,0.0
10678,54,7.45,30,0.0
10276,10,24.8,15,0.0
10986,11,21.0,30,0.0
10916,32,32.0,6,0.0
10832,44,19.45,16,0.0
11077,60,34.0,2,0.0
10379,63,35.1,16,0.0
11072,64,33.25,130,0.0
10287,46,9.6,15,0.0
10294,43,36.8,15,0.0
10896,56,38.0,16,0.0
10652,30,25.89,2,0.0
10684,60,34.0,30,0.0
10927,20,81.0,5,0.0
10485,3,8.0,20,0.0
10831,19,9.2,2,0.0
10747,41,9.65,35,0.0
10574,33,2.5,14,0.0
10712,56,38.0,30,0.0
10846,70,15.0,30,0.0
10352,24,3.6,10,0.0
10689,1,18.0,35,0.0
10335,2,15.2,7,0.0
10650,54,7.45,30,0.0
10797,11,21.0,20,0.0
10969,46,12.0,9,0.0
10975,75,7.75,10,0.0
10628,1,18.0,25,0.0
10583,60,34.0,24,0.0
