raceid,driverid,stop,lap,time,duration,milliseconds
886,822,1,14,14:22:18,22.242,22242
842,67,2,20,16:39:30,29.843,29843
844,20,3,40,16:05:46,20.385,20385
859,1,1,16,14:24:18,21.099,21099
944,1,1,14,14:20:57,24.328,24328
845,2,2,36,14:59:22,21.953,21953
851,808,3,50,15:22:54,21.353,21353
890,154,1,13,14:22:46,22.054,22054
842,1,4,52,17:34:48,22.466,22466
888,154,1,13,14:25:00,20.273,20273
841,13,2,31,17:52:28,24.500,24500
913,818,3,44,21:34:02,30.111,30111
869,30,2,36,14:52:44,17.928,17928
917,4,1,7,14:12:23,23.278,23278
882,807,2,29,15:54:43,20.327,20327
890,823,2,27,14:44:59,22.831,22831
966,830,1,12,13:21:26,21.775,21775
904,4,3,53,15:25:53,21.664,21664
954,836,1,11,14:18:36,24.784,24784
883,154,1,8,15:17:57,24.605,24605
870,808,2,35,14:59:27,20.592,20592
904,813,2,37,15:01:54,22.024,22024
885,820,3,63,15:59:31,26.198,26198
860,13,2,28,17:48:15,22.528,22528
909,4,2,33,14:50:28,19.032,19032
854,811,1,10,20:23:47,35.398,35398
936,20,2,43,15:10:02,22.028,22028
872,819,2,35,14:57:49,22.046,22046
944,20,3,47,15:03:48,23.861,23861
944,831,2,39,14:54:38,24.491,24491
841,4,3,42,18:09:08,24.181,24181
933,20,1,36,14:51:04,31.882,31882
928,4,1,12,14:25:14,23.238,23238
848,813,2,28,14:54:30,21.805,21805
914,807,2,12,15:50:17,24.696,24696
902,20,1,16,18:31:48,24.964,24964
898,820,1,5,13:15:49,18.737,18737
882,822,1,16,15:32:22,21.614,21614
968,1,2,28,17:53:38,21.355,21355
874,17,1,1,15:06:19,32.462,32462
909,817,1,13,14:22:38,19.050,19050
900,815,3,32,18:02:29,22.526,22526
879,817,2,19,14:31:25,21.182,21182
882,814,2,32,16:00:08,20.320,20320
967,826,2,17,14:41:54,25.355,25355
931,830,1,29,14:42:14,52.821,52821
964,839,1,12,14:24:19,24.973,24973
879,814,1,10,14:17:37,28.336,28336
957,835,2,16,13:36:38,55.697,55697
962,821,1,1,20:06:32,26.519,26519
928,831,1,10,14:21:26,23.409,23409
896,18,1,6,15:13:04,23.517,23517
896,820,1,29,15:49:37,24.757,24757
887,821,3,29,13:57:08,31.937,31937
877,814,3,39,18:19:26,20.265,20265
936,807,2,36,15:00:25,22.222,22222
852,15,1,13,14:30:20,22.159,22159
914,16,3,22,16:10:19,24.407,24407
899,5,2,34,14:49:00,22.646,22646
884,3,3,47,15:15:40,19.352,19352
894,154,1,10,15:21:39,22.519,22519
867,30,2,41,15:19:40,20.041,20041
857,817,2,32,15:54:51,42.529,42529
848,5,3,42,15:19:57,22.632,22632
877,17,1,30,18:02:33,19.066,19066
945,4,2,8,17:19:12,16.128,16128
910,3,2,32,15:00:00,23.864,23864
854,808,2,29,21:02:43,30.625,30625
964,828,1,26,14:47:42,24.011,24011
