constructorresultsid,raceid,constructorid,points,status
355,51,9,1.0,
4565,386,27,0.0,
3437,315,41,0.0,
5122,425,18,0.0,
3168,299,17,0.0,
14966,914,3,14.0,
14007,345,205,0.0,
15156,941,6,22.0,
12848,586,32,0.0,
12529,603,32,4.0,
12487,600,66,0.0,
4529,384,45,0.0,
15425,967,209,0.0,
4027,358,21,0.0,
11889,637,200,6.0,
10739,711,172,9.0,
11102,693,183,0.0,
14753,895,15,14.0,
12852,587,202,2.0,
2628,260,15,0.0,
2226,226,25,0.0,
10219,741,101,0.0,
5789,470,25,4.0,
12503,601,63,0.0,
14016,346,6,0.0,
4671,393,21,0.0,
2138,218,1,0.0,
15042,928,5,0.0,
2881,279,18,0.0,
4005,357,3,3.0,
1344,146,18,0.0,
12554,604,63,0.0,
4777,400,34,0.0,
776,91,17,0.0,
12942,563,32,4.0,
2010,207,15,1.0,
13476,531,65,0.0,
3510,319,40,0.0,
6085,488,1,0.0,
9651,772,105,0.0,
2096,215,22,10.0,
381,53,13,0.0,
480,62,8,0.0,
15312,957,3,0.0,
14472,869,207,0.0,
465,61,9,1.0,
13308,554,59,0.0,
6251,498,51,2.0,
4767,399,33,0.0,
14187,845,164,0.0,
13353,557,64,0.0,
610,75,1,12.0,
9869,763,170,8.0,
5563,455,25,0.0,
4328,373,33,0.0,
15013,918,15,0.0,
3816,336,35,0.0,
3476,317,36,0.0,
6037,485,6,0.0,
1660,175,16,0.0,
1341,146,20,0.0,
5441,447,50,0.0,
88,26,6,5.0,
1681,177,15,1.0,
2125,217,25,0.0,
1668,176,3,3.0,
815,95,18,0.0,
12306,616,66,2.0,
12775,582,73,3.0,
15436,968,15,0.0,
14148,842,205,0.0,
4382,376,48,0.0,
13304,554,37,0.0,
2078,213,20,1.0,
4118,362,48,0.0,
2348,238,17,0.0,
14429,866,15,17.0,
10069,755,171,0.0,
371,52,4,0.0,
1311,143,19,0.0,
1568,167,16,3.0,
6179,494,4,9.0,
3004,289,1,6.0,
2530,253,1,0.0,
14129,841,9,35.0,
13741,517,25,4.0,
451,60,1,9.0,
524,66,13,0.0,
4669,393,39,0.0,
13183,546,63,0.0,
14665,886,5,8.0,
15504,975,3,2.0,
5265,435,1,0.0,
