raceid,year,round,circuitid,name,date,time,url
5,2009,5,4,Spanish Grand Prix,2009-05-10,12:00:00,http://en.wikipedia.org/wiki/2009_Spanish_Grand_Prix
39,2007,4,4,Spanish Grand Prix,2007-05-13,12:00:00,http://en.wikipedia.org/wiki/2007_Spanish_Grand_Prix
104,2004,15,14,Italian Grand Prix,2004-09-12,,http://en.wikipedia.org/wiki/2004_Italian_Grand_Prix
199,1998,9,9,British Grand Prix,1998-07-12,,http://en.wikipedia.org/wiki/1998_British_Grand_Prix
218,1997,12,13,Belgian Grand Prix,1997-08-24,,http://en.wikipedia.org/wiki/1997_Belgian_Grand_Prix
219,1997,13,14,Italian Grand Prix,1997-09-07,,http://en.wikipedia.org/wiki/1997_Italian_Grand_Prix
222,1997,16,22,Japanese Grand Prix,1997-10-12,,http://en.wikipedia.org/wiki/1997_Japanese_Grand_Prix
223,1997,17,26,European Grand Prix,1997-10-26,,http://en.wikipedia.org/wiki/1997_European_Grand_Prix
227,1996,4,20,European Grand Prix,1996-04-28,,http://en.wikipedia.org/wiki/1996_European_Grand_Prix
233,1996,10,9,British Grand Prix,1996-07-14,,http://en.wikipedia.org/wiki/1996_British_Grand_Prix
257,1994,1,18,Brazilian Grand Prix,1994-03-27,,http://en.wikipedia.org/wiki/1994_Brazilian_Grand_Prix
277,1993,5,4,Spanish Grand Prix,1993-05-09,,http://en.wikipedia.org/wiki/1993_Spanish_Grand_Prix
307,1991,3,21,San Marino Grand Prix,1991-04-28,,http://en.wikipedia.org/wiki/1991_San_Marino_Grand_Prix
313,1991,9,10,German Grand Prix,1991-07-28,,http://en.wikipedia.org/wiki/1991_German_Grand_Prix
318,1991,14,4,Spanish Grand Prix,1991-09-29,,http://en.wikipedia.org/wiki/1991_Spanish_Grand_Prix
319,1991,15,22,Japanese Grand Prix,1991-10-20,,http://en.wikipedia.org/wiki/1991_Japanese_Grand_Prix
343,2010,7,5,Turkish Grand Prix,2010-05-30,11:00:00,http://en.wikipedia.org/wiki/2010_Turkish_Grand_Prix
374,1988,3,6,Monaco Grand Prix,1988-05-15,,http://en.wikipedia.org/wiki/1988_Monaco_Grand_Prix
383,1988,12,14,Italian Grand Prix,1988-09-11,,http://en.wikipedia.org/wiki/1988_Italian_Grand_Prix
397,1987,10,23,Austrian Grand Prix,1987-08-16,,http://en.wikipedia.org/wiki/1987_Austrian_Grand_Prix
406,1986,3,21,San Marino Grand Prix,1986-04-27,,http://en.wikipedia.org/wiki/1986_San_Marino_Grand_Prix
422,1985,3,21,San Marino Grand Prix,1985-05-05,,http://en.wikipedia.org/wiki/1985_San_Marino_Grand_Prix
431,1985,12,14,Italian Grand Prix,1985-09-08,,http://en.wikipedia.org/wiki/1985_Italian_Grand_Prix
474,1982,8,7,Canadian Grand Prix,1982-06-13,,http://en.wikipedia.org/wiki/1982_Canadian_Grand_Prix
511,1980,14,46,United States Grand Prix,1980-10-05,,http://en.wikipedia.org/wiki/1980_United_States_Grand_Prix
516,1979,5,45,Spanish Grand Prix,1979-04-29,,http://en.wikipedia.org/wiki/1979_Spanish_Grand_Prix
524,1979,13,14,Italian Grand Prix,1979-09-09,,http://en.wikipedia.org/wiki/1979_Italian_Grand_Prix
539,1978,13,39,Dutch Grand Prix,1978-08-27,,http://en.wikipedia.org/wiki/1978_Dutch_Grand_Prix
540,1978,14,14,Italian Grand Prix,1978-09-10,,http://en.wikipedia.org/wiki/1978_Italian_Grand_Prix
556,1977,14,14,Italian Grand Prix,1977-09-11,,http://en.wikipedia.org/wiki/1977_Italian_Grand_Prix
567,1976,8,34,French Grand Prix,1976-07-04,,http://en.wikipedia.org/wiki/1976_French_Grand_Prix
581,1975,6,40,Belgian Grand Prix,1975-05-25,,http://en.wikipedia.org/wiki/1975_Belgian_Grand_Prix
586,1975,11,20,German Grand Prix,1975-08-03,,http://en.wikipedia.org/wiki/1975_German_Grand_Prix
589,1975,14,46,United States Grand Prix,1975-10-05,,http://en.wikipedia.org/wiki/1975_United_States_Grand_Prix
600,1974,11,20,German Grand Prix,1974-08-04,,http://en.wikipedia.org/wiki/1974_German_Grand_Prix
603,1974,14,48,Canadian Grand Prix,1974-09-22,,http://en.wikipedia.org/wiki/1974_Canadian_Grand_Prix
619,1973,15,46,United States Grand Prix,1973-10-07,,http://en.wikipedia.org/wiki/1973_United_States_Grand_Prix
625,1972,6,51,French Grand Prix,1972-07-02,,http://en.wikipedia.org/wiki/1972_French_Grand_Prix
653,1970,11,52,Canadian Grand Prix,1970-09-20,,http://en.wikipedia.org/wiki/1970_Canadian_Grand_Prix
654,1970,12,46,United States Grand Prix,1970-10-04,,http://en.wikipedia.org/wiki/1970_United_States_Grand_Prix
655,1970,13,32,Mexican Grand Prix,1970-10-25,,http://en.wikipedia.org/wiki/1970_Mexican_Grand_Prix
656,1969,1,30,South African Grand Prix,1969-03-01,,http://en.wikipedia.org/wiki/1969_South_African_Grand_Prix
662,1969,7,20,German Grand Prix,1969-08-03,,http://en.wikipedia.org/wiki/1969_German_Grand_Prix
664,1969,9,48,Canadian Grand Prix,1969-09-20,,http://en.wikipedia.org/wiki/1969_Canadian_Grand_Prix
672,1968,6,53,French Grand Prix,1968-07-07,,http://en.wikipedia.org/wiki/1968_French_Grand_Prix
689,1967,11,32,Mexican Grand Prix,1967-10-22,,http://en.wikipedia.org/wiki/1967_Mexican_Grand_Prix
698,1966,9,32,Mexican Grand Prix,1966-10-23,,http://en.wikipedia.org/wiki/1966_Mexican_Grand_Prix
701,1965,3,13,Belgian Grand Prix,1965-06-13,,http://en.wikipedia.org/wiki/1965_Belgian_Grand_Prix
734,1962,6,20,German Grand Prix,1962-08-05,,http://en.wikipedia.org/wiki/1962_German_Grand_Prix
744,1961,7,14,Italian Grand Prix,1961-09-10,,http://en.wikipedia.org/wiki/1961_Italian_Grand_Prix
752,1960,7,9,British Grand Prix,1960-07-16,,http://en.wikipedia.org/wiki/1960_British_Grand_Prix
754,1960,9,14,Italian Grand Prix,1960-09-04,,http://en.wikipedia.org/wiki/1960_Italian_Grand_Prix
757,1959,2,19,Indianapolis 500,1959-05-30,,http://en.wikipedia.org/wiki/1959_Indianapolis_500
762,1959,7,62,Portuguese Grand Prix,1959-08-23,,http://en.wikipedia.org/wiki/1959_Portuguese_Grand_Prix
772,1958,8,20,German Grand Prix,1958-08-03,,http://en.wikipedia.org/wiki/1958_German_Grand_Prix
777,1957,2,6,Monaco Grand Prix,1957-05-19,,http://en.wikipedia.org/wiki/1957_Monaco_Grand_Prix
783,1957,8,14,Italian Grand Prix,1957-09-08,,http://en.wikipedia.org/wiki/1957_Italian_Grand_Prix
786,1956,3,19,Indianapolis 500,1956-05-30,,http://en.wikipedia.org/wiki/1956_Indianapolis_500
795,1955,4,13,Belgian Grand Prix,1955-06-05,,http://en.wikipedia.org/wiki/1955_Belgian_Grand_Prix
812,1953,5,55,French Grand Prix,1953-07-05,,http://en.wikipedia.org/wiki/1953_French_Grand_Prix
830,1951,6,20,German Grand Prix,1951-07-29,,http://en.wikipedia.org/wiki/1951_German_Grand_Prix
832,1951,8,67,Spanish Grand Prix,1951-10-28,,http://en.wikipedia.org/wiki/1951_Spanish_Grand_Prix
842,2011,2,2,Malaysian Grand Prix,2011-04-10,08:00:00,http://en.wikipedia.org/wiki/2011_Malaysian_Grand_Prix
880,2013,1,1,Australian Grand Prix,2013-03-17,06:00:00,http://en.wikipedia.org/wiki/2013_Australian_Grand_Prix
882,2013,3,17,Chinese Grand Prix,2013-04-14,07:00:00,http://en.wikipedia.org/wiki/2013_Chinese_Grand_Prix
937,2015,11,13,Belgian Grand Prix,2015-08-23,12:00:00,http://en.wikipedia.org/wiki/2015_Belgian_Grand_Prix
941,2015,15,71,Russian Grand Prix,2015-10-11,11:00:00,https://en.wikipedia.org/wiki/2015_Russian_Grand_Prix
944,2015,18,18,Brazilian Grand Prix,2015-11-15,16:00:00,https://en.wikipedia.org/wiki/2015_Brazilian_Grand_Prix
959,2016,12,10,German Grand Prix,2016-07-31,12:00:00,https://en.wikipedia.org/wiki/2016_German_Grand_Prix
16,2009,16,18,Brazilian Grand Prix,2009-10-18,16:00:00,http://en.wikipedia.org/wiki/2009_Brazilian_Grand_Prix
18,2008,1,1,Australian Grand Prix,2008-03-16,04:30:00,http://en.wikipedia.org/wiki/2008_Australian_Grand_Prix
46,2007,11,11,Hungarian Grand Prix,2007-08-05,12:00:00,http://en.wikipedia.org/wiki/2007_Hungarian_Grand_Prix
48,2007,13,14,Italian Grand Prix,2007-09-09,12:00:00,http://en.wikipedia.org/wiki/2007_Italian_Grand_Prix
51,2007,16,17,Chinese Grand Prix,2007-10-07,06:00:00,http://en.wikipedia.org/wiki/2007_Chinese_Grand_Prix
68,2006,16,17,Chinese Grand Prix,2006-10-01,14:00:00,http://en.wikipedia.org/wiki/2006_Chinese_Grand_Prix
79,2005,9,19,United States Grand Prix,2005-06-19,14:00:00,http://en.wikipedia.org/wiki/2005_United_States_Grand_Prix
83,2005,13,11,Hungarian Grand Prix,2005-07-31,14:00:00,http://en.wikipedia.org/wiki/2005_Hungarian_Grand_Prix
89,2005,19,17,Chinese Grand Prix,2005-10-16,14:00:00,http://en.wikipedia.org/wiki/2005_Chinese_Grand_Prix
116,2003,9,20,European Grand Prix,2003-06-29,,http://en.wikipedia.org/wiki/2003_European_Grand_Prix
136,2002,13,11,Hungarian Grand Prix,2002-08-18,,http://en.wikipedia.org/wiki/2002_Hungarian_Grand_Prix
159,2000,2,18,Brazilian Grand Prix,2000-03-26,,http://en.wikipedia.org/wiki/2000_Brazilian_Grand_Prix
183,1999,9,23,Austrian Grand Prix,1999-07-25,,http://en.wikipedia.org/wiki/1999_Austrian_Grand_Prix
187,1999,13,14,Italian Grand Prix,1999-09-12,,http://en.wikipedia.org/wiki/1999_Italian_Grand_Prix
203,1998,13,13,Belgian Grand Prix,1998-08-30,,http://en.wikipedia.org/wiki/1998_Belgian_Grand_Prix
