resultid,raceid,driverid,constructorid,number,grid,position,positiontext,positionorder,points,laps,time,milliseconds,fastestlap,rank,fastestlaptime,fastestlapspeed,statusid
11084,467,177,3,6,7,5.0,5,5,2.0,77,+43.139,5571540.0,,,,,1
17432,720,346,176,28,14,,R,13,0.0,16,,,,,,,3
4076,210,21,17,12,6,4.0,4,4,3.0,62,+1:23.388,5544061.0,,,,,1
20369,338,155,15,23,16,,R,23,0.0,0,,,,,,,4
13338,546,230,63,19,11,,R,22,0.0,0,,,,,,,3
6144,293,130,36,14,0,,F,28,0.0,0,,,,,,,81
3815,198,55,15,14,11,7.0,7,7,0.0,70,,,,,,,11
17984,743,456,170,19,15,10.0,10,10,0.0,15,+12:11.5,9023900.0,,,,,1
10767,455,194,50,17,0,,F,27,0.0,0,,,,,,,81
19530,813,579,105,23,4,2.0,2,2,6.0,90,+1:00.0,10260000.0,,,,,1
23092,955,826,5,26,6,,R,22,0.0,6,,,2.0,22.0,1:53.167,190.963,22
613,47,4,1,1,4,3.0,3,3,6.0,58,+26.181,5228342.0,39.0,4.0,1:28.070,218.199,1
18372,759,475,66,2,4,,D,12,1.0,42,,,,,,,2
10455,444,156,50,10,25,,R,15,0.0,46,,,,,,,10
18074,746,403,6,26,6,8.0,8,8,0.0,77,,,,,,,13
4720,239,86,18,21,20,,F,20,0.0,0,,,,,,,81
3807,197,15,20,12,14,,R,21,0.0,0,,,,,,,4
16238,658,370,180,2,10,4.0,4,4,3.0,80,+52.9,7072300.0,,,,,1
13663,557,224,56,28,18,13.0,13,13,0.0,57,,,,,,,12
5569,272,98,33,20,25,,R,15,0.0,56,,,,,,,6
7553,336,92,42,31,0,,F,30,0.0,0,,,,,,,81
8552,373,165,44,32,0,,F,28,0.0,0,,,,,,,81
13903,566,207,32,5,2,,R,18,0.0,45,,,,,,,5
4257,218,81,15,17,13,9.0,9,9,0.0,44,+1:42.582,5729299.0,,,,,1
15510,627,280,37,20,9,,R,18,0.0,10,,,,,,,3
8195,364,158,21,10,25,12.0,12,12,0.0,40,,,,,,,69
15443,625,224,32,1,8,2.0,2,2,6.0,38,+27.7,6770200.0,,,,,1
22010,894,813,3,16,18,13.0,13,13,0.0,55,+50.013,6243714.0,43.0,17.0,1:44.136,194.111,1
12945,532,187,34,2,9,,R,21,0.0,18,,,,,,,3
18499,766,477,32,24,13,6.0,6,6,0.0,87,,,,,,,53
1835,106,30,6,1,1,1.0,1,1,10.0,53,1:24:26.985,5066985.0,41.0,2.0,1:32.796,225.281,1
23382,969,8,6,7,4,4.0,4,4,12.0,57,+22.393,5074065.0,56.0,1.0,1:26.538,220.605,1
1261,77,31,1,10,5,7.0,7,7,2.0,59,+58.173,5564821.0,42.0,10.0,1:31.807,201.866,1
16441,670,346,180,3,9,7.0,7,7,0.0,25,,,,,,,51
17240,711,309,172,29,10,,D,11,0.0,28,,,,,,,2
1772,102,41,7,16,15,,R,18,0.0,31,,,13.0,16.0,1:22.525,191.112,40
1082,68,24,5,20,13,10.0,10,10,0.0,55,,,53.0,18.0,1:41.710,192.936,11
17321,715,356,183,6,6,9.0,9,9,0.0,76,,,,,,,118
22722,936,154,208,8,10,7.0,7,7,6.0,69,+58.578,6428563.0,60.0,14.0,1:28.080,179.059,1
10614,450,189,45,30,22,,R,12,0.0,60,,,,,,,69
4042,208,75,20,15,15,14.0,14,14,0.0,71,,,,,,,11
1679,98,44,7,17,8,5.0,5,5,4.0,73,+37.534,6067448.0,46.0,4.0,1:10.933,212.752,1
7543,336,118,32,11,11,,R,20,0.0,43,,,,,,,6
19428,808,642,6,12,4,,R,13,0.0,31,,,,,,,3
3650,190,14,1,2,3,,R,17,0.0,39,,,,,,,9
19799,823,642,6,4,2,2.0,2,2,6.0,90,+40.1,10448600.0,,,,,1
1188,73,33,17,18,16,10.0,10,10,0.0,55,,,18.0,15.0,1:35.744,203.492,12
17025,700,356,183,1,2,,R,11,0.0,43,,,,,,,5
9349,401,84,49,9,13,,R,22,0.0,3,,,,,,,101
22581,928,822,3,77,5,6.0,6,6,8.0,56,+9.885,5991893.0,37.0,7.0,1:43.051,190.426,1
22457,914,155,207,10,19,19.0,19,19,0.0,43,,,29.0,18.0,1:55.641,180.776,11
22580,928,13,3,19,4,5.0,5,5,10.0,56,+8.544,5990552.0,37.0,4.0,1:42.734,191.013,1
4560,232,77,22,4,4,4.0,4,4,3.0,72,+46.859,5836059.0,,,,,1
13334,546,254,58,16,20,,R,18,0.0,27,,,,,,,6
19910,827,429,154,24,12,6.0,6,6,0.0,33,,,,,,,13
8635,376,119,3,6,11,,R,19,0.0,32,,,,,,,5
1666,97,11,16,10,20,,R,12,0.0,48,,,25.0,8.0,1:15.076,209.116,5
21350,864,811,3,19,17,,R,23,0.0,12,,,10.0,23.0,1:31.822,182.505,4
4823,243,64,28,21,26,,R,25,0.0,17,,,,,,,6
6959,319,100,27,26,20,,R,12,0.0,41,,,,,,,91
11884,494,207,51,22,7,,R,11,0.0,62,,,,,,,3
14991,606,331,63,23,20,12.0,12,12,0.0,36,,,,,,,14
12738,525,199,32,2,11,,R,19,0.0,23,,,,,,,22
15867,642,306,82,12,10,8.0,8,8,0.0,58,,,,,,,11
7551,336,114,39,18,0,,F,28,0.0,0,,,,,,,81
12128,502,219,4,15,5,,R,24,0.0,1,,,,,,,8
19387,806,643,105,24,10,,R,15,0.0,34,,,,,,,22
5994,288,83,32,11,23,,R,24,0.0,0,,,,,,,3
13897,566,197,58,17,14,12.0,12,12,0.0,71,,,,,,,11
21106,854,817,164,22,23,19.0,19,19,0.0,57,,,40.0,23.0,1:59.064,153.386,14
9050,390,84,49,9,18,,R,12,0.0,19,,,,,,,25
3341,176,72,18,20,18,,R,16,0.0,31,,,,,,,20
14964,605,235,6,18,3,4.0,4,4,3.0,96,+42.57,7020790.0,,,,,1
11931,495,216,21,30,0,,F,28,0.0,0,,,,,,,81
9431,404,178,26,15,19,,R,24,0.0,5,,,,,,,98
2751,149,15,17,12,7,,R,19,0.0,44,,,,,,,7
