qualifyid,raceid,driverid,constructorid,number,position,q1,q2,q3
2846,267,44,27,26,17,2:26.079,,
7304,977,817,9,3,5,1:05.854,1:05.161,1:04.896
2410,249,65,22,2,9,1:20.072,,
5508,883,3,131,9,1,1:33.364,1:32.867,1:32.330
4645,845,153,5,19,13,1:24.049,1:23.694,
4630,844,24,164,23,21,1:30.692,,
5980,904,13,3,19,9,1:28.061,1:27.016,1:27.402
772,54,4,4,1,8,1:35.514,1:33.997,1:35.747
4551,841,813,3,12,15,1:26.298,1:26.768,
6053,907,154,208,8,16,1:10.461,1:10.642,
7097,967,3,131,6,2,1:11.815,1:11.373,1:10.838
5553,885,1,131,10,2,1:23.779,1:16.265,1:13.967
1959,213,75,20,15,19,1:20.370,,
7231,973,832,5,55,12,1:21.941,1:21.371,
878,59,31,1,4,4,1:14.483,1:14.295,1:14.664
2028,216,79,18,20,22,1:46.499,,
5778,896,807,15,11,7,1:25.883,1:25.339,1:25.334
5132,866,39,164,23,24,1:18.330,,
3350,338,20,9,5,1,1:24.774,1:24.096,1:23.919
3953,117,43,7,21,13,1:17.068,,
2751,263,111,31,32,26,1:21.829,,
687,50,5,4,4,11,1:27.223,1:26.232,
5764,895,813,3,16,15,1:32.875,1:32.093,
2370,247,97,29,9,17,1:34.154,,
3318,17,5,1,2,13,1:40.808,1:40.983,
5255,872,814,10,11,4,1:24.875,1:24.345,1:24.304
5143,867,4,6,5,11,1:39.409,1:38.707,
3498,344,18,1,1,5,1:16.371,1:15.742,1:15.520
3542,346,20,9,5,1,1:30.841,1:30.480,1:29.615
4513,75,39,17,19,13,1:18.557,1:20.711,
1668,191,68,25,20,13,1:33.291,,
3069,5,13,6,3,4,1:20.484,1:20.149,1:20.934
1071,67,11,8,22,21,1:24.289,,
2875,268,109,22,5,20,1:26.384,,
6052,907,818,5,25,15,1:10.161,1:10.073,
6713,949,154,210,8,9,1:32.005,1:31.756,
2566,255,64,28,21,21,1:46.654,,
290,32,1,1,22,2,1:44.501,1:44.932,1:45.465
803,55,22,11,11,17,1:29.943,,
7345,979,817,9,3,6,1:17.702,1:17.698,1:16.818
2686,261,56,17,15,13,1:24.930,,
4383,106,17,19,14,3,1:34.571,,
2668,259,106,33,19,23,1:25.991,,
3527,345,808,4,12,10,1:39.004,1:38.552,1:38.523
2148,229,79,25,18,15,1:22.460,,
16,18,8,6,1,16,1:26.140,,
2002,215,79,18,20,18,1:24.553,,
3382,339,155,15,23,9,1:48.467,1:47.792,1:51.767
5616,887,823,207,21,21,1:35.481,,
5983,904,815,10,11,12,1:28.469,1:28.002,
1756,200,64,21,16,13,1:32.206,,
2544,254,85,30,17,23,1:20.093,,
4581,842,15,205,21,20,1:38.791,,
5723,893,813,3,16,18,1:46.619,,
7329,978,154,210,8,10,1:42.042,1:29.966,1:29.549
1198,79,40,18,20,20,1:14.494,,
1179,79,15,7,16,1,1:10.625,,
2805,266,71,3,0,2,1:18.824,,
3217,12,1,1,1,12,1:45.767,1:45.122,
4471,73,18,16,3,11,1:30.957,1:33.391,
4358,103,47,18,21,18,2:03.303,,
572,45,17,9,15,6,1:32.629,1:31.661,1:32.476
7217,972,836,15,94,18,1:37.332,,
7131,968,154,210,8,14,1:41.467,1:41.564,
5910,902,18,1,22,7,1:35.699,1:34.714,1:34.387
4685,847,3,131,8,6,1:14.920,1:13.950,1:13.814
6099,909,824,206,17,18,1:18.676,,
6362,928,18,1,22,17,1:39.276,,
2029,224,35,3,6,1,1:32.371,,
5851,899,815,1,6,14,1:26.741,1:28.269,
7157,969,838,1,2,18,1:26.858,,
2810,266,56,17,15,7,1:20.698,,
4040,121,4,4,8,20,1:40.405,,
5687,892,13,6,4,4,1:24.950,1:24.479,1:24.132
6130,911,817,9,3,5,2:10.089,2:08.989,2:07.911
3354,338,13,6,7,5,1:25.548,1:25.010,1:24.837
6495,936,832,5,55,12,1:24.623,1:23.869,
1581,173,37,21,18,13,1:37.652,,
7183,971,817,9,3,4,1:31.667,1:30.497,1:29.545
6293,918,822,3,77,3,1:42.346,1:41.376,1:41.025
1033,66,23,7,7,5,1:27.668,1:27.062,1:27.569
1332,86,35,15,11,14,1:48.889,,
6340,927,815,10,11,14,1:41.036,1:43.469,
2735,263,49,15,30,10,1:17.830,,
4950,859,811,4,9,9,1:14.453,1:13.300,1:13.761
