year,lgid,tmid,g,w,l,t,gf,ga,pim,benchminor,ppg,ppc,sha,pkg,pkc,shf
1972,WHA,NEW,15,12,3,0,70,49,,,14,75,0,13,64,1
1960,NHL,CHI,12,8,4,0,35,27,162,,,,,,,
1962,NHL,DET,11,5,6,0,35,36,170,,,,,,,
1986,NHL,CHI,4,0,4,0,6,15,104,0,0,17,1,4,15,0
2007,NHL,SJS,13,6,7,0,30,32,100,0,8,56,0,11,44,2
1949,NHL,TOR,7,3,4,0,11,10,117,,,,,,,
1998,NHL,OTT,4,0,4,0,6,12,46,0,3,27,0,4,18,0
1934,NHL,MTM,7,5,0,2,16,8,56,,,,,,,
1971,NHL,CHI,8,4,4,0,23,25,129,,3,,2,4,,2
1985,NHL,NYI,3,0,3,0,4,11,84,0,1,11,0,3,13,0
2003,NHL,SJS,17,10,7,0,38,32,216,0,11,81,3,6,72,1
1984,NHL,NYI,10,4,6,0,25,28,256,0,7,33,1,7,52,0
2000,NHL,DAL,10,4,6,0,22,26,116,2,5,43,1,6,47,0
1929,NHL,BOS,6,3,3,0,14,12,90,,,,,,,
1952,NHL,BOS,11,5,6,0,30,37,109,,,,,,,
1974,WHA,NEW,6,2,4,0,17,28,,,,,,,,
1999,NHL,NJD,23,16,7,0,61,39,192,6,12,70,1,5,67,4
1976,WHA,EDO,5,1,4,0,16,20,,,,,,,,
1971,NHL,BOS,15,12,3,0,64,34,389,,18,,1,11,,5
1978,NHL,TOR,6,2,4,0,19,24,192,0,3,19,0,9,30,1
2001,NHL,NYI,7,3,4,0,21,22,169,2,11,38,0,5,43,0
1975,NHL,VAN,2,0,2,0,4,8,19,0,2,12,1,1,6,1
1926,NHL,MTL,4,1,1,2,3,6,30,,,,,,,
2006,NHL,TBL,6,2,4,0,14,19,110,2,4,26,0,7,28,1
2008,NHL,CAR,18,8,10,0,42,52,231,4,6,60,0,8,71,1
2010,NHL,TBL,18,11,7,0,59,45,207,8,17,67,1,6,78,1
1995,NHL,MTL,6,2,4,0,17,19,72,2,3,31,1,8,31,2
1914,NHA,OT1,2,1,1,0,4,1,,,,,,,,
1931,NHL,MTM,4,1,1,2,6,5,24,,,,,,,
1995,NHL,NYR,11,5,6,0,34,38,136,2,12,55,3,8,57,1
1984,NHL,LAK,3,0,3,0,7,11,47,0,1,16,1,0,10,0
2002,NHL,TBL,11,5,6,0,22,29,134,4,5,37,0,9,43,2
1986,NHL,LAK,5,1,4,0,20,32,118,0,5,28,1,8,30,0
1990,NHL,BUF,6,2,4,0,24,29,221,0,6,36,1,9,37,2
1977,NHL,PHI,12,7,5,0,37,35,245,2,9,30,0,7,37,0
1994,NHL,DET,18,12,6,0,61,44,264,0,22,89,1,14,78,3
1970,NHL,TOR,6,2,4,0,15,16,147,,3,,1,4,,0
1991,NHL,MNS,7,3,4,0,19,23,156,0,7,35,3,5,32,0
1993,NHL,VAN,24,15,9,0,76,61,436,0,19,116,2,20,114,2
1970,NHL,MNS,12,6,6,0,35,42,195,,11,,1,9,,0
1995,NHL,FLO,22,12,10,0,61,57,401,6,14,109,2,20,103,1
1999,NHL,WAS,5,1,4,0,8,17,83,0,3,21,0,6,29,1
1996,NHL,CHI,6,2,4,0,14,28,160,0,1,27,0,12,45,2
1983,NHL,BOS,3,0,3,0,2,10,77,0,1,13,0,2,12,0
1937,NHL,NYA,6,3,3,0,13,12,42,,,,,,,
1940,NHL,MTL,3,1,2,0,7,8,34,,,,,,,
2001,NHL,PHI,5,1,4,0,2,11,75,2,1,16,0,4,24,0
1998,NHL,PHO,7,3,4,0,16,19,95,0,5,41,0,9,33,0
1939,NHL,DET,5,2,3,0,11,12,51,,,,,,,
1970,NHL,STL,6,2,4,0,15,16,120,,4,,0,6,,1
2009,NHL,BUF,6,2,4,0,15,16,114,2,0,19,0,6,22,0
2007,NHL,CAL,7,3,4,0,17,19,70,2,6,22,0,6,31,0
1964,NHL,DET,7,3,4,0,19,23,124,,,,,,,
1986,NHL,NYR,6,2,4,0,13,22,172,0,4,35,2,3,32,0
1995,NHL,DET,19,10,9,0,58,46,302,4,20,112,1,13,89,5
2010,NHL,PHI,11,4,7,0,29,38,173,4,7,49,0,9,47,0
1983,NHL,MTL,15,9,6,0,42,32,450,6,9,70,1,8,58,1
1988,NHL,MTL,21,14,7,0,67,51,456,6,16,97,,9,88,2
2001,NHL,CHI,5,1,4,0,5,13,73,2,1,17,1,5,20,0
2006,NHL,MIN,5,1,4,0,9,12,79,0,2,27,1,5,19,1
1953,NHL,TOR,5,1,4,0,8,15,57,,,,,,,
