orderid,customerid,employeeid,orderdate,requireddate,shippeddate,shipvia,freight,shipname,shipaddress,shipcity,shipregion,shippostalcode,shipcountry
10248,VINET,5,1996-07-0400:00:00,1996-08-01T00:00,1996 - 07 - 16 ч. 00 м.,3,32.38,Шевалье,59 rue de l-Abbaye,Реймс,,51100,Франция
10249,TOMSP,6,1996-07-05T00:00:00,1996 - 2008 16 ч. 00 м.,1996 - 07 - 10 ч. 00 м.,1,11.61,Toms Spezialitten,Луисенстр. 48,Ммстер,,44087,Германия
10250,HANAR,4,1996-07-08T00:00:00,1996-08-05T00:00,1996-07-1200:00:00,2,65.83,Ханари Карнс,"Руа-ду-Пао, 67",Рио-де-Жанейро,RJ,05454-876,Бразилия
10251,VICTE,3,1996-07-08T00:00:00,1996-08-05T00:00,1996-07-1500:00:00,1,41.34,Виктуайлы в запасе,"2, rue du Commerce",Лион,,69004,Франция
10252,SUPRD,4,1996-07-0900:00:00,1996-08-06T00:00:00,1996 - 07 - 11 ч. 00 м.,2,51.3,Супримовые куски,"Бульвар Тиру, 255",Шарлерой,,B-6000,Бельгия
10253,HANAR,3,1996 - 07 - 10 ч. 00 м.,1996-07-240000:00,1996 - 07 - 16 ч. 00 м.,2,58.17,Ханари Карнс,"Руа-ду-Пао, 67",Рио-де-Жанейро,RJ,05454-876,Бразилия
10254,CHOPS,5,1996 - 07 - 11 ч. 00 м.,1996-08-08T00:00,1996-07-23T00:00:00,2,22.98,Чоп-дуэй китайцы,Hauptstr. 31,Берн,,3012,Швейцария
10255,RICSU,9,1996-07-1200:00:00,1996-08-0900:00:00,1996-07-1500:00:00,3,148.33,Ричтер Супермаркет,Старенвег 5,Джентльмены,,1204,Швейцария
10256,WELLI,3,1996-07-1500:00:00,1996-08-1200:00:00,1996 - 07 - 17 ч. 00 м.,2,13.97,Веллингтон импортдора,"Руа-ду-Меркадо, 12",Resende,СП,08737-363,Бразилия
10257,HILAA,4,1996 - 07 - 16 ч. 00 м.,1996 - 08 - 13 ч. 00 м.,1996-07-22T00:00:00,3,81.91,ГИЛАРИОН-Абастос,Каррера 22 ав. Карлос Сублетт #8-35,Сан-Кристбал,Чира,5022,Венесуэла
10258,ERNSH,1,1996 - 07 - 17 ч. 00 м.,1996 - 08 - 14 ч. 00 м.,1996-07-23T00:00:00,1,140.51,Эрнст Хандель,Кирчгассе 6,Грац,,8010,Австрия
10259,CENTC,4,1996 - 07 - 18 ч. 00 м.,1996 - 08 - 15 ч. 00 м.,1996-07-2500:00:00,3,3.25,Центральная комикция &quot; Моктезума &quot;,Сьерра-де-Гранада 9993,Mxico D.F.,,5022,Мексика
10260,OTTIK,4,1996 - 2007 - 19 ч. 00 м.,1996 - 2008 16 ч. 00 м.,1996-07-29-T00:00:00,1,55.09,Оттилисы Кселаден,Mehrheimerstr. 369,Клн,,50739,Германия
10261,QUEDE,4,1996 - 2007 - 19 ч. 00 м.,1996 - 2008 16 ч. 00 м.,1996 - 07 - 30 ч. 00 м.,2,3.05,Que Delcia,"&lt; &lt; Руа да панификадора &gt; &gt; , 12",Рио-де-Жанейро,RJ,02389-673,Бразилия
10262,RATTC,8,1996-07-22T00:00:00,1996 - 2008 - 19 ч. 00 м.,1996-07-2500:00:00,3,48.29,Рэттлеснайк Каньон Гроучери,2817 Milton Dr.,Альбукерке,НМ,87110,США
10263,ERNSH,9,1996-07-23T00:00:00,1996 - 08 - 20 ч. 00 м.,1996-07-31T00:00:00,3,146.06,Эрнст Хандель,Кирчгассе 6,Грац,,8010,Австрия
10264,FOLKO,6,1996-07-240000:00,1996-08-21T00:00:00,1996-08-23T00:00:00,3,3.67,Народная оха f HB,Kergatan 24,Брчек,,S-844 72,Франция
10265,BLONP,2,1996-07-2500:00:00,1996-08-22T00:00:00,1996-08-1200:00:00,1,55.28,Blondel pre et fils,"24, место Клбер",Страсбург,,67000,Франция
10266,WARTH,3,1996-07-26T00:00:00,1996-09-06T00:00:00,1996-07-31T00:00:00,3,25.73,Вартиан Херкку,Торикату 38,Оулу,,90110,Германия
