territoryid,territorydescription,regionid
33607,Тампа,4
2903,Провидение,1
98052,Редмонд,2
19713,Ньюард,1
7960,Морристаун,1
2139,Кембридж,1
6897,Уилтон,1
80909,Колорадо Спрингс,2
60601,Чикаго,2
40222,Луисвилль,1
94105,Сан-Франциско,2
8837,Эдисон,1
27403,Гринсборо,1
95008,Кэмпбелл,2
1833,Жоржтоу,1
30346,Атланта,4
32859,Орландо,4
95060,Санта-Круз,2
78759,Остин,4
14450,Фейрпорт,1
55439,Миннеаполис,3
11747,Мельвиль,1
80202,Денвер,2
85014,Феникс,2
20852,Роквилль,1
3049,Холлис,3
53404,Расин,3
3801,Портсмут,3
90405,Санта-Моника,2
94025,Парк Менло,2
2116,Бостон,1
95054,Санта-Клара,2
1730,Бедфорд,1
48304,Блумфилдские холмы,3
19428,Филадельфия,3
60179,Hoffman Estatements,2
10019,Нью-Йорк,1
27511,Кэри,1
85251,Скоттсдейл,2
75234,Даллас,4
55113,Роузвилль,3
98004,Бельвью,2
31406,Саванна,4
72716,Бентонвилль,4
48084,Трой,3
2184,Мозги,1
29202,Колумбия,4
44122,Бичвуд,3
10038,Нью-Йорк,1
45839,Финдлей,3
48075,Саутфилд,3
1581,Вестборо,1
98104,Сиэтл,2
