year,lgid,tmid,franchid,confid,divid,rank,playoff,g,w,l,t,otl,pts,sow,sol,gf,ga,name,pim,benchminor,ppg,ppc,sha,pkg,pkc,shf
1972,NHL,NYI,NYI,,ED,8,,78,12,60,6.0,,30,,,170,347,New York Islanders,881,10,28,258,13,63,261,2
1969,NHL,PHI,PHI,,WD,5,,76,17,35,24.0,,58,,,197,225,Philadelphia Flyers,1123,16,46,296,9,58,311,7
1953,NHL,MTL,MTL,,,2,F,70,35,24,11.0,,81,,,195,141,Montreal Canadiens,1064,,,,,,,
1930,NHL,BOS,BOS,,AM,1,SF,44,28,10,6.0,,62,,,143,90,Boston Bruins,460,,,,,,,
1981,NHL,LAK,LAK,CC,SM,4,DF,80,24,41,15.0,,63,,,314,369,Los Angeles Kings,1730,10,75,355,11,89,310,7
1978,NHL,CHI,CHI,CC,SM,1,QF,80,29,36,15.0,,73,,,244,277,Chicago Black Hawks,1254,18,41,247,4,70,297,8
1924,WCHL,VMR,VMR,,,5,,28,12,16,0.0,,24,,,91,102,Vancouver Maroons,,,,,,,,
1972,NHL,CLF,CLE,,WD,8,,78,16,46,16.0,,48,,,213,323,California Golden Seals,840,0,41,250,4,56,242,4
2010,NHL,MIN,MIN,WC,NW,3,,82,39,35,,8,86,3,5,206,233,Minnesota Wild,983,14,53,292,7,53,308,7
2010,NHL,ATL,WPG,EC,SE,4,,82,34,36,,12,80,5,7,223,269,Atlanta Thrashers,930,22,53,289,10,64,285,6
1984,NHL,WAS,WAS,WA,PT,2,DSF,80,46,25,9.0,,101,,,322,240,Washington Capitals,1161,36,79,331,7,68,286,6
1933,NHL,MTM,MTM,,CA,3,SF,48,19,18,11.0,,49,,,117,122,Montreal Maroons,414,,,,,,,
2008,NHL,MTL,MTL,EC,NE,2,CQF,82,41,30,,11,93,7,7,249,247,Montreal Canadiens,1229,6,72,374,11,65,370,10
2003,NHL,LAK,LAK,WC,PC,3,,82,28,29,16.0,9,81,,,205,217,Los Angeles Kings,1163,6,50,356,4,65,336,9
1974,WHA,SDM,SDM,,WW,2,AVSF,78,43,31,4.0,,90,,,326,268,San Diego Mariners,1058,,60,218,8,53,275,11
1995,NHL,ANA,ANA,WC,PC,4,,82,35,39,8.0,,78,,,234,247,Mighty Ducks of Anaheim,1707,22,60,426,5,81,423,10
1977,WHA,SOV,SOV,,,9,,8,3,4,1.0,,7,,,27,36,Soviet All Stars,122,2,,,,,,
2003,NHL,NYR,NYR,EC,AT,4,,82,27,40,7.0,8,69,,,206,250,New York Rangers,1459,30,46,322,8,80,388,6
2005,NHL,DAL,DAL,WC,PC,1,CQF,82,53,23,,6,112,12,1,265,218,Dallas Stars,1496,12,88,498,7,82,504,10
